Ｎｏ．,「重点公園・緑地」名称,「優先整備区域」面積（m2）,「優先整備区域」箇所,
1 ,芝公園,600 ,港区芝公園４丁目,
2 ,戸山公園,5600 ,新宿区戸山３丁目,
3 ,目黒公園（林試の森公園）,2500 ,品川区小山台２丁目,
4 ,祖師ヶ谷公園（祖師谷公園）,19600 ,世田谷区上祖師谷３・４丁目、祖師谷５・６丁目、成城９丁目,
5 ,和田堀公園,95200 ,杉並区成田西１丁目、成田東２丁目、大宮１・２丁目、松ノ木１・２丁目、堀ノ内１丁目,
6 ,浮間公園,2500 ,北区浮間２丁目,
7 ,白鬚西公園,129000 ,荒川区南千住８丁目,
8 ,舎人公園,136900 ,足立区古千谷１・２丁目、西伊興町、西伊興１・２・３丁目、皿沼３丁目、入谷町、舎人町,
9 ,上板橋公園（城北中央公園）,33100 ,板橋区桜川１丁目、小茂根５丁目、練馬区氷川台１丁目、羽沢３丁目,
10 ,宇喜田公園,15000 ,江戸川区北西３丁目,
11 ,芦花公園（蘆花恒春園）,11100 ,世田谷区粕谷１丁目,
12 ,善福寺公園,4100 ,杉並区善福寺２・３丁目,
13 ,赤塚公園,10900 ,板橋区徳丸７丁目、赤塚４・５丁目,
14 ,石神井公園,63500 ,練馬区石神井台１・２丁目、石神井町５丁目,
15 ,清澄公園（清澄庭園）,5700 ,江東区清澄２・３丁目,
16 ,東京臨海広域防災公園,65000 ,江東区有明３丁目,
17 ,水元公園,170200 ,飾区水元公園、東水元２丁目、東金町５・８丁目,
18 ,篠崎公園,37700 ,江戸川区西篠崎１丁目、上篠崎４丁目、篠崎町８丁目,
19 ,善福寺川緑地,12200 ,杉並区荻窪１丁目、成田西１・３・４丁目、成田東２・３・４丁目,
20 ,玉川上水緑地（玉川上水緑道）,18000 ,杉並区久我山２・３丁目,
,小計,838400 ,,
21 ,小宮公園,5500 ,八王子市大谷町、暁町２丁目,
22 ,平山城址公園,54300 ,八王子市堀之内,
23 ,野山北・六道山公園,862100 ,武蔵村山市本町３・５・６丁目、三ツ木３・４・５丁目、岸２・３・４・５丁目、瑞穂町大字殿ヶ谷字宮前、字山際、字滝田谷津、字尾引山、字尾引添、字日野出、字宮野入、大字石畑字狭山谷、字夕日台、字峰田、字狭山嶺、大字箱根ヶ崎字浅間谷、大字駒形富士山字富士山、字富士山通り、大字高根字高根下、字山下、字打越、字池ノ上、字北狭山、字金堀沢、字田之入,
24 ,東大和緑地（東大和公園）,1400 ,東大和市湖畔３丁目,
25 ,小金井公園,67700 ,武蔵野市桜堤３丁目、小金井市関野町１・２丁目、西東京市向台町６丁目,
26 ,野川公園,1700 ,三鷹市大沢２丁目,
27 ,武蔵野の森公園,240000 ,三鷹市大沢５・６丁目、府中市朝日町３丁目、調布市西町,
28 ,府中の森公園,700 ,府中市天神町２丁目,
29 ,武蔵野公園,115400 ,府中市多磨町２・３丁目、小金井市前原１・２丁目、中町１丁目、東町５丁目,
30 ,浅間山公園,3300 ,府中市若松町５丁目,
31 ,神代公園（神代植物公園）,73700 ,調布市深大寺元町５丁目、深大寺南町４・５丁目、深大寺北町２丁目,
32 ,小山田緑地,135100 ,町田市下小山田町字大久保、字梅木窪、字堀切、字兎谷、字堂谷、字関村、字小ヶ谷、字桜ヶ谷、字馬場窪、字鍬柄尾、字宮ノ腰、字向田、字宇津保沢、字竜沢,
33 ,大戸緑地,107500 ,町田市相原町字丑田、字大地沢、字大戸、字段木入,
34 ,七生公園（多摩動物公園）,3600 ,日野市程久保６丁目,
35 ,六仙公園,53800 ,東久留米市中央町３丁目,
36 ,八国山緑地,88000 ,東村山市諏訪町２・３丁目、野口町３丁目、多摩湖４丁目,
37 ,東伏見公園,68300 ,西東京市東伏見１丁目,
38 ,桜ヶ丘公園,60100 ,多摩市連光寺３・５丁目,
39 ,秋留台公園,3800 ,あきる野市二宮、平沢,
-,小計,1946000 ,,
-,東京都事業計,2784400 ,,
