Ｎｏ．,「重点公園・緑地」名称,「優先整備区域」面積（m2）,「優先整備区域」箇所,
1,小門公園,100 ,八王子市小門町,
2,中野町公園,3200 ,八王子市中野上町２丁目,
3,横川弁天池公園,1800 ,八王子市横川町,
4,七国公園,23000 ,八王子市宇津貫町,
5,小田野中央公園,29000 ,八王子市西寺方町,
6,片倉つどいの森公園,79000 ,八王子市片倉町,
7,黒木開戸緑地,3300 ,八王子市散田町４丁目,
8,宇津貫緑地,97000 ,八王子市宇津貫町,
9,砂川公園,8700 ,立川市砂川町７丁目,
10,立川公園,15700 ,立川市柴崎町４・５・６丁目、錦町５・６丁目,
11,川越道緑地,17000 ,立川市幸町４・５丁目,
12,野山北・六道山公園（総合運動公園）,14000 ,武蔵村山市三ツ木４丁目、岸３・５丁目,
13,立野公園,1800 ,東大和市立野１丁目,
14,立野東公園,2400 ,東大和市立野１丁目,
15,東大和狭山緑地,3000 ,東大和市蔵敷１丁目,
16,境南ふれあい広場公園,2200 ,武蔵野市境南町２丁目,
17,関前四丁目公園,1800 ,武蔵野市関前４丁目,
18,境冒険遊び場公園,1900 ,武蔵野市境３丁目,
19,境公園,4700 ,武蔵野市関前５丁目,
20,グリーンパーク緑地,500 ,武蔵野市八幡町１丁目,
21,境三丁目緑地,1200 ,武蔵野市境３丁目,
22,上連雀広場公園,2200 ,三鷹市上連雀４丁目,
23,野崎三丁目公園,1500 ,三鷹市野崎３丁目,
24,北野公園,1100 ,三鷹市北野３丁目,
25,新川丸池公園,5400 ,三鷹市新川３・５丁目,
26,大沢の里公園,20000 ,三鷹市大沢２・６丁目,
27,大沢緑地,500 ,三鷹市大沢２丁目,
28,紅葉丘第二公園,500 ,府中市紅葉丘３丁目,
29,二ヶ村緑地,3600 ,府中市是政６丁目,
30,調布市入間町１丁目緑地,5200 ,調布市入間町１丁目,
31,調布市若葉町３丁目第３緑地,4500 ,調布市若葉町３丁目,
32,寺前第一公園,600 ,狛江市東和泉１丁目,
33,第三耕地公園,200 ,狛江市東和泉４丁目,
34,伝馬公園,5100 ,青梅市新町７丁目,
35,吹上しょうぶ公園,10000 ,青梅市吹上,
36,釜の淵緑地,800 ,青梅市駒木町１丁目,
37,富士見公園,1400 ,昭島市中神町,
38,福昌寺公園,3800 ,町田市木曽町字17号、字18号,
39,光正寺公園,7500 ,町田市木曽町字20号、根岸町字20号,
40,南大谷公園,12000 ,町田市南大谷字１２号,
41,三ツ目山公園,28600 ,町田市小山町字34号,
42,杉谷戸公園,30400 ,町田市上小山田町字１号、字５号、字13号、字19号,
43,小野路公園,79000 ,町田市小野路町字下堤,
44,相原中央公園,138400 ,町田市相原町字寺谷戸、字七国、字松ヶ谷戸,
45,小長久保公園,3400 ,小金井市本町３丁目,
46,東光寺上第１公園,2000 ,日野市新町４丁目,
47,日野駅北第１公園,600 ,日野市新町１丁目,
48,日野駅北第２公園,1400 ,日野市新町１丁目,
49,東豊田公園,2900 ,日野市東豊田１丁目,
50,七ッ塚公園,9800 ,日野市新町５丁目,
51,北川原公園,14000 ,日野市万願寺２丁目,
52,日野緑地,4200 ,日野市栄町５丁目,
53,万蔵院台緑地,14000 ,日野市百草,
54,延命寺公園,900 ,小平市天神町２丁目,
55,国分寺緑地,38900 ,国分寺市西元町１・２・３・４丁目,
56,西恋ヶ窪緑地,2800 ,国分寺市西恋ヶ窪３丁目,
57,北山公園,11000 ,東村山市野口３・４丁目,
58,ママ下湧水公園,3500 ,国立市矢川３丁目,
59,城山公園,1700 ,国立市大字谷保字栗原,
60,中福生公園,1600 ,福生市大字福生,
61,介山記念館公園,4400 ,羽村市羽東１丁目,
62,稲荷緑地,19800 ,羽村市羽東２・３丁目、川崎４丁目,
63,加美緑地,1800 ,羽村市羽西１丁目,
64,稲荷ヶ丘公園,4600 ,瑞穂町大字箱根ヶ崎字宿西,
65,一本榎公園,3000 ,瑞穂町大字殿ヶ谷字榎内川添,
66,吉方公園,3700 ,稲城市大字矢野口字榎戸、大字東長沼字５号,
67,矢野口公園,3500 ,稲城市大字矢野口字榎戸,
68,円覚寺公園,1000 ,稲城市大字矢野口字宿,
69,矢野口第１公園,2000 ,稲城市矢野口大字中島,
70,矢野口第２公園,1700 ,稲城市矢野口大字中島,
71,矢野口第３公園,1300 ,稲城市矢野口大字下中島,
72,矢野口第４公園,900 ,稲城市矢野口大字中島,
73,坂浜上谷戸緑地,16300 ,稲城市若葉台１丁目、坂浜,
-,小計,453100 ,,
-,市・町事業計,850300 ,,
