Ｎｏ．,局,指摘歳入,指摘歳出,指摘財産,指摘その他,指摘計,意見・要望,合計,合計うち全庁重点監査事項,合計うち局別重点監査事項
1,都民安全推進本部,,1,,,1,,1,,1
2,財務局,,,,,,2,2,,1
3,主税局,6,,,,6,,6,,2
4,生活文化局,1,5,,1,7,1,8,2,
5,オリンピック・パラリンピック準備局,,3,,,3,,3,,
6,都市整備局,,1,,1,2,,2,,2
7,環境局,,2,1,,3,,3,,
8,福祉保健局,,1,1,1,3,1,4,,
9,病院経営本部,,1,1,,2,,2,,1
10,産業労働局,,2,,,2,,2,,
11,中央卸売市場,,4,,2,6,,6,1,2
12,建設局,1,1,1,,3,,3,,
13,港湾局,1,4,2,,7,,7,,3
14,会計管理局,,,,,,2,2,,2
15,東京消防庁,,1,,,1,1,2,,1
16,交通局,,3,,2,5,,5,,2
17,水道局,2,1,1,,4,2,6,,
18,下水道局,1,3,,1,5,,5,,1
19,教育庁,,3,1,3,7,1,8,,
20,議会局,,1,,,1,1,2,,2
合計,,12,37,8,11,68,11,79,3,20
