対象局,実地監査期間,対象件数(件),抽出件数(件),対象金額(百万円),抽出金額(百万円)
財務局,H30.5.21～H30.6.20,443,113(25.5％),351788,181595(51.6％)
生活文化局,H30.5.8～H30.5.11,70,12(17.1％),3057,2023(66.2％)
オリンピック・パラリンピック準備局,H30.5.8～H30.5.11,36,19(52.8％),1941,1776(91.5％)
都市整備局,H30.6.5～H30.6.29,1102,152(13.8％),169307,60825(35.9％)
環境局,H30.2.5～H30.2.22,122,26(21.3％),8327,2281(27.4％)
福祉保健局,H30.10.1～H30.10.4,157,34(21.7%),4719,2929(62.1%)
病院経営本部,H30.9.11～H30.9.13,104,32(30.8%),2309,1965(85.1%)
産業労働局,H30.2.20～H30.2.23,152,26(17.1%),2394,1129(47.2%)
中央卸売市場,H30.1.29～H30.2.1,480,70(14.6%),50847,39377(77.4%)
建設局,H30.8.31～H30.10.4,4229,196(4.6%),368548,158387(43.0%)
港湾局,H30.2.5～H30.2.16,870,84(9.7%),182276,96932(53.2%)
東京消防庁,H30.1.22～H30.1.26,596,89(14.9%),35501,19034(53.6%)
交通局,H30.1.15～H30.1.19,853,98(11.5%),120133,43092(35.9%)
水道局,H30.5.14～H30.5.25,1592,184(11.6%),464271,142648(30.7%)
下水道局,H30.5.29～H30.6.29,2850,194(6.8%),610656,145099(23.8%)
教育庁,H30.2.5～H30.2.16,779,64(8.2%),13351,3603(27.0%)
警視庁,H30.9.19～H30.9.27,980,76(7.8%),105296,36771(34.9%)
島しょ,H30.4.9～H30.4.19,1285,105(8.2%),43825,16394(37.4%)
合計,,16700,1574(9.4%),2538555,955869(37.7%)
