Ｎｏ．,局,指摘（計画・設計・積算）,指摘（施工）,指摘（その他）,計（件）,意見・要望事項（計画・設計・積算）,意見・要望事項（施工）,意見・要望事項（その他）,計（件）,合計（件）,指摘金額（千円）
1,総務局,,,,-,,,,-,-,
2,財務局,,,,0,,,,0,0,
3,主税局,,,,-,,,,-,-,
4,生活文化局,,,,0,,,,0,0,
5,オリンピック・パラリンピック準備局,,,,0,,,,0,0,
6,都市整備局,1,,,1,,,,0,1,2583
7,環境局,,1,,1,,,,0,1,
8,福祉保健局,,,,0,,,,0,0,
9,病院経営本部,,1,,1,,,,0,1,
10,産業労働局,,1,,1,,,,0,1,
11,中央卸売市場,1,,1,2,,,,0,2,8964
12,建設局,2,4,,6,,,,0,6,
13,港湾局,2,1,,3,,,,0,3,987
14,東京消防庁,3,,,3,,,,0,3,6296
15,交通局,2,1,,3,,,,0,3,77688
16,水道局,1,,,1,,,,0,1,6080
17,下水道局,1,1,,2,,,,0,2,5691
18,教育庁,1,1,1,3,,,,0,3,12781
19,警視庁,,,,0,,,,0,0,
20,島しょ,1,1,,2,,,,0,2,4109
合計,,15,12,2,29,,,,0,29,125179
