年月,西暦（年）,月,消費者物価指数/全国,消費者物価指数/東京都 区部,企業物価指数/総平均/全国, 注1) 消費動向指数/世帯消費動向指数（総世帯実質）/全国,生計分析調査（勤労者世帯）/実収入（円）/東京都,生計分析調査（勤労者世帯）/消費支出（円）/東京都,生計分析調査（勤労者世帯）/ 注3)平均消費性向（％）/東京都,生計分析調査（勤労者世帯）/ 注4)公共的料金負担率（％）/東京都, 注2) 実質賃金指数/調査産業計/東京都
平成14年平均,2002,,95.8,98.2,92.5,124.2,633711,361608,68.2,29.4,- 
平成15年平均,2003,,95.5,97.8,91.6,123.1,583065,355982,73.2,29.8,- 
平成16年平均,2004,,95.5,97.7,92.8,123.2,596372,362122,72.7,30.1,- 
平成17年平均,2005,,95.2,97.2,94.3,123.4,578340,352303,72.8,29.5,- 
平成18年平均,2006,,95.5,97.3,96.4,120.9,585818,350664,72.4,29.5,- 
平成19年平均,2007,,95.5,97.4,98.1,121.2,574514,346256,73,29.9,- 
平成20年平均,2008,,96.8,98.4,102.6,118.9,581293,343972,72.4,29.2,- 
平成21年平均,2009,,95.5,97.2,97.2,117.4,598723,359096,74.1,29.1,- 
平成22年平均,2010,,94.8,96.2,97.1,118.2,615748,363141,73.2,28.4,- 
平成23年平均,2011,,94.5,95.7,98.5,115.4,565071,337458,73.8,30.2,- 
平成24年平均,2012,,94.5,95.3,97.7,115.9,575440,348158,75.2,29.6,- 
平成25年平均,2013,,94.9,95.3,98.9,117.5,578628,363721,78.2,30,- 
平成26年平均,2014,,97.5,97.5,102.1,113.3,585636,353261,75.8,28.7,- 
平成27年平均,2015,,98.2,98.2,99.7,109.2,574733,354241,77,29.6,- 
平成28年平均,2016,,98.1,98.1,96.2,106.4,605530,356829,73.7,29.9,102.5
平成29年平均,2017,,98.6,98.2,98.4,105.3,580063,364470,77.9,28.7,103
平成30年平均,2018,,99.5,99.1,101,105.2,632404,353941,70.3,30.1,103.1
令和元年平均,2019,,100,99.9,101.2,105.2,673468,360606,66.8,29.2,101.8
令和2年平均,2020,,100,100,100,100,701538,343451,61.2,29,100
令和3年平均,2021,,99.8,99.8,104.5,100.5,730386,357123,61.2,26.9,101.2
令和2年1月,2020,1,100.5,100.2,102.1,102.1,563659,346351,76.3,28.4,- 
令和2年2月,2020,2,100.3,100.1,101.7,98.5,570442,327464,70.4,29.9,- 
令和2年3月,2020,3,100.3,100.1,100.8,104.6,586958,332215,71.6,31.1,- 
令和2年4月,2020,4,100.2,100.3,99.2,94.9,583275,329344,69.9,39.8,- 
令和2年5月,2020,5,100.1,100.3,98.7,89.8,527280,301232,75,31,- 
令和2年6月,2020,6,99.9,100,99.3,99.2,1079611,327538,38.7,27.7,- 
令和2年7月,2020,7,100,100.2,99.8,95.8,810215,330295,50,27.2,- 
令和2年8月,2020,8,100.1,100.2,99.9,99.3,600926,333977,68.2,25.8,- 
令和2年9月,2020,9,99.9,99.8,99.8,96.9,566715,352760,77.9,29.6,- 
令和2年10月,2020,10,99.8,99.9,99.5,103,636986,397492,76.6,29.3,- 
令和2年11月,2020,11,99.5,99.6,99.4,101.6,602763,356537,74.2,26.4,- 
令和2年12月,2020,12,99.3,99.3,99.8,114.3,1289627,386212,37.4,23.4,- 
令和3年1月,2021,1,99.8,99.7,100.3,96.3,579517,331469,71.4,27,82.1
令和3年2月,2021,2,99.8,99.8,100.8,91.2,634002,329529,64.1,29.1,80.8
令和3年3月,2021,3,99.9,99.8,101.8,110.9,624431,406160,82.6,26.9,90
令和3年4月,2021,4,99.1,99.1,102.7,106.9,655545,409567,76.6,33.8,88
令和3年5月,2021,5,99.4,99.5,103.4,99.9,686343,374567,70.5,23.5,85.5
令和3年6月,2021,6,99.5,99.5,104.2,95.4,1136362,306222,35.3,25.1,162.5
令和3年7月,2021,7,99.7,99.8,105.4,98,835448,347174,52.9,23.3,108.2
令和3年8月,2021,8,99.7,99.8,105.5,95.9,658737,325537,61.2,24.9,82.4
令和3年9月,2021,9,100.1,100.1,106,96.6,572048,335812,74.3,29.7,83
令和3年10月,2021,10,99.9,99.9,107.5,100.6,607627,363644,72.7,30.6,84.4
令和3年11月,2021,11,100.1,100,108.2,100.4,548535,342402,76.8,24.1,85.1
令和3年12月,2021,12,100.1,100.1,108.4,113.5,1226032,413398,40.9,23.7,182.1
令和4年1月,2022,1,100.3,100.3,109.3,99.1,529741,349962,81.7,24.9,83.5
令和4年2月,2022,2,100.7,100.7,110.3,91.2,562563,295256,63.9,30.1,82.3
令和4年3月,2022,3,101.1,101.1,111.3,106,593413,347836,71.7,28.3,92.1
令和4年4月,2022,4,101.5,101.5,112.9,102.9,544463,380297,84.8,33.5,88.4
令和4年5月,2022,5,101.8,101.9,113,99.6,556464,326985,74.8,30.6,85.4
令和4年6月,2022,6,101.8,101.8,113.8,- ,- ,- ,- ,- ,- 
,,,,,,,,,,,
東京の物価／令和4年7月分,,,,,,,,,,,
参考表３  主　 要 　指 　標,,,,,,,,,,,
消費者物価指数・消費動向指数・実質賃金指数・企業物価指数　2020年=100(令和２年=100）,,,,,,,,,,,
注1)消費動向指数は、家計調査の結果を補完し、消費全般の動向を捉える分析用のデータとして総務省統計局が開発中の参考指標です。平成30年1月から公表が始まりました。,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,
