年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1502りんご(1kg)/円,1511みかん(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和４年５月,2022,5,528,122,99,220,402,130,131,648,368,193,424,324,157,...,297,221,856,230,723,383,163,581,2255,619,525,778,206,407,955,560,1914,768,1422,...,2417,559,525,672,665,967,1674,512,689,522,736,...,626,1045,...,...,...,...,...,570,917,1775,...,259,1124,1148,230,246,375
令和４年６月,2022,6,528,125,91,217,398,116,134,670,354,179,422,314,169,...,300,204,841,223,795,379,163,665,2163,697,419,1002,222,410,940,487,2927,761,1445,1825,2261,596,501,700,696,981,1639,512,670,528,815,...,669,...,...,2252,...,...,...,490,849,...,3104,267,1047,1090,207,237,364
令和４年６月上旬,2022,6上,524,136,94,216,...,115,130,676,347,192,...,...,...,...,...,213,828,239,797,394,...,679,2266,...,...,...,223,...,...,510,2943,...,...,1924,2263,585,479,725,677,993,...,...,...,...,818,...,...,...,...,2333,...,...,...,514,881,...,3495,...,...,...,207,243,365
令和４年６月中旬,2022,6中,532,119,88,219,398,121,135,673,363,191,422,314,169,...,300,203,848,215,801,370,163,674,2134,697,419,1002,229,410,940,489,3040,761,1445,1808,2276,612,523,682,669,971,1639,512,670,528,815,...,669,...,...,2286,...,...,...,498,863,...,3099,267,1047,1090,207,233,366
令和４年６月下旬,2022,6下,527,121,90,217,...,112,136,662,353,155,...,...,...,...,...,197,847,214,789,374,...,643,2089,...,...,...,214,...,...,461,2799,...,...,1745,2243,591,502,694,741,978,...,...,...,...,810,...,...,...,...,2136,...,...,...,458,802,...,2717,...,...,...,207,234,362
令和４年７月上旬,2022,7上,519,127,82,223,...,133,142,668,364,156,...,...,...,...,...,203,968,218,819,333,...,597,2025,...,...,...,211,...,...,444,2386,...,...,1580,2216,574,530,653,695,868,...,...,...,...,841,...,...,...,...,2010,3186,...,1392,442,780,...,3095,...,...,...,204,235,356
令和４年７月中旬,2022,7中,487,107,97,225,423,127,137,663,379,159,425,325,184,...,300,186,1033,228,837,296,165,578,1914,708,402,1117,219,442,929,399,2255,753,1429,1519,2198,583,529,611,678,909,1689,509,667,528,820,...,652,...,...,1947,3126,...,1353,468,764,...,2959,262,1041,1006,209,239,356
銘柄改正年月,,,,,,,,2022年7月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和４年７月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
