年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1502りんご(1kg)/円,1511みかん(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和４年８月,2022,8,546,136,107,231,457,117,141,672,368,169,433,326,178,...,312,149,1249,225,846,332,163,687,1834,672,377,958,262,454,912,380,1366,758,1437,1339,2420,556,537,604,717,922,1697,513,699,528,877,...,637,...,1003,1555,2237,...,1273,484,846,...,...,273,1004,926,212,253,359
令和４年９月,2022,9,549,144,131,238,461,139,201,683,364,194,442,338,187,...,325,133,1260,222,850,444,164,858,1966,611,374,850,258,494,918,312,982,754,1429,1290,2528,527,575,599,828,855,1729,522,693,529,621,706,632,...,758,1495,1827,...,1243,...,...,...,...,278,1008,903,214,249,364
令和４年９月上旬,2022,9上,561,137,113,238,...,134,193,695,369,188,...,...,...,...,...,131,1312,212,853,414,...,782,1946,...,...,...,258,...,...,318,997,...,...,1305,2570,555,631,613,828,878,...,...,...,...,682,759,...,...,828,1461,1801,...,1222,...,...,...,...,...,...,...,212,240,355
令和４年９月中旬,2022,9中,535,171,142,240,461,137,213,683,363,189,442,338,187,...,325,132,1241,226,857,442,164,870,1915,611,374,850,260,494,918,314,952,754,1429,1284,2521,528,564,599,845,832,1729,522,693,529,608,669,632,...,754,1474,1847,...,1258,...,...,...,...,278,1008,903,215,250,367
令和４年９月下旬,2022,9下,552,123,139,236,...,145,196,671,359,206,...,...,...,...,...,138,1226,229,841,476,...,921,2036,...,...,...,256,...,...,303,997,...,...,1280,2494,499,531,584,810,854,...,...,...,...,572,688,...,...,693,1548,1835,...,1247,...,...,...,...,...,...,...,214,256,370
令和４年10月上旬,2022,10上,542,108,121,228,...,122,166,677,374,204,...,...,...,406,...,155,1107,235,770,444,...,788,1916,...,...,...,233,...,...,304,1001,...,...,...,2491,499,557,653,854,862,...,...,...,...,570,607,...,...,688,...,1905,612,...,...,...,...,...,...,...,...,211,245,370
令和４年10月中旬,2022,10中,549,145,129,235,480,127,183,694,375,209,446,340,190,430,321,162,996,242,759,395,164,749,1858,599,360,799,232,474,944,291,951,773,1432,...,2498,489,534,665,848,852,1706,532,711,534,581,628,603,...,787,...,1940,528,...,...,...,...,...,278,1016,963,216,252,374
銘柄改正年月,,,,,,,,2022年7月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和４年１０月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
