年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／他の農水畜産物／米類,財／工業製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス/一般サービス／外食,サービス/一般サービス／民営家賃,サービス/一般サービス／民営家賃／民営家賃（木造）,サービス/一般サービス／民営家賃／民営家賃（非木造）,サービス/一般サービス／持家の帰属家賃,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（木造）,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（非木造）,サービス/一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金,
前年(度)比(％)／令和元年平均,2019,,0.8,1.1,1.4,-0.7,-0.8,0.1,0.1,1,1.1,0.6,-2.1,1.4,3.7,3.1,0.5,0.6,-0.1,0.7,1.7,0.4,0.4,0.4,0.4,0.4,0.4,0.8,1.7,0.7,1.1,1.2,
前年(度)比(％)／令和2年平均,2020,,0.1,0.7,0.5,1.6,1.8,0,0,1.2,0.6,2.2,-5.3,2.1,-3.5,1,-0.4,-0.6,-2.2,0.1,2.4,0.2,0.4,0.1,0.1,0.3,0,-0.8,1.9,2.3,0.2,-2.5,
前年(度)比(％)／令和3年平均,2021,,-0.2,0.2,0.3,-0.2,0.1,-4.1,-4.1,0.5,-0.1,0.3,11.8,0.6,-1,1.8,-0.6,-1,0.5,-0.9,-0.1,0.2,0.1,0.2,0.1,0,0.2,-2.6,0.6,0.3,0.2,0.2,
前年(度)比(％)／平成30年度平均,2018,,0.8,1.1,1.4,-0.3,-0.5,2.7,2.7,0.7,0.7,0.8,9.5,0,5.5,1.3,0.6,0.7,0.9,0.5,0.9,0.2,0.2,0.2,0.3,0.4,0.2,0.6,-0.6,0.7,1.4,2.3,
前年(度)比(％)／令和元年度平均,2019,,0.8,1.2,1.3,0.6,0.7,0.3,0.3,1.4,1.3,1.2,-1.2,1.8,0.8,2.8,0.4,0.4,-1,0.7,2.3,0.3,0.5,0.3,0.2,0.2,0.2,0.8,2,1.2,1.1,-0.3,
前年(度)比(％)／令和2年度平均,2020,,-0.1,0.2,0,1.6,1.8,-1,-1,0.8,0.2,1.7,-7.3,1.7,-5,0.8,-0.4,-0.7,-1.5,-0.1,1.5,0.2,0.2,0.2,0.2,0.3,0.1,-1,1.7,1.8,-0.3,-2.4,
前年(度)比(％)／令和3年度平均,2021,,0.1,1.5,1.5,1.7,2.2,-4.6,-4.6,0.8,0.4,0.3,18.1,0.6,6.1,2.5,-1,-1.7,0.4,-1.4,0,0.2,0.2,0.2,0.1,0.1,0.2,-4,0.6,0.3,2,2.2,
月別指数／令和3年5月,2021,5,99.5,99.8,100.2,97.7,97.7,98.1,98.1,100.4,99.8,101.4,109.4,100.4,98.7,100.7,99.2,98.8,100.5,98.9,99.9,100.1,99.9,100.1,100,99.9,100.1,96.9,99.6,101,99.6,100.1,
月別指数／令和3年6月,2021,6,99.5,100.1,100.1,99.9,100.1,97.9,97.9,100.2,99.5,101,111,100.2,99.6,100.6,99.1,98.5,100.4,98.7,99.9,100.1,100.1,100.1,100,99.9,100.1,96.5,99.5,100.9,100,100.3,
月別指数／令和3年7月,2021,7,99.8,100.3,100.5,99.4,99.6,96.9,96.9,100.4,99.6,99.4,114.2,101,100.1,103,99.4,99,100.7,99,100,100.1,100.1,100.1,100.1,100,100.1,97.2,101.6,99.8,100.1,100.6,
月別指数／令和3年8月,2021,8,99.8,100.3,100.5,99.4,99.7,95.5,95.5,100.5,99.9,98.6,114.3,101.1,99.6,103,99.4,99,100.9,99.1,99.7,100.2,100.2,100.2,100.2,100.1,100.3,97.2,101.7,99.2,100.3,100.6,
月別指数／令和3年9月,2021,9,100.1,101.6,101.1,104.1,105,93,93,101,100.2,101.1,114.7,101.1,101.3,103.2,99,98.3,100.5,98.6,99.7,100.3,100.2,100.3,100.2,100.1,100.3,96,101.5,100.8,101.7,100.8,
月別指数／令和3年10月,2021,10,99.9,101.4,101.3,101.6,102.3,93.1,93.1,101,100.2,100.9,118,101.1,103,103.2,98.8,98,100.4,98.4,99.9,100.3,100.2,100.4,100.2,100.1,100.4,95.4,101.4,100.6,101.5,101.4,
月別指数／令和3年11月,2021,11,100,101.7,101.7,101.1,101.7,93,93,101.3,100.6,101.7,122,100.9,104.6,103.2,98.8,98,100.3,98.4,100.1,100.3,100.2,100.4,100.2,100,100.4,95.2,101.2,101,101.9,101.8,
月別指数／令和3年12月,2021,12,100.1,101.6,101.5,102,102.8,92.7,92.7,100.8,100.1,100.9,119.4,100.6,106,103.3,98.9,98.2,100.4,98.5,100,100.3,100.2,100.3,100.2,100,100.3,95.6,100.7,100.5,102,102.3,
月別指数／令和4年1月,2022,1,100.3,102.4,101.8,105.5,106.7,91.5,91.5,100.8,100.8,98.6,120.6,100.4,107.8,103.5,98.7,97.8,100.2,98.3,100.2,100.3,100.3,100.3,100.2,100.1,100.3,94.9,100.3,99.2,103.4,102.7,
月別指数／令和4年2月,2022,2,100.7,103.2,102.6,106.3,107.3,94.4,94.4,101.2,101,99.9,123.1,100.7,112.1,103.5,98.8,97.9,100.1,98.4,100.3,100.3,100.6,100.3,100.4,100.5,100.3,95,100.6,99.9,104.4,103.9,
月別指数／令和4年3月,2022,3,101.1,103.9,103.5,105.4,106.3,93.4,93.4,101.8,101.7,100.7,125,101.1,115.7,103.8,98.8,98,100.4,98.5,100.4,100.2,100.6,100.1,100.3,100.5,100.1,95.3,101.6,100.6,105,105.2,
月別指数／令和4年4月,2022,4,101.5,104.7,104.3,105.6,106.6,93.4,93.4,102.6,102.4,101.7,124.6,101.9,117.1,104.1,99.1,98.5,99.9,98.9,101.1,100.2,100.5,100.1,100.3,100.5,100.1,96.3,102.9,101.2,105.7,105.3,
月別指数／令和4年5月,2022,5,101.8,105,104.5,106.7,107.8,93.4,93.4,102.6,102.6,101.7,122.4,101.9,118.7,104.1,99.4,98.7,100,99.2,101.9,100.3,100.9,100.2,100.5,100.9,100.2,96.5,102.8,101.3,106.2,105.9,
前月比(％)／令和3年5月,2021,5,0.3,0.5,0.4,0.9,0.9,1.6,1.6,0.1,0.1,-0.1,0.3,0.1,3,0,0.2,0.3,0.3,0.2,0,0.1,0,0.1,0,0,0.1,0.3,0,0,0.7,1.1,
前月比(％)／令和3年6月,2021,6,0,0.3,-0.1,2.3,2.5,-0.2,-0.2,-0.2,-0.3,-0.4,1.5,-0.2,0.9,-0.1,-0.1,-0.2,-0.1,-0.1,0,0,0.2,0,0,0,0,-0.4,-0.2,-0.1,0.4,0.2,
前月比(％)／令和3年7月,2021,7,0.2,0.2,0.3,-0.6,-0.5,-1.1,-1.1,0.2,0.1,-1.6,2.9,0.8,0.4,2.4,0.3,0.4,0.3,0.3,0.1,0,0,0,0,0,0,0.7,2.1,-1.1,0.1,0.3,
前月比(％)／令和3年8月,2021,8,0,0,0,0,0.2,-1.4,-1.4,0.1,0.3,-0.8,0.1,0.1,-0.4,0.1,0.1,0,0.2,0,-0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,-0.6,0.2,0,
前月比(％)／令和3年9月,2021,9,0.3,1.2,0.6,4.7,5.3,-2.5,-2.5,0.5,0.3,2.6,0.4,0,1.7,0.1,-0.4,-0.7,-0.4,-0.4,0,0,0,0,0,0,0,-1.3,-0.2,1.6,1.4,0.2,
前月比(％)／令和3年10月,2021,10,-0.2,-0.2,0.2,-2.4,-2.6,0,0,0,0,-0.2,2.8,0,1.7,0.1,-0.2,-0.3,-0.1,-0.2,0.1,0.1,0,0.1,0,0,0.1,-0.6,-0.1,-0.2,-0.2,0.6,
前月比(％)／令和3年11月,2021,11,0.1,0.3,0.4,-0.5,-0.5,-0.1,-0.1,0.2,0.4,0.7,3.4,-0.2,1.5,0,-0.1,-0.1,-0.1,0,0.2,0,0,0,0,0,0,-0.2,-0.2,0.3,0.3,0.4,
前月比(％)／令和3年12月,2021,12,0,-0.1,-0.2,0.9,1,-0.3,-0.3,-0.5,-0.5,-0.8,-2.2,-0.3,1.3,0.1,0.1,0.2,0.1,0.1,-0.1,-0.1,0,-0.1,0,0,-0.1,0.4,-0.5,-0.4,0.1,0.5,
前月比(％)／令和4年1月,2022,1,0.2,0.8,0.2,3.4,3.8,-1.3,-1.3,0,0.8,-2.2,1,-0.2,1.7,0.2,-0.2,-0.4,-0.3,-0.2,0.3,0,0.1,0,0,0.1,0,-0.7,-0.4,-1.4,1.4,0.4,
前月比(％)／令和4年2月,2022,2,0.4,0.8,0.9,0.7,0.6,3.1,3.1,0.4,0.2,1.3,2.1,0.2,3.9,0,0.1,0.1,0,0.1,0.1,0.1,0.3,0,0.2,0.4,0,0.1,0.3,0.8,0.9,1.2,
前月比(％)／令和4年3月,2022,3,0.3,0.7,0.9,-0.9,-0.9,-1,-1,0.6,0.7,0.8,1.6,0.4,3.2,0.3,0.1,0.2,0.2,0,0.1,-0.2,0,-0.2,-0.1,0,-0.2,0.2,1,0.6,0.6,1.2,
前月比(％)／令和4年4月,2022,4,0.5,0.7,0.7,0.3,0.3,0,0,0.8,0.7,1,-0.3,0.8,1.2,0.2,0.3,0.4,-0.4,0.5,0.7,0,0,0,0,0,0,1.1,1.3,0.6,0.6,0.1,
前月比(％)／令和4年5月,2022,5,0.3,0.3,0.2,1,1.1,0,0,0,0.1,0,-1.7,-0.1,1.4,0,0.3,0.3,0.1,0.3,0.8,0.1,0.4,0.1,0.2,0.4,0.1,0.3,-0.1,0.1,0.4,0.5,
前月比寄与度,,,0.29,0.15,0.1,0.07,0.07,0,0,0,0.02,0,-0.01,-0.01,0.08,0,0.14,0.1,0.01,0.13,0.04,0,0,0,0.05,0.04,0.01,0.04,-0.01,0.01,0.15,0.09,
前年同月比(％)／令和3年5月,2021,5,-0.9,-0.6,-0.2,-3,-3.2,-0.6,-0.6,0.3,-0.6,0.3,16.6,0.6,-3.6,0.7,-1.1,-1.6,0.5,-1.4,-0.1,0.1,-0.2,0.1,0,-0.2,0.1,-3.9,0,0.5,-1,-0.6,
前年同月比(％)／令和3年6月,2021,6,-0.5,-0.1,-0.2,0.4,0.5,-1.6,-1.6,0.1,-1,0.5,15.1,0.5,-2.6,0.6,-0.8,-1.3,0.5,-1.2,0,0.1,0,0.1,-0.1,-0.2,0.1,-3.2,-0.1,0.9,-0.3,-0.3,
前年同月比(％)／令和3年7月,2021,7,-0.4,0,0.3,-1.6,-1.4,-3.9,-3.9,0.5,-0.6,0.6,17.8,0.8,-1.5,3.1,-0.8,-1.2,0.7,-1.1,0.1,0.1,0,0.1,0,-0.2,0.2,-3.2,0.9,0.8,-0.3,0.2,
前年同月比(％)／令和3年8月,2021,8,-0.4,-0.2,0.6,-4.8,-4.8,-5,-5,0.8,0,0.6,16,1,-1.1,3,-0.5,-0.9,0.7,-0.8,-0.2,0.3,0.2,0.3,0.2,0.1,0.3,-2.3,1.3,0.5,-0.7,0.3,
前年同月比(％)／令和3年9月,2021,9,0.3,1.4,1.2,2.7,3.5,-6.8,-6.8,0.9,0.4,0.2,15.6,1.1,2.3,3,-0.6,-1,0.8,-1,-0.2,0.2,0.2,0.2,0.2,0.1,0.3,-2.8,1.5,0,1.7,1.4,
前年同月比(％)／令和3年10月,2021,10,0.1,1.2,1.3,0.5,1,-5.8,-5.8,0.6,0.2,-0.6,20.1,0.4,6.3,3,-0.8,-1.3,0.8,-1.2,-0.2,0.2,0.2,0.3,0.2,0.1,0.3,-3.5,0.3,-0.6,1.8,2.5,
前年同月比(％)／令和3年11月,2021,11,0.5,2.2,2,3,3.7,-5.6,-5.6,0.8,1,-0.3,26,-0.2,10.1,3,-0.9,-1.4,0.6,-1.2,-0.1,0.2,0.1,0.2,0.1,0,0.2,-3.5,-0.3,-0.6,3.2,3.5,
前年同月比(％)／令和3年12月,2021,12,0.8,3.1,2.5,6.6,7.7,-7.3,-7.3,0.9,0.8,0.1,21.3,0.3,13.5,3.2,-0.9,-1.5,0.7,-1.3,-0.1,0.1,0.1,0.1,0,0,0.1,-3.8,0.3,0,4.3,4.5,
前年同月比(％)／令和4年1月,2022,1,0.6,3.6,3.1,5.9,6.9,-6.7,-6.7,1.2,1.2,0.7,20.5,0.6,16.5,3.3,-1.7,-2.7,-0.2,-2.1,0.2,0.2,0.2,0.2,0.1,0,0.2,-6,0.8,0.7,4.7,4.6,
前年同月比(％)／令和4年2月,2022,2,1,4.2,3.5,7.4,8.3,-4.1,-4.1,1.2,1.4,1.1,19.7,0.1,20.8,3.3,-1.5,-2.5,-0.2,-1.9,0.3,0.2,0.5,0.2,0.3,0.4,0.2,-5.6,0.2,0.6,5.7,5.9,
前年同月比(％)／令和4年3月,2022,3,1.3,4.9,4.1,8.3,9.3,-4.8,-4.8,1.6,2,0.2,17,0.7,23.1,3.4,-1.5,-2.4,-0.3,-1.8,0.3,0.2,0.7,0.1,0.3,0.6,0.1,-5.4,1.4,0.2,6.5,6.5,
前年同月比(％)／令和4年4月,2022,4,2.4,5.4,4.6,9.1,10.1,-3.3,-3.3,2.2,2.8,0.2,14.2,1.6,22.2,3.4,0.1,0,-0.3,0.2,1.3,0.2,0.6,0.1,0.3,0.6,0.1,-0.3,3.4,0.2,6.9,6.3,
前年同月比(％)／令和4年5月,2022,5,2.4,5.2,4.4,9.2,10.3,-4.8,-4.8,2.2,2.8,0.3,11.9,1.5,20.3,3.3,0.2,0,-0.5,0.3,2,0.2,1,0.1,0.5,1,0.1,-0.4,3.2,0.3,6.6,5.8,
前年同月比寄与度,,,2.38,2.28,1.74,0.6,0.62,-0.02,-0.02,0.67,0.39,0.01,0.08,0.19,0.97,0.04,0.09,-0.01,-0.06,0.15,0.11,0.01,0.01,0,0.1,0.09,0.01,-0.06,0.17,0.02,2.1,0.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和４年５月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５．東京都区部消費者物価財・サービス分類指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,,
２０２０年＝１００ ／(令和２年＝１００),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
