全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_カナ,ゴミの品目_英字,分別区分,注意点,備考,粗大ごみ回収料金
132047,132047GMLT000380,三鷹市,全域,ICレコーダー,アイシーレコーダー,Digital voice recorder,燃やせないごみ,,,
132047,132047GMLT000381,三鷹市,全域,アイロン台,アイロンダイ,Ironing board,燃やせないごみ,,素材に金属がなければ燃やせるごみ 最大辺40センチメートル以上あるものは粗大ごみ,
132047,132047GMLT000020,三鷹市,全域,アイロン台,アイロンダイ,Ironing board,燃やせるごみ,,素材に金属がなければ燃やせるごみ 最大辺40センチメートル以上あるものは粗大ごみ,
132047,132047GMLT000001,三鷹市,全域,アイロン台,アイロンダイ,Ironing board,粗大ごみ,,最大辺40センチメートル以上あるものは粗大ごみ,200
132047,132047GMLT000379,三鷹市,全域,足ふきマット（けいそうど）,アシフキマット,Foot wipe mat (Keiso-do),燃やせないごみ,,最大辺40センチメートル以上あるものは粗大ごみ,
132047,132047GMLT000019,三鷹市,全域,足ふきマット（けいそうど）,アシフキマット,Foot wipe mat (Keiso-do),粗大ごみ,,最大辺40センチメートル以上あるものは粗大ごみ,200
132047,132047GMLT000378,三鷹市,全域,足ふきマット,アシフキマット,Place mat for wiping one's feet,燃やせるごみ,,,
132047,132047GMLT000382,三鷹市,全域,アタッシュケース,アタッシュケース,Attache case,燃やせないごみ,,最大辺40センチメートル以上あるものは粗大ごみ,
132047,132047GMLT000021,三鷹市,全域,アタッシュケース,アタッシュケース,Attache case,粗大ごみ,,最大辺40センチメートル以上あるものは粗大ごみ,200
132047,132047GMLT000383,三鷹市,全域,雨具（かっぱ）,アマグ,Rain gear (kappa),燃やせるごみ,,,
132047,132047GMLT000022,三鷹市,全域,あみ針,アミバリ,Knitting needle,燃やせないごみ,,金属性は燃やせないごみ,
132047,132047GMLT000384,三鷹市,全域,あみ針,アミバリ,Knitting needle,燃やせるごみ,,金属性は燃やせないごみ,
132047,132047GMLT000385,三鷹市,全域,アルバム,アルバム,Album,燃やせないごみ,,,
132047,132047GMLT000386,三鷹市,全域,アルミホイル,アルミホイル,Aluminum foil,燃やせないごみ,,,
132047,132047GMLT000387,三鷹市,全域,安全ピン,アンゼンピン,Safety pin,燃やせないごみ,,,
132047,132047GMLT000388,三鷹市,全域,石,イシ,Stone,収集しません,,販売店または専門業者に相談,
