区分・年,実数／総数／（千人、％）,実数／15～24歳／（千人、％）,実数／25～34歳／（千人、％）,実数／35～44歳／（千人、％）,実数／45～54歳／（千人、％）,実数／55～64歳／（千人、％）,実数／65歳以上／（千人、％）,対前年増減数／総数／（千人、ポイント）,対前年増減数／15～24歳／（千人、ポイント）,対前年増減数／25～34歳／（千人、ポイント）,対前年増減数／35～44歳／（千人、ポイント）,対前年増減数／45～54歳／（千人、ポイント）,対前年増減数／55～64歳／（千人、ポイント）,対前年増減数／65歳以上／（千人、ポイント）,対前年増減率／総数／（％）,対前年増減率／15～24歳／（％）,対前年増減率／25～34歳／（％）,対前年増減率／35～44歳／（％）,対前年増減率／45～54歳／（％）,対前年増減率／55～64歳／（％）,対前年増減率／65歳以上／（％）
15歳以上人口／平成22年平均,5635,678,979,1110,838,840,1190,-2,-33,-24,5,27,-3,26,0,-4.6,-2.4,0.5,3.3,-0.4,2.2
15歳以上人口／平成23年平均,5756,682,1026,1168,873,852,1155,121,4,47,58,35,12,-35,2.1,0.6,4.8,5.2,4.2,1.4,-2.9
15歳以上人口／平成24年平均,5768,670,1008,1167,903,824,1196,12,-12,-18,-1,30,-28,41,0.2,-1.8,-1.8,-0.1,3.4,-3.3,3.5
15歳以上人口／平成25年平均,5787,661,995,1160,938,789,1245,19,-9,-13,-7,35,-35,49,0.3,-1.3,-1.3,-0.6,3.9,-4.2,4.1
15歳以上人口／平成26年平均,5815,654,987,1150,971,763,1290,28,-7,-8,-10,33,-26,45,0.5,-1.1,-0.8,-0.9,3.5,-3.3,3.6
15歳以上人口／平成27年平均,5853,650,983,1139,1005,748,1329,38,-4,-4,-11,34,-15,39,0.7,-0.6,-0.4,-1,3.5,-2,3
15歳以上人口／平成28年平均,5920,700,959,1129,1043,744,1345,67,50,-24,-10,38,-4,16,1.1,7.7,-2.4,-0.9,3.8,-0.5,1.2
15歳以上人口／平成29年平均,5962,711,955,1109,1074,748,1365,42,11,-4,-20,31,4,20,0.7,1.6,-0.4,-1.8,3,0.5,1.5
15歳以上人口／平成30年平均,6000,720,953,1087,1102,760,1378,38,9,-2,-22,28,12,13,0.6,1.3,-0.2,-2,2.6,1.6,1
15歳以上人口／平成31年・令和元年平均,6040,718,962,1067,1124,781,1388,40,-2,9,-20,22,21,10,0.7,-0.3,0.9,-1.8,2,2.8,0.7
15歳以上人口／令和２年平均,6067,705,978,1048,1132,808,1396,27,-13,16,-19,8,27,8,0.4,-1.8,1.7,-1.8,0.7,3.5,0.6
労働力人口／平成22年平均,4179,247,918,1070,806,728,410,-18,-25,-28,2,24,-1,10,-0.4,-9.2,-3,0.2,3.1,-0.1,2.5
労働力人口／平成23年平均,4336,270,958,1123,841,740,404,157,23,40,53,35,12,-6,3.8,9.3,4.4,5,4.3,1.6,-1.5
労働力人口／平成24年平均,4328,258,942,1132,871,702,423,-8,-12,-16,9,30,-38,19,-0.2,-4.4,-1.7,0.8,3.6,-5.1,4.7
労働力人口／平成25年平均,4315,262,917,1121,902,666,447,-13,4,-25,-11,31,-36,24,-0.3,1.6,-2.7,-1,3.6,-5.1,5.7
労働力人口／平成26年平均,4353,265,924,1107,930,651,475,38,3,7,-14,28,-15,28,0.9,1.1,0.8,-1.2,3.1,-2.3,6.3
労働力人口／平成27年平均,4401,277,921,1098,967,660,479,48,12,-3,-9,37,9,4,1.1,4.5,-0.3,-0.8,4,1.4,0.8
労働力人口／平成28年平均,4429,320,909,1090,993,653,464,28,43,-12,-8,26,-7,-15,0.6,15.5,-1.3,-0.7,2.7,-1.1,-3.1
労働力人口／平成29年平均,4466,323,901,1064,1030,661,485,37,3,-8,-26,37,8,21,0.8,0.9,-0.9,-2.4,3.7,1.2,4.5
労働力人口／平成30年平均,4542,359,900,1051,1054,675,503,76,36,-1,-13,24,14,18,1.7,11.1,-0.1,-1.2,2.3,2.1,3.7
労働力人口／平成31年・令和元年平均,4584,366,904,1030,1076,694,514,42,7,4,-21,22,19,11,0.9,1.9,0.4,-2,2.1,2.8,2.2
労働力人口／令和２年平均,4638,346,921,1015,1088,731,538,54,-20,17,-15,12,37,24,1.2,-5.5,1.9,-1.5,1.1,5.3,4.7
就業者数／平成22年平均,3941,215,854,1023,775,683,393,-70,-39,-35,-6,19,-16,8,-1.7,-15.4,-3.9,-0.6,2.5,-2.3,2.1
就業者数／平成23年平均,4122,246,900,1073,814,696,393,181,31,46,50,39,13,0,4.6,14.4,5.4,4.9,5,1.9,0
就業者数／平成24年平均,4130,239,895,1081,841,664,408,8,-7,-5,8,27,-32,15,0.2,-2.8,-0.6,0.7,3.3,-4.6,3.8
就業者数／平成25年平均,4130,245,868,1078,870,636,432,0,6,-27,-3,29,-28,24,0,2.5,-3,-0.3,3.4,-4.2,5.9
就業者数／平成26年平均,4183,251,876,1068,902,624,462,53,6,8,-10,32,-12,30,1.3,2.4,0.9,-0.9,3.7,-1.9,6.9
就業者数／平成27年平均,4232,262,873,1064,934,634,465,49,11,-3,-4,32,10,3,1.2,4.4,-0.3,-0.4,3.5,1.6,0.6
就業者数／平成28年平均,4288,304,873,1062,964,633,452,56,42,0,-2,30,-1,-13,1.3,16,0,-0.2,3.2,-0.2,-2.8
就業者数／平成29年平均,4332,310,873,1030,1004,642,473,44,6,0,-32,40,9,21,1,2,0,-3,4.1,1.4,4.6
就業者数／平成30年平均,4418,346,867,1023,1031,658,493,86,36,-6,-7,27,16,20,2,11.6,-0.7,-0.7,2.7,2.5,4.2
就業者数／平成31年・令和元年平均,4470,353,875,1009,1056,676,502,52,7,8,-14,25,18,9,1.2,2,0.9,-1.4,2.4,2.7,1.8
就業者数／令和２年平均,4485,326,884,985,1063,705,521,15,-27,9,-24,7,29,19,0.3,-7.6,1,-2.4,0.7,4.3,3.8
完全失業者数／平成22年平均,238,32,64,48,32,45,17,52,14,7,9,5,15,2,28,77.8,12.3,23.1,18.5,50,13.3
完全失業者数／平成23年平均,214,23,59,50,27,44,12,-24,-9,-5,2,-5,-1,-5,-10.1,-28.1,-7.8,4.2,-15.6,-2.2,-29.4
完全失業者数／平成24年平均,198,19,47,51,29,38,15,-16,-4,-12,1,2,-6,3,-7.5,-17.4,-20.3,2,7.4,-13.6,25
完全失業者数／平成25年平均,185,16,49,43,31,30,15,-13,-3,2,-8,2,-8,0,-6.6,-15.8,4.3,-15.7,6.9,-21.1,0
完全失業者数／平成26年平均,170,15,48,39,28,28,13,-15,-1,-1,-4,-3,-2,-2,-8.1,-6.3,-2,-9.3,-9.7,-6.7,-13.3
完全失業者数／平成27年平均,169,15,47,34,33,26,13,-1,0,-1,-5,5,-2,0,-0.6,0,-2.1,-12.8,17.9,-7.1,0
