区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12429,12359,70,0.6,6075,6047,28,0.5,6354,6312,42,0.7
〔就業状態〕／労働力人口,8313,8235,78,0.9,4660,4591,69,1.5,3653,3644,9,0.2
〔就業状態〕／労働力人口／就業者数,8022,8053,-31,-0.4,4499,4480,19,0.4,3522,3573,-51,-1.4
〔就業状態〕／労働力人口／就業者数／自営業主数,546,527,19,3.6,396,380,16,4.2,150,147,3,2
〔就業状態〕／労働力人口／就業者数／家族従業者数,87,82,5,6.1,20,17,3,17.6,67,65,2,3.1
〔就業状態〕／労働力人口／就業者数／雇用者数,7357,7396,-39,-0.5,4066,4060,6,0.1,3291,3336,-45,-1.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4541,4428,113,2.6,2818,2780,38,1.4,1723,1649,74,4.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2283,2411,-128,-5.3,829,855,-26,-3,1454,1556,-102,-6.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1467,1595,-128,-8,468,470,-2,-0.4,999,1126,-127,-11.3
〔就業状態〕／労働力人口／完全失業者数,291,182,109,59.9,161,111,50,45,131,71,60,84.5
〔就業状態〕／非労働力人口,4106,4116,-10,-0.2,1411,1451,-40,-2.8,2694,2665,29,1.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,8022,8053,-31,-0.4,4499,4480,19,0.4,3522,3573,-51,-1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7735,7781,-46,-0.6,4375,4388,-13,-0.3,3359,3393,-34,-1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6655,6605,50,0.8,4144,4125,19,0.5,2511,2480,31,1.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,279,315,-36,-11.4,142,159,-17,-10.7,137,156,-19,-12.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,800,861,-61,-7.1,90,104,-14,-13.5,711,757,-46,-6.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,287,272,15,5.5,124,92,32,34.8,163,180,-17,-9.4
〔就業者の主な産業別内訳〕／建設業,421,483,-62,-12.8,348,389,-41,-10.5,74,93,-19,-20.4
〔就業者の主な産業別内訳〕／製造業,702,713,-11,-1.5,497,509,-12,-2.4,205,204,1,0.5
〔就業者の主な産業別内訳〕／情報通信業,854,810,44,5.4,599,553,46,8.3,255,257,-2,-0.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,362,338,24,7.1,271,264,7,2.7,91,74,17,23
〔就業者の主な産業別内訳〕／卸売業，小売業,1224,1301,-77,-5.9,618,645,-27,-4.2,606,656,-50,-7.6
〔就業者の主な産業別内訳〕／金融業，保険業,369,293,76,25.9,176,156,20,12.8,193,137,56,40.9
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,323,259,64,24.7,184,157,27,17.2,140,102,38,37.3
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,519,526,-7,-1.3,326,338,-12,-3.6,192,188,4,2.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,490,584,-94,-16.1,218,275,-57,-20.7,271,309,-38,-12.3
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,264,291,-27,-9.3,124,114,10,8.8,140,177,-37,-20.9
〔就業者の主な産業別内訳〕／教育，学習支援業,470,428,42,9.8,192,166,26,15.7,278,261,17,6.5
〔就業者の主な産業別内訳〕／医療，福祉,798,815,-17,-2.1,195,212,-17,-8,603,604,-1,-0.2
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,697,692,5,0.7,417,407,10,2.5,280,284,-4,-1.4
〔雇用者の主な産業別内訳〕／建設業,350,407,-57,-14,282,323,-41,-12.7,68,84,-16,-19
〔雇用者の主な産業別内訳〕／製造業,685,692,-7,-1,487,495,-8,-1.6,198,197,1,0.5
〔雇用者の主な産業別内訳〕／情報通信業,815,770,45,5.8,569,522,47,9,246,247,-1,-0.4
〔雇用者の主な産業別内訳〕／運輸業，郵便業,344,322,22,6.8,253,249,4,1.6,91,73,18,24.7
〔雇用者の主な産業別内訳〕／卸売業，小売業,1171,1245,-74,-5.9,589,610,-21,-3.4,583,634,-51,-8
〔雇用者の主な産業別内訳〕／金融業，保険業,368,290,78,26.9,176,154,22,14.3,192,136,56,41.2
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,288,229,59,25.8,164,135,29,21.5,124,95,29,30.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,386,404,-18,-4.5,235,263,-28,-10.6,151,142,9,6.3
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,430,525,-95,-18.1,187,237,-50,-21.1,243,288,-45,-15.6
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,218,239,-21,-8.8,102,93,9,9.7,115,146,-31,-21.2
〔雇用者の主な産業別内訳〕／教育，学習支援業,427,391,36,9.2,178,155,23,14.8,249,236,13,5.5
〔雇用者の主な産業別内訳〕／医療，福祉,754,780,-26,-3.3,166,187,-21,-11.2,589,594,-5,-0.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,641,655,-14,-2.1,374,383,-9,-2.3,267,271,-4,-1.5
〔非農林業雇用者の従業者規模別内訳〕／総数,7345,7386,-41,-0.6,4058,4055,3,0.1,3287,3331,-44,-1.3
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1714,1765,-51,-2.9,970,950,20,2.1,744,815,-71,-8.7
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2205,2168,37,1.7,1173,1207,-34,-2.8,1031,961,70,7.3
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2789,2870,-81,-2.8,1576,1601,-25,-1.6,1213,1269,-56,-4.4
〔完全失業率（年齢階級別）(%)〕／総数,3.5,2.2,1.3,…,3.5,2.4,1.1,…,3.6,1.9,1.7,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,5.6,2.8,2.8,…,6,3.4,2.6,…,5.2,2.3,2.9,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.1,2.5,1.6,…,3.5,3,0.5,…,4.8,2,2.8,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.1,2.1,1,…,3.3,2.3,1,…,2.9,1.9,1,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.8,1.8,1,…,2.7,1.7,1,…,3.2,2,1.2,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.6,2,1.6,…,3.9,2.4,1.5,…,3.2,1.4,1.8,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.7,2.4,0.3,…,3,2.5,0.5,…,1.9,2.2,-0.3,…
〔就業率（%）〕／総数,64.5,65.2,-0.7,…,74.1,74.1,0,…,55.4,56.6,-1.2,…
〔労働力人口比率(%)〕／総数,66.9,66.6,0.3,…,76.7,75.9,0.8,…,57.5,57.7,-0.2,…
,,,,,,,,,,,,
東京の労働力統計データ（令和２年７～９月期平均）,,,,,,,,,,,,
