男女・年,総数(千人),15～24歳(千人),25～34歳(千人),35～44歳(千人),45～54歳(千人),55～64歳(千人),65歳以上(千人)
実数／男女計／正規／平成30年平均,4292,302,1183,1167,1066,465,109
実数／男女計／正規／平成31年・令和元年平均,4397,298,1221,1170,1103,500,106
実数／男女計／正規／令和２年平均,4513,292,1268,1175,1116,536,127
実数／男女計／非正規／平成30年平均,2386,390,326,416,487,403,364
実数／男女計／非正規／平成31年・令和元年平均,2417,410,323,406,493,405,380
実数／男女計／非正規／令和２年平均,2352,394,306,363,504,404,380
実数／男／正規／平成30年平均,2772,145,682,780,758,338,69
実数／男／正規／平成31年・令和元年平均,2784,145,694,766,750,360,68
実数／男／正規／令和２年平均,2817,130,705,752,766,383,81
実数／男／非正規／平成30年平均,814,190,126,100,76,137,185
実数／男／非正規／平成31年・令和元年平均,839,194,130,99,89,134,193
実数／男／非正規／令和２年平均,817,190,122,91,93,128,192
実数／女／正規／平成30年平均,1521,157,502,387,308,126,40
実数／女／正規／平成31年・令和元年平均,1614,153,527,404,352,140,38
実数／女／正規／令和２年平均,1697,162,563,423,350,152,46
実数／女／非正規／平成30年平均,1572,199,201,316,411,266,179
実数／女／非正規／平成31年・令和元年平均,1579,216,193,307,404,271,187
実数／女／非正規／令和２年平均,1535,203,184,272,411,275,189
対前年増減数／男女計／正規／平成31年・令和元年平均,105,-4,38,3,37,35,-3
対前年増減数／男女計／正規／令和２年平均,116,-6,47,5,13,36,21
対前年増減数／男女計／非正規／平成31年・令和元年平均,31,20,-3,-10,6,2,16
対前年増減数／男女計／非正規／令和２年平均,-65,-16,-17,-43,11,-1,0
対前年増減数／男／正規／平成31年・令和元年平均,12,0,12,-14,-8,22,-1
対前年増減数／男／正規／令和２年平均,33,-15,11,-14,16,23,13
対前年増減数／男／非正規／平成31年・令和元年平均,25,4,4,-1,13,-3,8
対前年増減数／男／非正規／令和２年平均,-22,-4,-8,-8,4,-6,-1
対前年増減数／女／正規／平成31年・令和元年平均,93,-4,25,17,44,14,-2
対前年増減数／女／正規／令和２年平均,83,9,36,19,-2,12,8
対前年増減数／女／非正規／平成31年・令和元年平均,7,17,-8,-9,-7,5,8
対前年増減数／女／非正規／令和２年平均,-44,-13,-9,-35,7,4,2
,,,,,,,
東京の労働力統計データ（令和２年平均）,,,,,,,
第８表　年齢階級、雇用形態別の役員を除く雇用者数,,,,,,,
注）正規：正規の職員･従業員,,,,,,,
注）非正規：非正規の職員･従業員,,,,,,,
