区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12390,12372,18,0.1,6056,6054,2,0,6334,6319,15,0.2
〔就業状態〕／労働力人口,8475,8184,291,3.6,4691,4550,141,3.1,3784,3633,151,4.2
〔就業状態〕／労働力人口／就業者数,8220,7985,235,2.9,4540,4432,108,2.4,3679,3553,126,3.5
〔就業状態〕／労働力人口／就業者数／自営業主数,562,537,25,4.7,405,403,2,0.5,158,133,25,18.8
〔就業状態〕／労働力人口／就業者数／家族従業者数,86,86,0,0,13,22,-9,-40.9,72,64,8,12.5
〔就業状態〕／労働力人口／就業者数／雇用者数,7533,7308,225,3.1,4100,3977,123,3.1,3433,3331,102,3.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4641,4422,219,5,2872,2790,82,2.9,1769,1631,138,8.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2371,2442,-71,-2.9,822,846,-24,-2.8,1549,1597,-48,-3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1601,1654,-53,-3.2,440,458,-18,-3.9,1162,1195,-33,-2.8
〔就業状態〕／労働力人口／完全失業者数,255,198,57,28.8,151,118,33,28,105,80,25,31.3
〔就業状態〕／非労働力人口,3908,4180,-272,-6.5,1361,1497,-136,-9.1,2546,2683,-137,-5.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,8220,7985,235,2.9,4540,4432,108,2.4,3679,3553,126,3.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7979,7753,226,2.9,4464,4349,115,2.6,3516,3404,112,3.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6812,6559,253,3.9,4227,4090,137,3.3,2585,2469,116,4.7
