年・期,建設業（千人）,製造業（千人）,情報通信業（千人）,"運輸業,郵便業（千人）","卸売業,小売業（千人）","金融業,保険業（千人）","不動産業,物品賃貸業（千人）","学術研究,専門･技術ｻｰﾋﾞｽ業（千人）","宿泊業,飲食ｻｰﾋﾞｽ業（千人）","生活関連ｻｰﾋﾞｽ業,娯楽業（千人）","教育,学習支援業（千人）","医療,福祉（千人）",ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成29年平均,434,716,724,367,1272,327,257,515,515,271,372,803,606
実数／男女計／平成30年平均,466,691,747,377,1304,298,256,546,567,285,368,809,650
実数／男女計／平成31年・令和元年平均,457,728,795,355,1292,301,260,542,540,298,408,819,703
実数／男女計／平成30年７～９月平均,464,637,727,393,1407,265,263,547,577,278,378,823,604
実数／男女計／平成30年10～12月平均,456,682,738,362,1259,287,269,488,599,308,358,843,676
実数／男女計／平成31年・令和元年１～３月平均,434,753,829,369,1257,256,274,516,488,276,404,815,746
実数／男女計／平成31年・令和元年４～６月平均,444,786,748,357,1329,307,249,588,528,317,408,820,723
実数／男女計／平成31年・令和元年７～９月平均,483,713,810,338,1301,293,259,526,584,291,428,815,692
実数／男女計／平成31年・令和元年10～12月平均,468,662,793,354,1283,350,260,538,559,306,391,825,651
実数／男女計／令和２年１～３月平均,415,682,831,397,1284,275,299,523,499,305,411,890,696
実数／男女計／令和２年４～６月平均,420,708,773,371,1289,392,286,577,421,237,488,848,754
実数／男女計／令和２年７～９月平均,421,702,854,362,1224,369,323,519,490,264,470,798,697
実数／男女計／令和２年10～12月平均,460,752,863,367,1296,337,312,568,513,284,452,821,697
実数／男／平成29年平均,359,500,513,290,638,160,154,315,239,116,155,230,348
実数／男／平成30年平均,380,496,530,298,659,133,149,344,258,106,155,218,370
実数／男／平成31年・令和元年平均,365,509,544,278,644,152,152,340,251,122,169,212,405
実数／男／平成30年７～９月平均,392,472,510,307,730,123,152,367,266,92,145,208,334
実数／男／平成30年10～12月平均,365,476,536,292,636,126,151,312,278,114,172,233,393
実数／男／平成31年・令和元年１～３月平均,334,536,568,292,631,99,166,310,237,106,155,208,430
実数／男／平成31年・令和元年４～６月平均,354,537,500,276,652,161,143,372,238,142,168,210,425
実数／男／平成31年・令和元年７～９月平均,389,509,553,264,645,156,157,338,275,114,166,212,407
実数／男／平成31年・令和元年10～12月平均,382,452,558,278,647,192,140,340,255,124,187,218,356
実数／男／令和２年１～３月平均,325,464,570,294,632,133,177,323,233,117,197,236,414
実数／男／令和２年４～６月平均,333,490,512,289,638,197,148,355,195,126,194,212,453
実数／男／令和２年７～９月平均,348,497,599,271,618,176,184,326,218,124,192,195,417
実数／男／令和２年10～12月平均,379,506,586,281,630,164,178,360,237,133,187,210,392
実数／女／平成29年平均,75,215,211,77,634,168,103,200,276,155,217,573,258
実数／女／平成30年平均,86,196,217,78,645,165,107,202,310,178,213,592,280
実数／女／平成31年・令和元年平均,93,220,251,77,648,149,109,202,289,176,239,607,298
実数／女／平成30年７～９月平均,73,165,217,85,676,142,111,180,311,186,233,616,270
実数／女／平成30年10～12月平均,90,206,202,70,623,161,117,176,321,194,185,610,283
実数／女／平成31年・令和元年１～３月平均,100,217,262,77,625,157,107,207,251,170,249,607,316
実数／女／平成31年・令和元年４～６月平均,90,249,249,81,676,146,106,216,290,175,240,610,297
実数／女／平成31年・令和元年７～９月平均,93,204,257,74,656,137,102,188,309,177,261,604,284
実数／女／平成31年・令和元年10～12月平均,86,209,235,76,635,158,120,198,305,182,204,608,295
実数／女／令和２年１～３月平均,90,217,261,103,652,142,122,200,265,188,214,653,282
実数／女／令和２年４～６月平均,87,218,261,81,651,195,138,222,227,112,294,635,300
実数／女／令和２年７～９月平均,74,205,255,91,606,193,140,192,271,140,278,603,280
実数／女／令和２年10～12月平均,81,246,277,87,667,172,134,208,276,152,265,610,305
対前年・対前年同期増減数／男女計／平成29年平均,-12,-15,31,11,56,19,4,42,-17,-6,-6,37,2
対前年・対前年同期増減数／男女計／平成30年平均,32,-25,23,10,32,-29,-1,31,52,14,-4,6,44
対前年・対前年同期増減数／男女計／平成31年・令和元年平均,-9,37,48,-22,-12,3,4,-4,-27,13,40,10,53
対前年・対前年同期増減数／男女計／平成30年７～９月平均,-3,-81,0,26,96,-102,-13,34,69,21,48,38,-14
対前年・対前年同期増減数／男女計／平成30年10～12月平均,37,-8,30,-6,-24,-39,10,-7,68,23,-21,-12,72
対前年・対前年同期増減数／男女計／平成31年・令和元年１～３月平均,-41,4,83,30,-58,-45,36,-10,-67,7,20,38,64
対前年・対前年同期増減数／男女計／平成31年・令和元年４～６月平均,-24,88,-27,-56,94,-31,-4,-36,-10,34,56,25,85
