区分・年,実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成22年平均,11388,1309,1901,2166,1617,1674,2721,15,-56,-44,17,49,-7,56,0.1,-4.1,-2.3,0.8,3.1,-0.4,2.1
15歳以上人口／平成23年平均,11694,1336,1996,2276,1692,1692,2702,306,27,95,110,75,18,-19,2.7,2.1,5,5.1,4.6,1.1,-0.7
15歳以上人口／平成24年平均,11730,1314,1962,2278,1749,1635,2791,36,-22,-34,2,57,-57,89,0.3,-1.6,-1.7,0.1,3.4,-3.4,3.3
15歳以上人口／平成25年平均,11776,1297,1938,2266,1818,1562,2894,46,-17,-24,-12,69,-73,103,0.4,-1.3,-1.2,-0.5,3.9,-4.5,3.7
15歳以上人口／平成26年平均,11840,1283,1924,2249,1887,1507,2989,64,-14,-14,-17,69,-55,95,0.5,-1.1,-0.7,-0.8,3.8,-3.5,3.3
15歳以上人口／平成27年平均,11925,1277,1916,2232,1956,1474,3070,85,-6,-8,-17,69,-33,81,0.7,-0.5,-0.4,-0.8,3.7,-2.2,2.7
15歳以上人口／平成28年平均,12065,1372,1879,2212,2028,1463,3111,140,95,-37,-20,72,-11,41,1.2,7.4,-1.9,-0.9,3.7,-0.7,1.3
15歳以上人口／平成29年平均,12158,1397,1873,2172,2095,1467,3153,93,25,-6,-40,67,4,42,0.8,1.8,-0.3,-1.8,3.3,0.3,1.4
15歳以上人口／平成30年平均,12251,1419,1871,2129,2157,1490,3183,93,22,-2,-43,62,23,30,0.8,1.6,-0.1,-2,3,1.6,1
15歳以上人口／平成31年・令和元年平均,12343,1423,1889,2091,2206,1529,3205,92,4,18,-38,49,39,22,0.8,0.3,1,-1.8,2.3,2.6,0.7
15歳以上人口／令和２年平均,12409,1400,1920,2056,2227,1581,3225,66,-23,31,-35,21,52,20,0.5,-1.6,1.6,-1.7,1,3.4,0.6
労働力人口／平成22年平均,7117,527,1619,1781,1359,1182,650,2,-39,-31,13,32,-2,30,0,-6.9,-1.9,0.7,2.4,-0.2,4.8
労働力人口／平成23年平均,7420,559,1697,1869,1425,1207,664,303,32,78,88,66,25,14,4.3,6.1,4.8,4.9,4.9,2.1,2.2
労働力人口／平成24年平均,7406,546,1664,1881,1471,1158,686,-14,-13,-33,12,46,-49,22,-0.2,-2.3,-1.9,0.6,3.2,-4.1,3.3
労働力人口／平成25年平均,7475,558,1648,1896,1541,1107,726,69,12,-16,15,70,-51,40,0.9,2.2,-1,0.8,4.8,-4.4,5.8
労働力人口／平成26年平均,7599,558,1671,1902,1606,1085,777,124,0,23,6,65,-22,51,1.7,0,1.4,0.3,4.2,-2,7
労働力人口／平成27年平均,7675,563,1654,1889,1687,1098,784,76,5,-17,-13,81,13,7,1,0.9,-1,-0.7,5,1.2,0.9
労働力人口／平成28年平均,7768,647,1661,1867,1746,1097,750,93,84,7,-22,59,-1,-34,1.2,14.9,0.4,-1.2,3.5,-0.1,-4.3
労働力人口／平成29年平均,7908,662,1660,1844,1814,1126,801,140,15,-1,-23,68,29,51,1.8,2.3,-0.1,-1.2,3.9,2.6,6.8
労働力人口／平成30年平均,8133,733,1665,1843,1877,1159,855,225,71,5,-1,63,33,54,2.8,10.7,0.3,-0.1,3.5,2.9,6.7
労働力人口／平成31年・令和元年平均,8254,755,1676,1827,1945,1195,856,121,22,11,-16,68,36,1,1.5,3,0.7,-0.9,3.6,3.1,0.1
労働力人口／令和２年平均,8362,732,1726,1796,1961,1258,887,108,-23,50,-31,16,63,31,1.3,-3,3,-1.7,0.8,5.3,3.6
就業者数／平成22年平均,6728,473,1513,1695,1303,1116,628,-53,-55,-34,5,25,-22,27,-0.8,-10.4,-2.2,0.3,2,-1.9,4.5
就業者数／平成23年平均,7062,517,1601,1779,1370,1145,649,334,44,88,84,67,29,21,5,9.3,5.8,5,5.1,2.6,3.3
就業者数／平成24年平均,7070,507,1585,1797,1414,1102,666,8,-10,-16,18,44,-43,17,0.1,-1.9,-1,1,3.2,-3.8,2.6
就業者数／平成25年平均,7163,526,1566,1822,1484,1060,704,93,19,-19,25,70,-42,38,1.3,3.7,-1.2,1.4,5,-3.8,5.7
就業者数／平成26年平均,7312,529,1593,1833,1554,1045,758,149,3,27,11,70,-15,54,2.1,0.6,1.7,0.6,4.7,-1.4,7.7
就業者数／平成27年平均,7400,536,1580,1829,1628,1060,766,88,7,-13,-4,74,15,8,1.2,1.3,-0.8,-0.2,4.8,1.4,1.1
就業者数／平成28年平均,7517,616,1600,1813,1692,1063,732,117,80,20,-16,64,3,-34,1.6,14.9,1.3,-0.9,3.9,0.3,-4.4
就業者数／平成29年平均,7682,635,1609,1786,1772,1096,783,165,19,9,-27,80,33,51,2.2,3.1,0.6,-1.5,4.7,3.1,7
就業者数／平成30年平均,7922,710,1606,1800,1836,1131,839,240,75,-3,14,64,35,56,3.1,11.8,-0.2,0.8,3.6,3.2,7.2
就業者数／平成31年・令和元年平均,8061,729,1626,1789,1908,1169,840,139,19,20,-11,72,38,1,1.8,2.7,1.2,-0.6,3.9,3.4,0.1
就業者数／令和２年平均,8104,699,1660,1749,1912,1218,866,43,-30,34,-40,4,49,26,0.5,-4.1,2.1,-2.2,0.2,4.2,3.1
完全失業者数／平成22年平均,389,54,106,86,56,66,22,55,16,2,8,8,19,3,16.5,42.1,1.9,10.3,16.7,40.4,15.8
完全失業者数／平成23年平均,358,42,96,90,55,62,15,-31,-12,-10,4,-1,-4,-7,-8,-22.2,-9.4,4.7,-1.8,-6.1,-31.8
完全失業者数／平成24年平均,336,39,79,85,57,56,20,-22,-3,-17,-5,2,-6,5,-6.1,-7.1,-17.7,-5.6,3.6,-9.7,33.3
完全失業者数／平成25年平均,312,32,81,74,57,47,21,-24,-7,2,-11,0,-9,1,-7.1,-17.9,2.5,-12.9,0,-16.1,5
完全失業者数／平成26年平均,287,29,78,69,52,40,19,-25,-3,-3,-5,-5,-7,-2,-8,-9.4,-3.7,-6.8,-8.8,-14.9,-9.5
完全失業者数／平成27年平均,275,27,74,60,59,37,18,-12,-2,-4,-9,7,-3,-1,-4.2,-6.9,-5.1,-13,13.5,-7.5,-5.3
完全失業者数／平成28年平均,251,31,61,54,54,34,18,-24,4,-13,-6,-5,-3,0,-8.7,14.8,-17.6,-10,-8.5,-8.1,0
完全失業者数／平成29年平均,226,27,50,58,43,30,18,-25,-4,-11,4,-11,-4,0,-10,-12.9,-18,7.4,-20.4,-11.8,0
完全失業者数／平成30年平均,211,23,59,43,41,28,16,-15,-4,9,-15,-2,-2,-2,-6.6,-14.8,18,-25.9,-4.7,-6.7,-11.1
完全失業者数／平成31年・令和元年平均,193,26,50,38,37,26,16,-18,3,-9,-5,-4,-2,0,-8.5,13,-15.3,-11.6,-9.8,-7.1,0
完全失業者数／令和２年平均,258,33,67,47,49,40,22,65,7,17,9,12,14,6,33.7,26.9,34,23.7,32.4,53.8,37.5
非労働力人口／平成22年平均,4263,779,280,384,257,491,2071,11,-16,-14,4,16,-6,26,0.3,-2,-4.8,1.1,6.6,-1.2,1.3
非労働力人口／平成23年平均,4270,776,298,406,267,485,2038,7,-3,18,22,10,-6,-33,0.2,-0.4,6.4,5.7,3.9,-1.2,-1.6
非労働力人口／平成24年平均,4321,768,298,397,279,476,2104,51,-8,0,-9,12,-9,66,1.2,-1,0,-2.2,4.5,-1.9,3.2
非労働力人口／平成25年平均,4294,739,289,367,277,455,2168,-27,-29,-9,-30,-2,-21,64,-0.6,-3.8,-3,-7.6,-0.7,-4.4,3
非労働力人口／平成26年平均,4236,725,252,346,281,422,2211,-58,-14,-37,-21,4,-33,43,-1.4,-1.9,-12.8,-5.7,1.4,-7.3,2
非労働力人口／平成27年平均,4245,713,261,341,268,376,2285,9,-12,9,-5,-13,-46,74,0.2,-1.7,3.6,-1.4,-4.6,-10.9,3.3
非労働力人口／平成28年平均,4292,725,218,343,280,365,2361,47,12,-43,2,12,-11,76,1.1,1.7,-16.5,0.6,4.5,-2.9,3.3
非労働力人口／平成29年平均,4244,733,212,326,280,341,2351,-48,8,-6,-17,0,-24,-10,-1.1,1.1,-2.8,-5,0,-6.6,-0.4
非労働力人口／平成30年平均,4110,686,205,284,278,330,2327,-134,-47,-7,-42,-2,-11,-24,-3.2,-6.4,-3.3,-12.9,-0.7,-3.2,-1
非労働力人口／平成31年・令和元年平均,4077,666,209,262,260,332,2348,-33,-20,4,-22,-18,2,21,-0.8,-2.9,2,-7.7,-6.5,0.6,0.9
非労働力人口／令和２年平均,4039,666,192,259,265,321,2337,-38,0,-17,-3,5,-11,-11,-0.9,0,-8.1,-1.1,1.9,-3.3,-0.5
労働力人口比率／平成22年平均,62.5,40.3,85.2,82.2,84,70.6,23.9,-0.1,-1.2,0.4,-0.1,-0.6,0.2,0.6,…,…,…,…,…,…,…
労働力人口比率／平成23年平均,63.5,41.8,85,82.1,84.2,71.3,24.6,1,1.5,-0.2,-0.1,0.2,0.7,0.7,…,…,…,…,…,…,…
労働力人口比率／平成24年平均,63.1,41.6,84.8,82.6,84.1,70.8,24.6,-0.4,-0.2,-0.2,0.5,-0.1,-0.5,0,…,…,…,…,…,…,…
労働力人口比率／平成25年平均,63.5,43,85,83.7,84.8,70.9,25.1,0.4,1.4,0.2,1.1,0.7,0.1,0.5,…,…,…,…,…,…,…
労働力人口比率／平成26年平均,64.2,43.5,86.9,84.6,85.1,72,26,0.7,0.5,1.9,0.9,0.3,1.1,0.9,…,…,…,…,…,…,…
労働力人口比率／平成27年平均,64.4,44.1,86.3,84.6,86.2,74.5,25.5,0.2,0.6,-0.6,0,1.1,2.5,-0.5,…,…,…,…,…,…,…
労働力人口比率／平成28年平均,64.4,47.2,88.4,84.4,86.1,75,24.1,0,3.1,2.1,-0.2,-0.1,0.5,-1.4,…,…,…,…,…,…,…
