区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12409,12343,66,0.5,6067,6040,27,0.4,6342,6303,39,0.6
〔就業状態〕／労働力人口,8362,8254,108,1.3,4638,4584,54,1.2,3724,3670,54,1.5
〔就業状態〕／労働力人口／就業者数,8104,8061,43,0.5,4485,4470,15,0.3,3619,3590,29,0.8
〔就業状態〕／労働力人口／就業者数／自営業主数,610,608,2,0.3,422,425,-3,-0.7,188,183,5,2.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,76,80,-4,-5,12,17,-5,-29.4,64,63,1,1.6
〔就業状態〕／労働力人口／就業者数／雇用者数,7373,7312,61,0.8,4028,3997,31,0.8,3346,3315,31,0.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4513,4397,116,2.6,2817,2784,33,1.2,1697,1614,83,5.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2352,2417,-65,-2.7,817,839,-22,-2.6,1535,1579,-44,-2.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1541,1619,-78,-4.8,443,462,-19,-4.1,1098,1157,-59,-5.1
〔就業状態〕／労働力人口／完全失業者数,258,193,65,33.7,153,113,40,35.4,105,80,25,31.3
〔就業状態〕／非労働力人口,4039,4077,-38,-0.9,1426,1449,-23,-1.6,2613,2627,-14,-0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,8104,8061,43,0.5,4485,4470,15,0.3,3619,3590,29,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7719,7813,-94,-1.2,4339,4385,-46,-1,3380,3428,-48,-1.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6612,6620,-8,-0.1,4114,4151,-37,-0.9,2498,2469,29,1.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,274,313,-39,-12.5,137,154,-17,-11,137,159,-22,-13.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,833,880,-47,-5.3,88,80,8,10,744,800,-56,-7
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,385,248,137,55.2,146,86,60,69.8,239,162,77,47.5
〔就業者の主な産業別内訳〕／建設業,429,457,-28,-6.1,346,365,-19,-5.2,83,93,-10,-10.8
〔就業者の主な産業別内訳〕／製造業,711,728,-17,-2.3,489,509,-20,-3.9,221,220,1,0.5
〔就業者の主な産業別内訳〕／情報通信業,830,795,35,4.4,567,544,23,4.2,263,251,12,4.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,374,355,19,5.4,284,278,6,2.2,91,77,14,18.2
〔就業者の主な産業別内訳〕／卸売業，小売業,1273,1292,-19,-1.5,629,644,-15,-2.3,644,648,-4,-0.6
〔就業者の主な産業別内訳〕／金融業，保険業,343,301,42,14,168,152,16,10.5,176,149,27,18.1
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,305,260,45,17.3,172,152,20,13.2,133,109,24,22
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,547,542,5,0.9,341,340,1,0.3,206,202,4,2
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,481,540,-59,-10.9,221,251,-30,-12,260,289,-29,-10
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,273,298,-25,-8.4,125,122,3,2.5,148,176,-28,-15.9
〔就業者の主な産業別内訳〕／教育，学習支援業,455,408,47,11.5,193,169,24,14.2,263,239,24,10
〔就業者の主な産業別内訳〕／医療，福祉,839,819,20,2.4,214,212,2,0.9,625,607,18,3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,711,703,8,1.1,419,405,14,3.5,292,298,-6,-2
〔雇用者の主な産業別内訳〕／建設業,359,387,-28,-7.2,284,301,-17,-5.6,75,85,-10,-11.8
〔雇用者の主な産業別内訳〕／製造業,664,666,-2,-0.3,463,471,-8,-1.7,200,195,5,2.6
〔雇用者の主な産業別内訳〕／情報通信業,792,761,31,4.1,537,516,21,4.1,254,244,10,4.1
〔雇用者の主な産業別内訳〕／運輸業，郵便業,352,330,22,6.7,263,254,9,3.5,89,76,13,17.1
〔雇用者の主な産業別内訳〕／卸売業，小売業,1217,1239,-22,-1.8,600,612,-12,-2,618,627,-9,-1.4
〔雇用者の主な産業別内訳〕／金融業，保険業,341,300,41,13.7,166,151,15,9.9,175,149,26,17.4
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,260,229,31,13.5,147,132,15,11.4,113,97,16,16.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,420,413,7,1.7,259,258,1,0.4,160,155,5,3.2
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,430,479,-49,-10.2,193,214,-21,-9.8,237,264,-27,-10.2
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,221,237,-16,-6.8,99,93,6,6.5,121,144,-23,-16
〔雇用者の主な産業別内訳〕／教育，学習支援業,417,373,44,11.8,180,162,18,11.1,236,211,25,11.8
〔雇用者の主な産業別内訳〕／医療，福祉,796,780,16,2.1,187,186,1,0.5,609,593,16,2.7
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,636,638,-2,-0.3,365,363,2,0.6,271,275,-4,-1.5
〔非農林業雇用者の従業者規模別内訳〕／総数,7365,7305,60,0.8,4023,3994,29,0.7,3343,3311,32,1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1681,1744,-63,-3.6,909,929,-20,-2.2,772,815,-43,-5.3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2234,2201,33,1.5,1195,1197,-2,-0.2,1039,1004,35,3.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2836,2767,69,2.5,1594,1553,41,2.6,1242,1214,28,2.3
〔完全失業率（年齢階級別）(%)〕／総数,3.1,2.3,0.8,…,3.3,2.5,0.8,…,2.8,2.2,0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.5,3.4,1.1,…,5.8,3.3,2.5,…,3.6,3.6,0,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,3.9,3,0.9,…,4,3.2,0.8,…,3.7,2.7,1,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.6,2.1,0.5,…,3,2.1,0.9,…,2.2,2,0.2,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.5,1.9,0.6,…,2.2,1.9,0.3,…,2.9,2,0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.2,2.2,1,…,3.6,2.6,1,…,2.7,1.4,1.3,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.5,1.9,0.6,…,3,2.1,0.9,…,1.4,1.5,-0.1,…
〔就業率（%）〕／総数,65.3,65.3,0,…,73.9,74,-0.1,…,57.1,57,0.1,…
〔労働力人口比率(%)〕／総数,67.4,66.9,0.5,…,76.4,75.9,0.5,…,58.7,58.2,0.5,…
,,,,,,,,,,,,
東京の労働力統計データ（令和２年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
令和２年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
