区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12432,12348,84,0.7,6079,6041,38,0.6,6353,6307,46,0.7
〔就業状態〕／労働力人口,8398,8352,46,0.6,4633,4625,8,0.2,3765,3728,37,1
〔就業状態〕／労働力人口／就業者数,8127,8153,-26,-0.3,4468,4508,-40,-0.9,3659,3644,15,0.4
〔就業状態〕／労働力人口／就業者数／自営業主数,745,760,-15,-2,469,497,-28,-5.6,276,263,13,4.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,65,75,-10,-13.3,8,12,-4,-33.3,57,63,-6,-9.5
〔就業状態〕／労働力人口／就業者数／雇用者数,7249,7263,-14,-0.2,3961,3972,-11,-0.3,3288,3291,-3,-0.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4489,4365,124,2.8,2772,2740,32,1.2,1718,1625,93,5.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2247,2365,-118,-5,788,833,-45,-5.4,1460,1532,-72,-4.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1409,1597,-188,-11.8,398,469,-71,-15.1,1011,1129,-118,-10.5
〔就業状態〕／労働力人口／完全失業者数,271,200,71,35.5,165,117,48,41,106,83,23,27.7
〔就業状態〕／非労働力人口,4027,3988,39,1,1442,1413,29,2.1,2585,2576,9,0.3
〔就業者の活動状況別内訳〕／就業者数（再掲）,8127,8153,-26,-0.3,4468,4508,-40,-0.9,3659,3644,15,0.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7429,7950,-521,-6.6,4193,4443,-250,-5.6,3236,3507,-271,-7.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6426,6725,-299,-4.4,3979,4216,-237,-5.6,2447,2509,-62,-2.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,196,312,-116,-37.2,103,147,-44,-29.9,93,165,-72,-43.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,807,914,-107,-11.7,111,80,31,38.8,697,834,-137,-16.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,698,202,496,245.5,275,65,210,323.1,423,137,286,208.8
〔就業者の主な産業別内訳〕／建設業,420,444,-24,-5.4,333,354,-21,-5.9,87,90,-3,-3.3
〔就業者の主な産業別内訳〕／製造業,708,786,-78,-9.9,490,537,-47,-8.8,218,249,-31,-12.4
〔就業者の主な産業別内訳〕／情報通信業,773,748,25,3.3,512,500,12,2.4,261,249,12,4.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,371,357,14,3.9,289,276,13,4.7,81,81,0,0
〔就業者の主な産業別内訳〕／卸売業，小売業,1289,1329,-40,-3,638,652,-14,-2.1,651,676,-25,-3.7
〔就業者の主な産業別内訳〕／金融業，保険業,392,307,85,27.7,197,161,36,22.4,195,146,49,33.6
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,286,249,37,14.9,148,143,5,3.5,138,106,32,30.2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,577,588,-11,-1.9,355,372,-17,-4.6,222,216,6,2.8
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,421,528,-107,-20.3,195,238,-43,-18.1,227,290,-63,-21.7
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,237,317,-80,-25.2,126,142,-16,-11.3,112,175,-63,-36
〔就業者の主な産業別内訳〕／教育，学習支援業,488,408,80,19.6,194,168,26,15.5,294,240,54,22.5
〔就業者の主な産業別内訳〕／医療，福祉,848,820,28,3.4,212,210,2,1,635,610,25,4.1
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,754,723,31,4.3,453,425,28,6.6,300,297,3,1
〔雇用者の主な産業別内訳〕／建設業,349,373,-24,-6.4,269,288,-19,-6.6,79,85,-6,-7.1
〔雇用者の主な産業別内訳〕／製造業,610,651,-41,-6.3,440,461,-21,-4.6,170,190,-20,-10.5
〔雇用者の主な産業別内訳〕／情報通信業,740,725,15,2.1,486,478,8,1.7,254,246,8,3.3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,357,336,21,6.3,275,255,20,7.8,81,81,0,0
〔雇用者の主な産業別内訳〕／卸売業，小売業,1226,1284,-58,-4.5,610,625,-15,-2.4,616,659,-43,-6.5
〔雇用者の主な産業別内訳〕／金融業，保険業,388,305,83,27.2,194,160,34,21.3,194,145,49,33.8
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,232,212,20,9.4,124,123,1,0.8,108,88,20,22.7
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,448,436,12,2.8,280,276,4,1.4,169,160,9,5.6
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,377,447,-70,-15.7,176,190,-14,-7.4,202,256,-54,-21.1
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,181,246,-65,-26.4,99,110,-11,-10,82,137,-55,-40.1
〔雇用者の主な産業別内訳〕／教育，学習支援業,436,366,70,19.1,176,164,12,7.3,261,202,59,29.2
〔雇用者の主な産業別内訳〕／医療，福祉,801,784,17,2.2,184,185,-1,-0.5,617,599,18,3
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,625,618,7,1.1,366,361,5,1.4,259,257,2,0.8
〔非農林業雇用者の従業者規模別内訳〕／総数,7238,7253,-15,-0.2,3956,3968,-12,-0.3,3282,3285,-3,-0.1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1616,1738,-122,-7,877,933,-56,-6,739,805,-66,-8.2
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2197,2257,-60,-2.7,1199,1226,-27,-2.2,998,1031,-33,-3.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2805,2679,126,4.7,1573,1497,76,5.1,1232,1182,50,4.2
〔完全失業率（年齢階級別）(%)〕／総数,3.2,2.4,0.8,…,3.6,2.5,1.1,…,2.8,2.2,0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.5,4.7,-0.2,…,5.7,3.9,1.8,…,3.5,5.3,-1.8,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.6,2.8,1.8,…,5.2,3,2.2,…,4,2.6,1.4,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,2.7,2.2,0.5,…,3.3,2.5,0.8,…,1.9,1.8,0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.8,1.8,1,…,2.4,1.7,0.7,…,3.3,2.1,1.2,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3,2.3,0.7,…,3.4,3,0.4,…,2.5,1.2,1.3,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,1.4,0.5,…,2.7,2,0.7,…,0.8,0.8,0,…
〔就業率（%）〕／総数,65.4,66,-0.6,…,73.5,74.6,-1.1,…,57.6,57.8,-0.2,…
〔労働力人口比率(%)〕／総数,67.6,67.6,0,…,76.2,76.6,-0.4,…,59.3,59.1,0.2,…
,,,,,,,,,,,,
東京の労働力統計データ（令和２年４～６月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
令和２年４～６月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
