男女・年,専門的・技術的職業従事者（千人）,事務従事者（千人）,販売従事者（千人）,サービス職業従事者（千人）,生産工程従事者（千人）,運搬・清掃・包装等従事者（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成30年平均,1789,1983,1166,996,524,462,1001
実数／男女計／平成31年・令和元年平均,1911,2034,1163,969,521,480,982
実数／男女計／令和２年平均,1961,2213,1161,893,469,490,917
実数／男／平成30年平均,1061,791,702,384,372,274,834
実数／男／平成31年・令和元年平均,1104,823,695,387,365,279,818
実数／男／令和２年平均,1140,921,688,340,317,299,781
実数／女／平成30年平均,728,1192,464,612,152,189,168
実数／女／平成31年・令和元年平均,807,1211,468,583,156,202,164
実数／女／令和２年平均,821,1292,473,553,152,191,136
対前年増減数／男女計／平成31年・令和元年平均,122,51,-3,-27,-3,18,-19
対前年増減数／男女計／令和２年平均,50,179,-2,-76,-52,10,-65
対前年増減数／男／平成31年・令和元年平均,43,32,-7,3,-7,5,-16
対前年増減数／男／令和２年平均,36,98,-7,-47,-48,20,-37
対前年増減数／女／平成31年・令和元年平均,79,19,4,-29,4,13,-4
対前年増減数／女／令和２年平均,14,81,5,-30,-4,-11,-28
,,,,,,,
東京の労働力統計データ（令和２年平均）,,,,,,,
第６表　主な職業別就業者数,,,,,,,
注)日本標準職業分類（平成21年12月改定）に基づく職業別で、結果表章を行っている。その他(左記以外のもの）には、「管理的職業従事者」、「保安職業従事者」、「農林漁業従事者」、「輸送・機械運転従事者」、「建設・採掘従事者」及び「分類不能の職業」が含まれている。,,,,,,,
