"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","総務費","839263","4.6","838506","4.5"
"2020","保険給付費","16436043","90.1","16436043","87.9"
"2020","地域支援事業費","950254","5.2","950254","5.1"
"2020","基金積立金","138","0.0","450400","2.4"
"2020","諸支出金","7639","0.0","29325","0.2"
"2020","歳出合計","18233337","100.0","18704528","100.0"
"2021","総務費","787505","4.6",,
"2021","保険給付費","15231595","89.7",,
"2021","地域支援事業費","948608","5.6",,
"2021","基金積立金","498","0.0",,
"2021","諸支出金","7032","0.0",,
"2021","歳出合計","16975238","100.0",,

"令和3年度港区行政資料集　介護保険会計歳出予算","Ver202103",,,,
