,法人名,医療機関名,病床数,郵便番号,所在地,電話番号,事業開始日
1,社会福祉法人三井記念病院,三井記念病院 ,482,101-0024,千代田区神田和泉町１  ,03-3862-9111,S27.5.8
2,社会福祉法人恩賜財団母子愛育会 ,総合母子保健センター愛育病院,160,105-8321,港区芝浦１－１６－１０ ,03-6453-7300,S27.5.15
3,社会福祉法人恩賜財団母子愛育会,総合母子保健センター愛育クリニック,-,106-8580,港区南麻布５－６－８,03-3473-8310,H27.7.1
4,社会福祉法人恩賜財団済生会支部東京都済生会,東京都済生会中央病院,535,108-0073,港区三田１－４－１７,03-3451-8211,S27.5.22
5,社会福祉法人聖母会,聖母病院 ,154,161-0032,新宿区中落合２－５－１ ,03-3951-1111,S27.5.24
6,社会福祉法人浅草寺病院  ,浅草寺病院,120,111-0032,台東区浅草２－３０－１７    ,03-3841-3330,S27.4.15
7,東京保健生活協同組合,橋場診療所,-,111-0023,台東区橋場２－２－５,03-3875-8480,H26.4.1
8,東京保健生活協同組合,橋場診療所歯科,-,111-0023,台東区橋場２－２－５,03-3875-8480,H26.4.1
9,医療法人財団南葛??勤医協,すみだ共立診療所,-,131-0031,墨田区墨田３－４１－１５,03-3611-5545,R3.2.1
10,社会福祉法人同愛記念病院財団  ,同愛記念病院,427,130-0015,墨田区横網２－１－１１,03-3625-6381,S31.5.16
11,社会福祉法人賛育会 ,賛育会病院,199,130-0012 ,墨田区太平３－２０－２  ,03-3622-9191,S27.5.17
12,社会福祉法人恩賜財団済生会支部東京都済生会,東京都済生会向島病院,102,131-0041,墨田区八広１－５－１０  ,03-3610-3651 ,S27.1.1
13,社会福祉法人あそか会  ,あそか病院,254,135-0002,江東区住吉１－１８－１   ,03-3632-0290,S27.5.28
14,社会医療法人財団城南福祉医療協会,大田病院,189,143-0012,大田区大森東４－４－１４,03-3762-8421,H21.6.1
15,社会医療法人財団城南福祉医療協会,大田病院附属大森中診療所,-,143-0014,大田区大森中１－２２－２,03-6404-2301,H23.4.1
16,社会医療法人財団城南福祉医療協会,大田歯科,-,143-0012,大田区大森東４－３－１１,03-3762-0418,H23.4.1
17,社会福祉法人康和会,久我山病院 ,199,157-0061,世田谷区北烏山２－１４－２０ ,03-3309-1111 ,S38.12.27
18,社会福祉法人児玉新生会 ,児玉経堂病院,120,156-0052,世田谷区経堂２－５－２１,03-3420-1028,S27.4.4
19,社会福祉法人東京有隣会 ,有隣病院,199,156-0055,世田谷区船橋２－１５－３８ ,03-3482-3611 ,S27.5.23
20,医療法人財団東京勤労者医療会,代々木病院,150,151-8556,渋谷区千駄ヶ谷１－３０－７,03-3404-7661,H23.4.1
21,社会福祉法人浄風園 ,中野江古田病院,173,165-0022,中野区江古田４－１９－９,03-3387-7321,S27.4.1
22,社会福祉法人武蔵野療園   ,武蔵野療園病院,92,165-0022,中野区江古田２－２４－１１,03-3389-5511,S29.1.27
23,社会医療法人社団健友会,中野共立病院,110,164-0001,中野区中野５－４４－７,03-3386-3166,H29.10.2
24,社会医療法人社団健友会,中野共立病院附属中野共立診療所,-,164-0001,中野区中野５－４５－４,03-3386-7311,H29.10.2
25,社会医療法人社団健友会,川島診療所,-,164-0013,中野区弥生町３－２７－１１,03-3372-4438,H29.10.2
26,宗教法人救世軍 ,救世軍ブ－ス記念病院,199,166-0012,杉並区和田１－４０－５  ,03-3381-7236,S28.9.1
27,社会福祉法人浴風会  ,浴風会病院  ,199,168-0071,杉並区高井戸西１－１２－１,03-3332-6511,S26.6.1
28,社会福祉法人新栄会,滝野川病院 ,59,114-0023,北区滝野川２－３２－１２ ,03-3910-6336 ,S27.6.23
29,東京ほくと医療生活協同組合,王子生協病院,159,114-0003,北区豊島３－４－１５,03-3912-2201,H27.4.13
30,社会福祉法人上智社会事業団,上智クリニック,19,116-0001,荒川区町屋４－９－１０ ,03-3892-4514  ,S27.8.5
31,社会福祉法人上宮会  ,日暮里上宮病院 ,81,116-0014,荒川区東日暮里２－２９－８ ,03-3891-5291 ,S27.7.9
32,公益社団法人板橋区医師会,板橋区医師会病院,199,175-0082,板橋区高島平３－１２－６,03-3975-8151,H18.4.1
33,医療法人財団健康文化会,小豆沢病院,130,174-0051,板橋区小豆沢１－６－８,03-3966-8411,H27.3.1
