,法人名,施設名,定員,郵便番号,所在地,電話番号,事業開始日,施設開設日
1,社会福祉法人創生会,"介護老人保健施設　
ろうけん隅田秋光園",90,130-0015,墨田区横綱２－７－１３,03-5610-1235,R2.5.1,R2.5.1
2,医療法人社団湖聖会,"介護老人保健施設
キーストーン",100,136-0071,江東区亀戸３－３６－１,03-3637-2121,H20.4.1,H20.4.1
3,社会福祉法人さくら会,"介護老人保健施設　
ケアセンター南大井",100,140-0013,品川区南大井５－１９－１,03-5753-3901,H12.5.1,H12.5.1
4,医療法人財団宏寿会,"介護老人保健施設　
グリーンポート恵比寿",100,150-0013,渋谷区恵比寿３－３６－５,03-3444-2322,H18.4.1,H11.4.20
5,社会福祉法人救世軍社会事業団,"ブース記念
老人保健施設グレイス　",100,166-0012,杉並区和田１－４０－１５,03-3380-1248,H12.4.1,H7.10.3
6,社会福祉法人浴風会,老健くぬぎ,100,168-0071,杉並区高井戸西１－１２－１,03-5336-7701,H26.10.1,H26.10.1
7,社会福祉法人新栄会,"滝野川病院附属
介護老人保健施設",58,114-0023,北区滝野川2-32-12,03-5907-6910,H20.6.1,H20.6.1
8,"社会福祉法人
上智社会事業団","介護老人保健施設　
まちや",100,116-0001,荒川区町屋４－９－５,03-3892-5120,H12.4.1,H10.3.27
9,医療法人財団健康文化会,"介護老人保健施設　
志村さつき苑",100,174-0043,板橋区坂下３－７－６,03-5970-3358,H21.3.1,H16.4.1
10,医療法人財団健和会,"介護老人保健施設
千寿の郷",52,120-0022,足立区柳原２－３３－６,03-3870-4621,H12.4.1,H6.1.6
11,医療法人社団成和会,"介護老人保健施設
むくげのいえ",120,123-0845,足立区西新井本町１－２５－３６,03-5838-0788,R4.12.1,H15.1.15
12,社会福祉法人東京愛育苑,"介護老人保健施設　
東京愛育苑ケアレジデンス",100,125-0032,葛飾区水元３－１３－２,03-5660-1190,H26.4.1,H7.4.1
13,社会福祉法人三鷹市社会福祉事業団,"三鷹市牟礼老人保健施設
はなかいどう",61,181-0002,三鷹市牟礼６－１２－３０,0422-44-7700,H12.4.1,H11.9.1
14,社会福祉法人共助会,"介護老人保健施設   
サンシルバー町田",100,194-0211,町田市相原町２３７３－１,042-770-2551,H12.4.1,H8.3.11
15,社会福祉法人黎明会,"介護老人保健施設 
 けやきの郷",100,187-0032,小平市小川町１－４８５,042-345-5321,H12.4.1,H9.4.1
16,社会福祉法人白十字会,"介護老人保健施設　
東京ばんなん白光園",86,189-0021,東村山市諏訪町２－２６－１,042-391-6114,H12.4.1,H5.8.25
17,社会福祉法人緑風会,"介護老人保健施設 
グリーン・ボイス",118,189-0012,東村山市萩山町３－３１－２,042-392-8611,H12.4.1,H8.4.1
18,社会福祉法人東京聖新会,"介護老人保健施設　
ハートフル田無",70,188-0013,西東京市向台町２－１６－２２,042-468-5166,H12.4.1,H11.4.16
