"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている（利用したことがある）[人]","知っているが利用したことはない[人]","知らない[人]","無回答[人]"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","全体",,"558","14","79","463","2"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性（計）","231","5","36","190","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","13","0","2","11","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","38","0","4","34","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","50","2","4","44","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","47","2","11","34","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","42","0","9","33","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","40","1","6","33","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","0","0","1","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性（計）","313","9","42","262","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","26","0","3","23","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","49","1","3","45","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","78","2","10","66","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","62","4","7","51","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","56","2","8","46","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","42","0","11","31","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","性・年代別","無回答","14","0","1","11","2"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","自営業主・家族従業","86","3","9","74","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","243","8","29","206","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","35","0","5","30","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","家事専業","55","0","9","46","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","学生","13","0","1","12","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","無職","81","3","19","59","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","その他","31","0","5","26","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","職業別","無回答","14","0","2","10","2"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","芝地区","86","3","9","74","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","麻布地区","87","2","17","68","0"
"202203","区政全般","Q8. 区政に対する区民の皆さまのご意見やご提案等をお伺いする「区民の声センター」を設置しています。あなたは「区民の声センター」を知っていますか。（１つ選択）","居住地区別","赤坂地区","81","2","10","69","0"
