施設名,所在地,開設年月日,施設内容,面積[㎡],収容定員,利用対象,管理方式
家庭センター,亀沢3-24-2,昭46.1.23,長寿室,89,60,高齢者,指定管理者　一般財団法人墨田まちづくり公社
家庭センター,亀沢3-24-2,昭46.1.23,集会室,61,40,一般区民,指定管理者　一般財団法人墨田まちづくり公社
家庭センター,亀沢3-24-2,昭46.1.23,ホール,178,150,一般区民,指定管理者　一般財団法人墨田まちづくり公社
家庭センター,亀沢3-24-2,昭46.1.23,第1講習室,78,38,一般区民,指定管理者　一般財団法人墨田まちづくり公社
家庭センター,亀沢3-24-2,昭46.1.23,第2講習室,63,30,一般区民,指定管理者　一般財団法人墨田まちづくり公社
社会福祉会館,東墨田2-7-1,昭49.9.19,高齢者娯楽室,97,60,高齢者,直営(夜間・土日については委託）
社会福祉会館,東墨田2-7-1,昭49.9.19,第1講習室,71,30,一般区民（団体）,直営(夜間・土日については委託）
社会福祉会館,東墨田2-7-1,昭49.9.19,第2講習室,66,20,一般区民（団体）,直営(夜間・土日については委託）
社会福祉会館,東墨田2-7-1,昭49.9.19,和室,38,15,一般区民（団体）,直営(夜間・土日については委託）
社会福祉会館,東墨田2-7-1,昭49.9.19,ホール,154,190,一般区民（団体）,直営(夜間・土日については委託）
東駒形ｺﾐｭﾆﾃｨ会館,東駒形4-14-1,昭57.5.1,全体面積,1502,,一般区民（団体）,
東駒形ｺﾐｭﾆﾃｨ会館,東駒形4-14-1,昭57.5.1,地域集会室,63,30,一般区民（団体）,指定管理者　東駒形ＴＲＣ賀川記念館グループ
東駒形ｺﾐｭﾆﾃｨ会館,東駒形4-14-1,昭57.5.1,図書室,611,閲覧席50,一般区民,指定管理者　東駒形ＴＲＣ賀川記念館グループ
東駒形ｺﾐｭﾆﾃｨ会館,東駒形4-14-1,昭57.5.1,児童室,378,,児童,指定管理者　東駒形ＴＲＣ賀川記念館グループ
梅若橋ｺﾐｭﾆﾃｨ会館,堤通2-9-1,昭63.4.1,全体面積,1897,,一般区民（団体）,
梅若橋ｺﾐｭﾆﾃｨ会館,堤通2-9-1,昭63.4.1,地域集会室  和室,122,45,一般区民（団体）,指定管理者　梅若橋あすのすみだ
梅若橋ｺﾐｭﾆﾃｨ会館,堤通2-9-1,昭63.4.1,地域集会室  多目的室,84,60,一般区民（団体）,指定管理者　梅若橋あすのすみだ
梅若橋ｺﾐｭﾆﾃｨ会館,堤通2-9-1,昭63.4.1,地域集会室  料理室,108,42,一般区民（団体）,指定管理者　梅若橋あすのすみだ
梅若橋ｺﾐｭﾆﾃｨ会館,堤通2-9-1,昭63.4.1,図書室,544,閲覧席53,一般区民,指定管理者　梅若橋あすのすみだ
梅若橋ｺﾐｭﾆﾃｨ会館,堤通2-9-1,昭63.4.1,児童室,420,,児童,指定管理者　梅若橋あすのすみだ
横川ｺﾐｭﾆﾃｨ会館,横川5-9-1,平7.4.1,全体面積,2556,,一般区民,
横川ｺﾐｭﾆﾃｨ会館,横川5-9-1,平7.4.1,地域集会室,107,40,一般区民,指定管理者　ソシオーク・テルウェル・東武ビルマネジメント共同企業体
横川ｺﾐｭﾆﾃｨ会館,横川5-9-1,平7.4.1,図書室,710,閲覧席76,一般区民,指定管理者　ソシオーク・テルウェル・東武ビルマネジメント共同企業体
横川ｺﾐｭﾆﾃｨ会館,横川5-9-1,平7.4.1,児童室,509,,児童,指定管理者　ソシオーク・テルウェル・東武ビルマネジメント共同企業体
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ,緑3-7-3,平7.6.1,集会室(長寿室）,69,30,一般区民(高齢者）,指定管理者　アズビル株式会社
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ,緑3-7-3,平7.6.1,会議室,84,50,一般区民,指定管理者　アズビル株式会社
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ,緑3-7-3,平7.6.1,和室,184,80,一般区民,指定管理者　アズビル株式会社
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ,緑3-7-3,平7.6.1,発声練習室,34,15,一般区民,指定管理者　アズビル株式会社
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ,緑3-7-3,平7.6.1,多目的ホール,252,200,一般区民,指定管理者　アズビル株式会社
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ,緑3-7-3,平7.6.1,スタジオ,128,30,一般区民,指定管理者　アズビル株式会社
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ,緑3-7-3,平7.6.1,トレーニング室,81,,一般区民,指定管理者　アズビル株式会社
