区分,,,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
被保険者[人],,,第1号,41077,40614,39684,38627,37442
被保険者[人],,,任意加入,667,601,549,559,539
被保険者[人],,,第3号,14463,14412,14428,14719,14815
被保険者[人],,,計,56207,55627,54661,53905,52796
納付状況,,,対象月数,385309,371124,356425,340396,327337
納付状況,,,納付月数,210460,202038,198996,199250,201716
納付状況,,,納付率[％],54.6,54.4,55.8,58.5,61.6
受給権者数[人],基礎年金及び旧法拠出年金,老齢給付,老齢基礎,43991,46243,48171,49915,51263
受給権者数[人],基礎年金及び旧法拠出年金,老齢給付,老齢[5年年金含む],3368,2976,2622,2277,2005
受給権者数[人],基礎年金及び旧法拠出年金,老齢給付,通算老齢,1522,1359,1221,1087,936
受給権者数[人],基礎年金及び旧法拠出年金,障害給付,障害基礎,2841,2895,2918,2965,3018
受給権者数[人],基礎年金及び旧法拠出年金,障害給付,障害,121,113,104,90,86
受給権者数[人],基礎年金及び旧法拠出年金,遺族給付,遺族基礎,407,440,433,410,410
受給権者数[人],基礎年金及び旧法拠出年金,遺族給付,寡婦,52,46,44,38,34
受給権者数[人],基礎年金及び旧法拠出年金,遺族給付,死亡一時金,71,76,35,37,30
受給権者数[人],福祉年金,老齢,,7,3,2,2,2
