区分,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
加入世帯数（年度末現在）,,48726,48582,47852,46895,45906
被保険者数（年度末現在）,,77223,76279,74061,71473,68582
療養給付,受診件数,1149469,1142784,1132286,1110284,1093377
療養給付,受診率[％],1472.53,1483.96,1503.44,1519.54,1559.83
療養諸費,総費用額[千円],22342906,22502083,22394046,22625918,22468396
療養諸費,保険者[千円],16212712,16324576,16285636,16476559,16352590
療養諸費,被保険者[千円],5017066,4826940,4745056,4808907,4909872
療養諸費,他法負担[千円],1113128,1350567,1363354,1340452,1205934
療養諸費,被保険者1人当たり療養諸費[円],286224,292201,297346,309660,320537
出産育児一時金支給件数,,368,389,342,348,322
葬祭費支給件数,,437,396,367,400,400
保険料,1世帯当たり[円],146046,147561,154202,154859,152599
保険料,1人当たり[円],91752,93702,99014,100973,101246
保険料収納率,現年分[％],82.03,82.47,83.36,83.78,85.23
保険料収納率,滞納繰越分[％],20,21.25,23.82,27.6,36.41
不当利得,件数,498,728,913,965,1492
不当利得,金額[円],6262535,10128801,8362505,9536764,18700432
第三者行為,件数,768,926,793,695,555
第三者行為,金額[円],53878776,33939878,17905623,28012507,16069797
