,施設名,所在地,開設年月日,敷地面積（㎡）,建物面積（㎡）,施設内容,運営委託等
,家庭センター,亀沢3-24-2,昭46.1.23,690.19,2711.43,長寿室、講習室、集会室、体育室、囲碁・将棋室、児童図書室、茶道講習室、音楽室、美術工作室、料理講習室、幼児室、ホール（定員150人）,指定管理者　一般財団法人墨田まちづくり公社
,社会福祉会館,東墨田2-7-1,昭49.9.19,1833.24,2580.13,ホール（定員190人）、和室、講習室2、高齢者娯楽室、体育室、トレーニング室、幼児室、同和相談室、児童図書室、ゲーム室、世代交流室、図工室,
,両国公会堂　※平成27.3.31廃止,横網1-12-10,昭43.4.1（移管）,,2855,定員790人（2階522人、3階268人）、1階ホール（移動席150人）,
,曳舟文化センター,京島1-38-11,昭62.4.21,2632.29,5582.97,ﾎｰﾙ(定員582人)、ﾚｸﾘｴｰｼｮﾝﾎｰﾙ(200人)、第1会議室(42人)、第2会議室(16人)、和室(30人)、茶室(8畳、水屋設備付),一般財団法人墨田まちづくり公社
,すみだリバーサイドホール,吾妻橋1-23-20,平2.11.5,,4147.49,ｲﾍﾞﾝﾄﾎｰﾙ(604㎡、定員700人)､ｷﾞｬﾗﾘｰ(278㎡)､会議室(92㎡、42人)､ﾐﾆｼｱﾀｰ(75㎡、53人）､情報コーナー,
,すみだ女性センター,押上2-12-7-111,平2.7.27,"3880.48　共有部分1,000,000分の121831",1443.16,ホール(定員165人)、第1会議室(16人)、第2会議室(36人)、第3会議室(24人)、和室(12人、水屋設備付)、談話ロビー、保育室、相談室、情報資料コーナー、印刷コーナー,
,みどりコミュニティセンター,緑3-7-3,平7.6.1,849.09,3037.52,集会室(定員30人)、会議室(50人)、和室(80人)、発声練習室(15人)、多目的ホール(200人)、トレーニングルーム、ヘルストロン、スタジオ(33人),指定管理者　　アズビル株式会社　
,すみだトリフォニーホール,錦糸1-2-3,平9.10.26,1688.17,20062.25,"大ホール(定員1,801人)、小ホール(252人)、練習室1、練習室2、練習室3",指定管理者　公益財団法人墨田区文化振興財団
,すみだ健康ハウス,東墨田1-2-6,平10.4.24,1331.95,2269.34,温水利用施設、浴室、ラウンジ、和室、リクライニングルーム、プレイルーム、休憩室、,指定管理者　すみだ健康ハウス管理組合
,すみだスポーツ健康センター,東墨田1-6-1,平12.7.6,8292.34,4126.32,温水プール、トレーニング室、レストラン他,指定管理者　住友不動産エスフォルタ・住友不動産建物サービス・アズビル共同企業体
地域プラザ,本所地域プラザ,本所1-13-4,平25.10.1,579.22,1702.47,イベントスペースＡ（52㎡）,指定管理者　一般社団法人地域プラザＢＩＧＳＨＩＰ
地域プラザ,八広地域プラザ,八広4-35-33,平25.4.1,8063.85,3445.59,トレーニングルーム,指定管理者　一般社団法人吾嬬の里
地区会館,向島言問会館,向島2-17-11,昭44.11.1,197.6,525.7,長寿室(21畳　78㎡),指定管理者　一般財団法人墨田まちづくり公社
地区会館,京島会館,京島2-15-5,昭61.423,262.5,328.32,長寿室(28.5畳　46㎡),
地区会館,菊川分室,菊川3-21-6,昭55.9.5,,48.6,長寿室(12畳　35㎡),
地区会館,柳島集会室,横川5-2-17 (柳島小学校校庭内),昭57.5.20,,208.7,長寿室(32畳　52㎡),
その他の長寿室等,家庭センター,亀沢3-24-2,昭46.1.23,690.19,2711.43,長寿室(40畳　89㎡),指定管理者　一般財団法人墨田まちづくり公社
その他の長寿室等,すみだ生涯学習ｾﾝﾀｰ別館,東向島2-28-5,平7.12.11,,906.78,和室(18畳　54㎡),
その他の長寿室等,東向島集会所,東向島4-8-12,昭62.10.1,,283.38,和室(32畳　59.94㎡),指定管理者　一般財団法人墨田まちづくり公社
その他の長寿室等,八広あおぎり集会所,八広4-11-6,平1.2.15,336.5,575.4,和室(32畳　84.8㎡),指定管理者　一般財団法人墨田まちづくり公社
その他の長寿室等,横川三丁目集会所,横川3-12-12,平5.2.1,232.1,438.6,和室(28畳),指定管理者　一般財団法人墨田まちづくり公社
その他の長寿室等,みどりコミュニティセンター,緑3-7-3,平7.6.1,849.1,3037.5,長寿室(25.5畳　69㎡),指定管理者　一般財団法人墨田まちづくり公社
その他の長寿室等,墨田集会所,墨田2-14-4,昭41.7.1,357.9,449.49,和室(28畳　45㎡),指定管理者　一般財団法人墨田まちづくり公社
その他の長寿室等,西あずま集会所,文花1-19-1,平14.10.1,,3234.08,和室(27畳　96㎡),指定管理者　一般財団法人墨田まちづくり公社
区民保養所　,伊豆高原荘,伊東市八幡野字磯道1033,昭54.1.29,10137.03,3203.54,客室26　収容人員139人,指定管理者　株式会社馬渕商事
