業種番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量（内、大気）,環境への排出量（内、公共用水域）,環境への排出量（内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,,,,,,,,,,,,
1200,食料品製造業,1,140,0,0,2.7,2.7,0,0,140,140,0,,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,
1320,酒類製造業,,,,,,,,,,,,,,,,,,,,,,,
1350,たばこ製造業,,,,,,,,,,,,,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,1,1600,0,0,1100,1100,0,0,480,480,0,,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,,,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,2,580,0,0,270,270,0,0,303.6,303.6,0,,,,,,,,,,,,
1700,家具・装備品製造業,7,5100,0,0,4310,4310,0,0,743,743,0,,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,,,,,,,,,,,,,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,
1931,印刷業,8,139530,0,0,131610,131610,0,0,8310,8310,0,,,,,,,,,,,,
1941,製版業,,,,,,,,,,,,,,,,,,,,,,,
1951,製本業,,,,,,,,,,,,,,,,,,,,,,,
1952,印刷物加工業,6,9070,0,0,9050,9050,0,0,20,20,0,,,,,,,,,,,,
2000,化学工業（下の業種を除く）,26,1267679,0,1134879,38011.6,38011.6,0,0,91945.2,91945.2,0.2,,,,,,,,,,,,
2060,医薬品製造業,5,48200,0,0,107.8,107.8,0,0,48200,48200,15.1,,,,,,,,,,,,
2100,石油製品・石炭製品製造業,,,,,,,,,,,,,,,,,,,,,,,
2200,プラスチック製品製造業,5,77610,0,0,49720,49720,0,0,27893,27893,0,,,,,,,,,,,,
2300,ゴム製品製造業,1,2100,0,0,2100,2100,0,0,0,0,0,,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,3,252,0,0,182,182,0,0,70,70,0,,,,,,,,,,,,
2500,窯業・土石製品製造業,1,630,0,0,630,630,0,0,0,0,0,,,,,,,,,,,,
2600,鉄鋼業,1,420,0,0,420,420,0,0,0,0,0,,,,,,,,,,,,
2700,非鉄金属製造業,,,,,,,,,,,,,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,6,2360,0,0,1559,1559,0,0,841,841,0,,,,,,,,,,,,
2861,金属製品塗装業,15,26310,0,220,11690,11690,0,0,13893,13893,0,,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,,,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,,,,,,,,,,,,,
2865,金属熱処理業,,,,,,,,,,,,,,,,,,,,,,,
2900,一般機械器具製造業,6,5360,0,0,4740,4740,0,0,620,620,1,,,,,,,,,,,,
3000,電気機械器具製造業（下の業種を除く）,9,11183,0,4300,4676.3,4676.3,0,0,2156,2156,0,,,,,,,,,,,,
3060,電子応用装置製造業,,,,,,,,,,,,,,,,,,,,,,,
3070,電気計測器製造業,1,950,0,0,590,590,0,0,360,360,0,,,,,,,,,,,,
3100,輸送用機械器具製造業（下の業種を除く）,11,41100,0,0,35400,35400,0,0,2378.7,1678.7,700,,,,,,,,,,,,
3120,鉄道車両・同部分品製造業,,,,,,,,,,,,,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,,,,,,,,,,,,,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,2,3600,0,0,1300,1300,0,0,2300,2300,0,,,,,,,,,,,,
3230,医療用機械器具・医療用品製造業,1,220,0,0,220,220,0,0,0,0,0,,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,,,,,,,,,,,,,
3400,その他の製造業,3,361.8,0,0,340,340,0,0,27,27,0,,,,,,,,,,,,
3500,電気業,,,,,,,,,,,,,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,,,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,,,,,,,,,,,,,
3830,下水道業,,,,,,,,,,,,,,,,,,,,,,,
3900,鉄道業,2,1500,0,0,1405,1405,0,0,95,95,0,,,,,,,,,,,,
4400,倉庫業,,,,,,,,,,,,,,,,,,,,,,,
5132,石油卸売業,,,,,,,,,,,,,,,,,,,,,,,
5930,燃料小売業,,,,,,,,,,,,,,,,,,,,,,,
7200,洗濯・理容・浴場業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,
7211,普通洗濯業,,,,,,,,,,,,,,,,,,,,,,,
7213,リネンサプライ業,,,,,,,,,,,,,,,,,,,,,,,
7430,写真業,,,,,,,,,,,,,,,,,,,,,,,
7700,自動車整備業,35,12030,0,0,9808,9808,0,0,2270.6,2270.6,0,,,,,,,,,,,,
7810,機械修理業,2,2540,0,0,1120,1120,0,0,1400,1400,0,,,,,,,,,,,,
8632,環境計量証明業,1,1100,0,0,53,53,0,0,1000,930,110,,,,,,,,,,,,
8700,廃棄物処理業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,
8710,一般廃棄物処理業,,,,,,,,,,,,,,,,,,,,,,,
8716,ごみ処分業,,,,,,,,,,,,,,,,,,,,,,,
8722,産業廃棄物処分業,,,,,,,,,,,,,,,,,,,,,,,
8724,特別産業廃棄物処分業,,,,,,,,,,,,,,,,,,,,,,,
8800,医療業,,,,,,,,,,,,,,,,,,,,,,,
9100,教育,28,54550,0,0,6889,6689,200,0,44370,43370,848.2,,,,,,,,,,,,
9210,自然科学研究所,18,44800,0,0,2910.9,2910.9,0,0,41819.1,41819.1,55.5,,,,,,,,,,,,
9999,分類不明,2,780,0,0,584,584,0,0,190,190,6,,,,,,,,,,,,
3600,ガス業,,,,,,,,,,,,,,,,,,,,,,,
,総　計,209,1761655.8,0,1139399,320799.3,320599.3,200,0,291825.2,290055.2,1736,,,,,,,,,,,,
