物質番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量(内、大気）,環境への排出量(内、公共用水域）,環境への排出量(内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,
1,アクロレイン,,,,,,,,,,,,
2,アセトン,3,870,0,0,860,860,0,0,10,10,0,
3,イソアミルアルコール,,,,,,,,,,,,
4,イソプロピルアルコール,41,192600,0,0,174585,174585,0,0,5147.4,4318.4,829,
5,エチレン,,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,,
8,塩酸,,,,,,,,,,,,
9,塩素,,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,,
11,キシレン,21,23050,0,0,16650,16650,0,0,5653,5653,0,
12,クロム及び三価クロム化合物,,,,,,,,,,,,
13,六価クロム化合物,2,450,0,0,0,0,0,0,450,450,0,
14,クロルピクリン,,,,,,,,,,,,
15,クロロホルム,,,,,,,,,,,,
16,酢酸エチル,8,139530,0,0,131610,131610,0,0,8310,8310,0,
17,酢酸ブチル,1,590,0,0,60,60,0,0,530,530,0,
18,酢酸メチル,,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化合物）,,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,,
26,ジクロロメタン,7,5210,0,0,4650,4650,0,0,560,560,0,
27,シマジン,,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,,
29,硝酸 ,,,,,,,,,,,,
30,水銀及びその化合物,,,,,,,,,,,,
31,スチレン,,,,,,,,,,,,
32,セレン及びその化合物,,,,,,,,,,,,
33,チウラム,,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,,
35,テトラクロロエチレン,,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,,
38,トリクロロエチレン,,,,,,,,,,,,
39,トルエン,21,72190,0,0,65360.2,65360.2,0,0,6206,6206,0,
40,鉛及びその化合物,,,,,,,,,,,,
41,ニッケル,,,,,,,,,,,,
42,ニッケル化合物,,,,,,,,,,,,
43,二硫化炭素,,,,,,,,,,,,
44,砒素及びその無機化合物,,,,,,,,,,,,
45,ＰＣＢ,,,,,,,,,,,,
46,ピリジン,,,,,,,,,,,,
47,フェノール,,,,,,,,,,,,
48,ふっ化水素及びその水溶性塩,,,,,,,,,,,,
49,ヘキサン,1,190,0,0,190,190,0,0,0,0,0,
50,ベンゼン,1,12,0,0,12,12,0,0,0,0,0,
51,ホルムアルデヒド,,,,,,,,,,,,
52,マンガン及びその化合物,3,680,0,0,0,0,0,0,680,680,0,
53,メタノール,6,3530,0,0,1170,1170,0,0,2413,2413,0,
54,メチルイソブチルケトン,5,17280,0,0,14510,14510,0,0,2340,2340,0,
55,メチルエチルケトン,6,40240,0,0,34090,34090,0,0,6130,6130,0,
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,,
57,硫酸,3,4740,0,0,0,0,0,0,2300,1300,1000,
58,ほう素及びその化合物,3,1500,0,220,0,0,0,0,1280,1280,0,
59,"1,4-ジオキサン",,,,,,,,,,,,
,総　計,132,502662,0,220,443747.2,443747.2,0,0,42009.4,40180.4,1829,
