業種番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量（内、大気）,環境への排出量（内、公共用水域）,環境への排出量（内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,,,,,,,,,,,,,
1200,食料品製造業,5,2090,0,0,180.6,180.6,0,0,1920,1780,140,,,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,1,8400,0,0,0,0,0,0,120,120,0,,,,,,,,,,,,,
1320,酒類製造業,,,,,,,,,,,,,,,,,,,,,,,,
1350,たばこ製造業,1,670,0,0,7.1,7.1,0,0,670,640,26,,,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,1,110000,0,0,27,27,0,0,0,0,0,,,,,,,,,,,,,
1700,家具・装備品製造業,2,630,0,0,540,540,0,0,90,90,0,,,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,1,1200,0,0,1200,1200,0,0,0,0,0,,,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1931,印刷業,6,3530,0,0,1170,1170,0,0,2413,2413,0,,,,,,,,,,,,,
1941,製版業,,,,,,,,,,,,,,,,,,,,,,,,
1951,製本業,1,900,0,0,900,900,0,0,0,0,0,,,,,,,,,,,,,
1952,印刷物加工業,4,13150,0,0,13150,13150,0,0,0,0,0,,,,,,,,,,,,,
2000,化学工業（下の業種を除く）,40,1653480,40000,1496830,12449.6,12449.6,0,0,85459.5,85447,23.1,,,,,,,,,,,,,
2060,医薬品製造業,10,95000,0,0,111,111,0,0,65810,65800,37.1,,,,,,,,,,,,,
2100,石油製品・石炭製品製造業,1,100,0,36,4,4,0,0,60,60,0,,,,,,,,,,,,,
2200,プラスチック製品製造業,5,9990,0,2100,3953,3953,0,0,3860,3860,0,,,,,,,,,,,,,
2300,ゴム製品製造業,3,1300,0,0,1150,1150,0,0,145,145,0,,,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,,,,,,,,,,,,,,
2500,窯業・土石製品製造業,3,1460,0,0,430,430,0,0,0,0,0,,,,,,,,,,,,,
2600,鉄鋼業,3,150270,0,0,270,270,0,0,0,0,0,,,,,,,,,,,,,
2700,非鉄金属製造業,,,,,,,,,,,,,,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,9,3980,0,0,2140,2140,0,0,1913,1913,0,,,,,,,,,,,,,
2861,金属製品塗装業,12,15600,0,110,6005,6005,0,0,7920,7920,0,,,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,1,120,0,0,100,100,0,0,20,20,0,,,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,12,9370,0,0,3011,3011,0,0,5740,2330,3410,,,,,,,,,,,,,
2865,金属熱処理業,2,42400,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2900,一般機械器具製造業,7,2500,0,51,2287,2287,0,0,161,161,1,,,,,,,,,,,,,
3000,電気機械器具製造業（下の業種を除く）,11,12792.3,0,2900,4937.3,4937.3,0,0,4316,3216,1140,,,,,,,,,,,,,
3060,電子応用装置製造業,1,300,0,0,260,260,0,0,38,38,0,,,,,,,,,,,,,
3070,電気計測器製造業,2,540,0,0,220,220,0,0,330,330,0,,,,,,,,,,,,,
3100,輸送用機械器具製造業（下の業種を除く）,8,307440,0,262000,20830,20830,0,0,3578.3,1378.3,2200,,,,,,,,,,,,,
3120,鉄道車両・同部分品製造業,,,,,,,,,,,,,,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,,,,,,,,,,,,,,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,7,9970,0,0,3267,3267,0,0,6050,6043,7,,,,,,,,,,,,,
3230,医療用機械器具・医療用品製造業,,,,,,,,,,,,,,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,,,,,,,,,,,,,,
3400,その他の製造業,3,570,0,0,570,570,0,0,0,0,0,,,,,,,,,,,,,
3500,電気業,,,,,,,,,,,,,,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,,,,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,,,,,,,,,,,,,,
