業種番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量（内、大気）,環境への排出量（内、公共用水域）,環境への排出量（内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,,,,,,,,,,,,,
1200,食料品製造業,6,407000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,1,28000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1320,酒類製造業,1,70000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1350,たばこ製造業,,,,,,,,,,,,,,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1700,家具・装備品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1931,印刷業,,,,,,,,,,,,,,,,,,,,,,,,
1941,製版業,3,7700,0,0,0,0,0,0,7700,7700,0,,,,,,,,,,,,,
1951,製本業,,,,,,,,,,,,,,,,,,,,,,,,
1952,印刷物加工業,,,,,,,,,,,,,,,,,,,,,,,,
2000,化学工業（下の業種を除く）,20,1590570,0,923757,38,38,0,0,313,247,66,,,,,,,,,,,,,
2060,医薬品製造業,,,,,,,,,,,,,,,,,,,,,,,,
2100,石油製品・石炭製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
2200,プラスチック製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
2300,ゴム製品製造業,1,310,0,0,0,0,0,0,310,290,15,,,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,,,,,,,,,,,,,,
2500,窯業・土石製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
2600,鉄鋼業,1,370000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2700,非鉄金属製造業,8,259220,0,0,67,67,0,0,300,300,0,,,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,22,37700,0,0,490,490,0,0,9100,9100,0,,,,,,,,,,,,,
2861,金属製品塗装業,2,6300,0,0,2000,2000,0,0,0,0,0,,,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,1,1400,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,110,188333,0,0,4,4,0,0,44168,44168,0,,,,,,,,,,,,,
2865,金属熱処理業,1,3400,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2900,一般機械器具製造業,1,400,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
3000,電気機械器具製造業（下の業種を除く）,12,35660,0,0,18,18,0,0,5160,3960,1200,,,,,,,,,,,,,
3060,電子応用装置製造業,,,,,,,,,,,,,,,,,,,,,,,,
3070,電気計測器製造業,1,740,0,0,0,0,0,0,710,710,0,,,,,,,,,,,,,
3100,輸送用機械器具製造業（下の業種を除く）,6,9060,0,0,0,0,0,0,3730,3730,0,,,,,,,,,,,,,
3120,鉄道車両・同部分品製造業,,,,,,,,,,,,,,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,,,,,,,,,,,,,,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,4,1400,0,0,0,0,0,0,1000,720,0,,,,,,,,,,,,,
3230,医療用機械器具・医療用品製造業,,,,,,,,,,,,,,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,,,,,,,,,,,,,,
3400,その他の製造業,1,8,0,0,0,0,0,0,8,8,0,,,,,,,,,,,,,
3500,電気業,,,,,,,,,,,,,,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,,,,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,,,,,,,,,,,,,,
3830,下水道業,,,,,,,,,,,,,,,,,,,,,,,,
3900,鉄道業,,,,,,,,,,,,,,,,,,,,,,,,
4400,倉庫業,,,,,,,,,,,,,,,,,,,,,,,,
5132,石油卸売業,,,,,,,,,,,,,,,,,,,,,,,,
5930,燃料小売業,,,,,,,,,,,,,,,,,,,,,,,,
7200,洗濯・理容・浴場業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
7211,普通洗濯業,,,,,,,,,,,,,,,,,,,,,,,,
7213,リネンサプライ業,,,,,,,,,,,,,,,,,,,,,,,,
7430,写真業,,,,,,,,,,,,,,,,,,,,,,,,
7700,自動車整備業,,,,,,,,,,,,,,,,,,,,,,,,
7810,機械修理業,1,150,0,0,120,120,0,0,30,30,0,,,,,,,,,,,,,
8632,環境計量証明業,4,512,0,0,20,20,0,0,432,432,0,,,,,,,,,,,,,
8700,廃棄物処理業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
8710,一般廃棄物処理業,,,,,,,,,,,,,,,,,,,,,,,,
8716,ごみ処分業,,,,,,,,,,,,,,,,,,,,,,,,
8722,産業廃棄物処分業,,,,,,,,,,,,,,,,,,,,,,,,
8724,特別産業廃棄物処分業,,,,,,,,,,,,,,,,,,,,,,,,
8800,医療業,,,,,,,,,,,,,,,,,,,,,,,,
9100,教育,6,1590,0,0,57.6,57.6,0,0,1041,1041,0,,,,,,,,,,,,,
9210,自然科学研究所,5,211090,0,0,0,0,0,0,3740.7,3740.7,0,,,,,,,,,,,,,
9999,分類不明,1,150000,0,150000,0,0,0,0,0,0,0,,,,,,,,,,,,,
3600,ガス業,,,,,,,,,,,,,,,,,,,,,,,,
,総　計,219,3380543,0,1073757,2814.6,2814.6,0,0,77742.7,76176.7,1281,,,,,,,,,,,,,
