業種番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量（内、大気）,環境への排出量（内、公共用水域）,環境への排出量（内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,,,,,,,,,,,,,
1200,食料品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1320,酒類製造業,,,,,,,,,,,,,,,,,,,,,,,,
1350,たばこ製造業,1,1500,0,0,22,22,0,0,1500,1500,26,,,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,1,40,0,0,30,30,0,0,10,10,0,,,,,,,,,,,,,
1700,家具・装備品製造業,4,500,0,0,450,450,0,0,50,50,0,,,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,1,460,0,0,460,460,0,0,0,0,0,,,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,1,200,0,0,190,190,0,0,10,10,0,,,,,,,,,,,,,
1931,印刷業,41,192600,0,0,174585,174585,0,0,5147.4,4318.4,829,,,,,,,,,,,,,
1941,製版業,1,130,0,0,120,120,0,0,6,6,0,,,,,,,,,,,,,
1951,製本業,1,16000,0,0,16000,16000,0,0,0,0,0,,,,,,,,,,,,,
1952,印刷物加工業,6,33160,0,0,33160,33160,0,0,0,0,0,,,,,,,,,,,,,
2000,化学工業（下の業種を除く）,38,258620,0,219234,3112.7,3112.7,0,0,36897,25676.7,11220.5,,,,,,,,,,,,,
2060,医薬品製造業,7,137654.3,0,131594.3,53.2,53.2,0,0,6056,6052,4.3,,,,,,,,,,,,,
2100,石油製品・石炭製品製造業,3,11300,0,11000,5.6,5.6,0,0,303.4,303.4,0,,,,,,,,,,,,,
2200,プラスチック製品製造業,3,10710,0,1700,3764,3764,0,0,5200,5200,0,,,,,,,,,,,,,
2300,ゴム製品製造業,2,990,0,0,950,950,0,0,43,43,0,,,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,,,,,,,,,,,,,,
2500,窯業・土石製品製造業,2,5000,0,0,1260,1260,0,0,3720,120,3600,,,,,,,,,,,,,
2600,鉄鋼業,1,560,0,0,560,560,0,0,0,0,0,,,,,,,,,,,,,
2700,非鉄金属製造業,1,4400,0,3500,360,360,0,0,540,540,0,,,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,3,4780,0,0,4680,4680,0,0,56,56,0,,,,,,,,,,,,,
2861,金属製品塗装業,9,3650,0,0,3250,3250,0,0,399,399,0,,,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,,,,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,6,3190,0,0,2180,2180,0,0,361,40,322,,,,,,,,,,,,,
2865,金属熱処理業,,,,,,,,,,,,,,,,,,,,,,,,
2900,一般機械器具製造業,2,460,0,0,210,210,0,0,250,250,0,,,,,,,,,,,,,
3000,電気機械器具製造業（下の業種を除く）,20,32309,0,0,7357,7357,0,0,24311,24311,0,,,,,,,,,,,,,
3060,電子応用装置製造業,2,11350,0,7600,3770,3770,0,0,161,161,0,,,,,,,,,,,,,
3070,電気計測器製造業,3,890,0,0,580,580,0,0,310,310,0,,,,,,,,,,,,,
3100,輸送用機械器具製造業（下の業種を除く）,7,21870,0,0,13050,13050,0,0,1129.5,929.5,200,,,,,,,,,,,,,
3120,鉄道車両・同部分品製造業,,,,,,,,,,,,,,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,,,,,,,,,,,,,,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,7,30880,0,1300,15055,15055,0,0,14345,13905,440,,,,,,,,,,,,,
3230,医療用機械器具・医療用品製造業,1,200,0,0,120,120,0,0,80,80,0,,,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,,,,,,,,,,,,,,
3400,その他の製造業,3,8620,0,3500,0,0,0,0,5120,5120,0,,,,,,,,,,,,,
3500,電気業,,,,,,,,,,,,,,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,,,,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,,,,,,,,,,,,,,
3830,下水道業,,,,,,,,,,,,,,,,,,,,,,,,
3900,鉄道業,,,,,,,,,,,,,,,,,,,,,,,,
4400,倉庫業,,,,,,,,,,,,,,,,,,,,,,,,
5132,石油卸売業,,,,,,,,,,,,,,,,,,,,,,,,
5930,燃料小売業,,,,,,,,,,,,,,,,,,,,,,,,
7200,洗濯・理容・浴場業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
7211,普通洗濯業,1,300,0,0,300,300,0,0,0,0,0,,,,,,,,,,,,,
7213,リネンサプライ業,,,,,,,,,,,,,,,,,,,,,,,,
7430,写真業,,,,,,,,,,,,,,,,,,,,,,,,
7700,自動車整備業,14,3920,0,0,2963,2963,0,0,917,917,0,,,,,,,,,,,,,
7810,機械修理業,2,3800,0,0,2870,2870,0,0,930,930,0,,,,,,,,,,,,,
8632,環境計量証明業,,,,,,,,,,,,,,,,,,,,,,,,
8700,廃棄物処理業（下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
8710,一般廃棄物処理業,,,,,,,,,,,,,,,,,,,,,,,,
8716,ごみ処分業,,,,,,,,,,,,,,,,,,,,,,,,
8722,産業廃棄物処分業,,,,,,,,,,,,,,,,,,,,,,,,
8724,特別産業廃棄物処分業,1,130000,0,0,1000,1000,0,0,0,0,0,,,,,,,,,,,,,
8800,医療業,10,6280,0,0,2626,2626,0,0,3650,3650,0,,,,,,,,,,,,,
9100,教育,11,4540,0,0,534.5,534.5,0,0,3340,3330,3.5,,,,,,,,,,,,,
9210,自然科学研究所,7,3600,0,0,119,119,0,0,2940.7,2930.5,18.2,,,,,,,,,,,,,
9999,分類不明,,,,,,,,,,,,,,,,,,,,,,,,
3600,ガス業,,,,,,,,,,,,,,,,,,,,,,,,
,総　計,223,944463.3,0,379428.3,295747,295747,0,0,117783,101148.5,16663.5,,,,,,,,,,,,,
