物質番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量(内、大気）,環境への排出量(内、公共用水域）,環境への排出量(内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,
1,アクロレイン,,,,,,,,,,,,
2,アセトン,21,47020,0,0,2438,2438,0,0,43900,43699,102.9,
3,イソアミルアルコール,,,,,,,,,,,,
4,イソプロピルアルコール,7,3600,0,0,119,119,0,0,2940.7,2930.5,18.2,
5,エチレン,,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,,
8,塩酸,7,24120,0,0,0,0,0,0,1181.2,1181,0.2,
9,塩素,,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,,
11,キシレン,9,2170,0,0,84.4,84.4,0,0,1425,1425,0,
12,クロム及び三価クロム化合物,,,,,,,,,,,,
13,六価クロム化合物,,,,,,,,,,,,
14,クロルピクリン,,,,,,,,,,,,
15,クロロホルム,13,12860,0,0,1116.9,1116.9,0,0,11080,11080,4.8,
16,酢酸エチル,18,44800,0,0,2910.9,2910.9,0,0,41819.1,41819.1,55.5,
17,酢酸ブチル,1,220,0,0,11,11,0,0,200,200,0,
18,酢酸メチル,,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化物）,,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,,
26,ジクロロメタン,11,19230,0,0,1399.1,1399.1,0,0,17597,17597,0,
27,シマジン,,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,,
29,硝酸 ,5,211090,0,0,0,0,0,0,3740.7,3740.7,0,
30,水銀及びその化合物,,,,,,,,,,,,
31,スチレン,,,,,,,,,,,,
32,セレン及びその化合物,,,,,,,,,,,,
33,チウラム,,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,,
35,テトラクロロエチレン,3,15200,0,0,425,425,0,0,14700,14700,0,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,,
38,トリクロロエチレン,,,,,,,,,,,,
39,トルエン,8,7930,0,0,228.1,228.1,0,0,5530,5530,0,
40,鉛及びその化合物,,,,,,,,,,,,
41,ニッケル,1,120,0,0,0,0,0,0,120,120,0,
42,ニッケル化合物,,,,,,,,,,,,
43,二硫化炭素,,,,,,,,,,,,
44,砒素及びその無機化合物,,,,,,,,,,,,
45,ＰＣＢ,,,,,,,,,,,,
46,ピリジン,,,,,,,,,,,,
47,フェノール,,,,,,,,,,,,
48,ふっ化水素及びその水溶性塩,1,280,0,0,0,0,0,0,0,0,0,
49,ヘキサン,13,35670,0,0,2629.8,2629.8,0,0,32340.4,32340.4,2.5,
50,ベンゼン,,,,,,,,,,,,
51,ホルムアルデヒド,3,590,0,0,16,16,0,0,570,570,0,
52,マンガン及びその化合物,,,,,,,,,,,,
53,メタノール,25,45420,0,0,2167.3,2167.3,0,0,41625.6,41225.1,362,
54,メチルイソブチルケトン,1,100,0,0,4,4,0,0,90,90,0,
55,メチルエチルケトン,1,240,0,200,0,0,0,0,36,36,0,
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,,
57,硫酸,10,9507,0,0,0,0,0,0,5731.4,5731.4,0,
58,ほう素及びその化合物,,,,,,,,,,,,
59,"1,4-ジオキサン",1,110,0,0,11,11,0,0,95,95,0,
,総　計,159,480277,0,200,13560.5,13560.5,0,0,224722.1,224110.2,546.1,
