業種番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量（内、大気）,環境への排出量（内、公共用水域）,環境への排出量（内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,,,,,,,,,,,,,
1200,食料品製造業,8,534320,0,0,2,2,0,0,8,8,0,,,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,2,140120,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1320,酒類製造業,1,600000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1350,たばこ製造業,,,,,,,,,,,,,,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,2,13240,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,1,2000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1700,家具・装備品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,2,23100,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,1,120,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1931,印刷業,3,4740,0,0,0,0,0,0,2300,1300,1000,,,,,,,,,,,,,
1941,製版業,,,,,,,,,,,,,,,,,,,,,,,,
1951,製本業,,,,,,,,,,,,,,,,,,,,,,,,
1952,印刷物加工業,,,,,,,,,,,,,,,,,,,,,,,,
2000,化学工業（下の業種を除く）,33,31108624.5,0,25438184.5,10,10,0,0,2230,2230,0,,,,,,,,,,,,,
2060,医薬品製造業,3,8500,0,120,0,0,0,0,0,0,0,,,,,,,,,,,,,
2100,石油製品・石炭製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
2200,プラスチック製品製造業,1,180,0,0,0,0,0,0,180,180,0,,,,,,,,,,,,,
2300,ゴム製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,,,,,,,,,,,,,,
2500,窯業・土石製品製造業,25,1102179,0,0,2400,2400,0,0,311000,311000,0,,,,,,,,,,,,,
2600,鉄鋼業,5,1079150,0,0,680,680,0,0,778400,778400,0,,,,,,,,,,,,,
2700,非鉄金属製造業,5,69120,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,33,120190,0,510,0,0,0,0,15520,15520,0,,,,,,,,,,,,,
2861,金属製品塗装業,4,94830,0,0,0,0,0,0,87000,87000,0,,,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,1,180,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,188,904126,0,0,5,5,0,0,10009,10009,0,,,,,,,,,,,,,
2865,金属熱処理業,2,16400,0,0,0,0,0,0,3400,3400,0,,,,,,,,,,,,,
2900,一般機械器具製造業,1,2300,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
