物質番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量(内、大気）,環境への排出量(内、公共用水域）,環境への排出量(内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,
1,アクロレイン,,,,,,,,,,,,
2,アセトン,1,220,0,0,210,210,0,0,10,10,0,
3,イソアミルアルコール,,,,,,,,,,,,
4,イソプロピルアルコール,,,,,,,,,,,,
5,エチレン,,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,,
8,塩酸,2,35600,0,0,0,0,0,0,0,0,0,
9,塩素,,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,,
11,キシレン,1,160,0,0,160,160,0,0,0,0,0,
12,クロム及び三価クロム化合物,,,,,,,,,,,,
13,六価クロム化合物,,,,,,,,,,,,
14,クロルピクリン,,,,,,,,,,,,
15,クロロホルム,,,,,,,,,,,,
16,酢酸エチル,,,,,,,,,,,,
17,酢酸ブチル,,,,,,,,,,,,
18,酢酸メチル,,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化物）,,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,,
26,ジクロロメタン,,,,,,,,,,,,
27,シマジン,,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,,
29,硝酸 ,,,,,,,,,,,,
30,水銀及びその化合物,,,,,,,,,,,,
31,スチレン,1,110,0,0,110,110,0,0,0,0,0,
32,セレン及びその化合物,,,,,,,,,,,,
33,チウラム,,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,,
35,テトラクロロエチレン,,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,,
38,トリクロロエチレン,,,,,,,,,,,,
39,トルエン,2,249,400,0,430,430,0,0,210,210,0,
40,鉛及びその化合物,,,,,,,,,,,,
41,ニッケル,,,,,,,,,,,,
42,ニッケル化合物,,,,,,,,,,,,
43,二硫化炭素,,,,,,,,,,,,
44,砒素及びその無機化合物,,,,,,,,,,,,
45,ＰＣＢ,,,,,,,,,,,,
46,ピリジン,,,,,,,,,,,,
47,フェノール,1,0,110,0,110,110,0,0,0,0,0,
48,ふっ化水素及びその水溶性塩,,,,,,,,,,,,
49,ヘキサン,2,240,460,0,690,690,0,0,10,10,0,
50,ベンゼン,1,0,200,0,200,200,0,0,0,0,0,
51,ホルムアルデヒド,,,,,,,,,,,,
52,マンガン及びその化合物,,,,,,,,,,,,
53,メタノール,,,,,,,,,,,,
54,メチルイソブチルケトン,,,,,,,,,,,,
55,メチルエチルケトン,,,,,,,,,,,,
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,,
57,硫酸,2,16530,0,0,0,0,0,0,0,0,0,
58,ほう素及びその化合物,,,,,,,,,,,,
59,"1,4-ジオキサン",,,,,,,,,,,,
,総　計,13,53109,1170,0,1910,1910,0,0,230,230,0,
58,ほう素及�3丁目3,35.695652,139.754379,JGD2011,都道302号新宿両国線,C,2012-11-27,2012-11-28,4,6,6.1,1.2,68,65
21,千代田区外神田2丁目2,35.699581,139.767685,JGD2011,都道405号外濠環状線,C,2012-11-27,2012-11-28,4,4,3.2,1.2,69,67
22,千代田区岩本町2丁目18,35.693436,139.778275,JGD2011,区道千第619号,C,2012-11-27,2012-11-28,5,5,4.2,1.2,66,65
23,中央区月島4-1,35.662067,139.782181,JGD2011,都道463号線(清澄通り),c,2012-06-05,2012-06-08,4,6,7,1.2,63,60
24,中央区日本橋小伝馬町20,35.692455,139.780502,JGD2011,国道6号(江戸通り),c,2012-06-05,2012-06-08,3,6,4.5,1.2,68,66
25,中央区日本橋本町2-2,35.687996,139.775497,JGD2011,都道316号線(昭和通り),c,2012-06-05,2012-06-08,4,7,6,1.2,74,73
26,中央区築地6-1,35.665749,139.772690,JGD2011,都道304号線(晴海通り),c,2012-07-10,2012-07-13,4,6,5,1.2,70,70
27,中央区銀座1-16,35.674118,139.770599,JGD2011,都道316号線(昭和通り),c,2012-10-02,2012-10-05,4,10,6,1.2,71,71
28,中央区日本橋人形町2-36,35.685848,139.786469,JGD2011,都道50号線(新大橋通り),c,2012-10-02,2012-10-05,4,6,5.5,1.2,68,66
29,中央区京橋2-3,35.676660,139.771215,JGD2011,国道15号(中央通り),c,2012-10-02,2012-10-05,3,4,5.4,1.2,68,66
30,中央区新富2-15,35.671257,139.775208,JGD2011,都道50号線(新大橋通り),c,2013-02-19,2013-02-22,4,6,5.5,1.2,68,65
31,中央区晴海1-8,35.655556,139.781830,JGD2011,都道304号線(晴海通り),c,2012-12-04,2012-12-07,4,10,6.7,1.2,66,64
32,中央区日本橋茅場町1-14,35.680141,139.781479,JGD2011,都道50号線(新大橋通り),c,2013-01-08,2013-01-11,4,6,5.4,1.2,66,64
33,中央区日本橋本町4-7,35.689816,139.774475,JGD2011,国道4号(日光街道),C,2012-09-03,2012-09-04,3,8,6.5,1.2,71,70
34,中央区日本橋本町1-4,35.686150,139.775772,JGD2011,都道316号(日本橋芝浦大森線),C,2012-09-03,2012-09-04,4,6,5.5,1.2,74,73
35,中央区日本橋1-5,35.683125,139.774536,JGD2011,国道1号,C,2012-09-03,2012-09-04,3,4,6.2,1.2,68,67
36,中央区京橋1-7,35.678383,139.771408,JGD2011,国道15号,C,2012-09-03,2012-09-04,3,4,6.4,1.2,68,67
37,中央区日本橋室町4-6,35.689713,139.772888,JGD2011,国道17号(中山道),C,2012-09-03,2012-09-04,3,6,4.8,1.2,70,68
38,中央区日本橋茅場町1-8,35.680141,139.779007,JGD2011,都道10号(東京浦安線),C,2012-09-03,2012-09-04,4,6,6.2,1.2,70,69
39,中央区新富1-18,35.672295,139.775620,JGD2011,都道50号(東京市川線),C,2012-09-03,2012-09-04,4,6,6.0,1.2,66,65
40,中央区日本橋蛎殻町1-29,35.683262,139.783646,JGD2011,都道50号(東京市川線),C,2012-09-03,2012-09-04,4,6,5.9,1.2,69,68
41,中央区日本橋浜町3-15,35.684387,139.789001,JGD2011,都道474号(浜町北砂町線),C,2012-09-03,2012-09-04,4,4,3.2,1.2,70,67
42,港区白金台1-2,35.636738,139.730743,JGD2011,国道1号(桜田通り),c,2013-01-31,2013-02-01,3,8,3.2,1.2,66,63
43,港区東麻布3-7,35.656284,139.738449,JGD2011,都道環状3号線(外苑東通り),c,2013-01-28,2013-01-29,4,4,5.9,1.2,72,71
44,港区白金台5-10,35.641472,139.719849,JGD2011,都道北品川四谷線(外苑通り),c,2013-01-31,2013-02-01,4,4,4,1.2,74,72
