,,,,,,,,令和6年3月31日
No.,介護サービス事業所名称,圏域,郵便番号,住所,緯度,経度,電話番号,事業種別
1,SOMPOケア 白山 夜間訪問介護,富坂,112-0001,東京都文京区白山5丁目17-19鳥居本ビル201,35.726743,139.746524,(03)5395-7667,夜間対応型訪問介護
2,文京白山高齢者在宅サービスセンター,富坂,112-0001,東京都文京区白山5丁目16-3,35.724688,139.746734,(03)3942-8225,認知症対応型通所介護 （介護予防）
3,文京くすのき高齢者在宅サービスセンター,大塚,112-0012,東京都文京区大塚4丁目18-1,35.724135,139.734687,(03)3947-2801,認知症対応型通所介護 （介護予防）
4,文京千駄木高齢者在宅サービスセンター,駒込,113-0022,東京都文京区千駄木5丁目19-2,35.726782,139.760027,(03)3827-5421,認知症対応型通所介護 （介護予防）
5,文京本郷高齢者在宅サービスセンター,本富士,113-0033,東京都文京区本郷4丁目21-2,35.710087,139.754764,(03)3816-2317,認知症対応型通所介護 （介護予防）
6,デイサービスセンターゆしまの郷,本富士,113-0034,東京都文京区湯島3丁目29-10,35.70701,139.768386,(03)3836-3526,認知症対応型通所介護 （介護予防）
7,泉湧く憩いの家,富坂,112-0011,東京都文京区千石2丁目31-9,35.724918,139.7413,(03)3942-0561,認知症対応型通所介護 （介護予防）
8,小石川デイサービスセンター,富坂,112-0003,東京都文京区春日2丁目4-8,35.709651,139.744014,(03)5804-0088,認知症対応型通所介護
9,小規模多機能型居宅介護いきいき礫川,富坂,112-0002,東京都文京区小石川2丁目16-1,35.711145,139.747578,(03)5840-9803,小規模多機能型居宅介護（介護予防）
10,優っくり小規模多機能介護文京小日向,大塚,112-0006,東京都文京区小日向1丁目23-26,35.714215,139.737279,(03)5810-1757,小規模多機能型居宅介護（介護予防）
11,SOMPOケア いきいき小日向 小規模多機能,大塚,112-0006,東京都文京区小日向2丁目8-15,35.714708,139.733776,(03)6902-5321,小規模多機能型居宅介護（介護予防）
12,ユアハウス弥生,本富士,113-0032,東京都文京区弥生2丁目16-3,35.717439,139.762958,(03)5840-8652,小規模多機能型居宅介護
13,グッドライフケア向丘,本富士,113-0024,東京都文京区西片2丁目19-15,35.716457,139.754828,(03)3830-0451,小規模多機能型居宅介護（介護予防）
14,グループホーム文京あやめ,大塚,112-0006,東京都文京区小日向1丁目23-20,35.713894,139.737465,(03)5940-0751,認知症対応型共同生活介護（介護予防）
15,泉湧く憩いの家,富坂,112-0011,東京都文京区千石2丁目31-9,35.724918,139.7413,(03)3942-0561,認知症対応型共同生活介護
16,のんびり家,本富士,113-0023,東京都文京区向丘1丁目16-26,35.718844,139.756869,"03-3817-0876 〔2F〕
03-5805-1103 〔3F〕",認知症対応型共同生活介護（介護予防）
17,お寺のよこ,駒込,113-0023,東京都文京区向丘2丁目38-5,35.72586,139.75558,(03)3822-0028,認知症対応型共同生活介護（介護予防）
18,グループホーム 白山みやびの郷,富坂,112-0001,東京都文京区白山2丁目29-9,35.717633,139.750983,(03)3818-2212,認知症対応型共同生活介護（介護予防）
