都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,郵便番号,住所,緯度,経度,アクセス方法,駐車場情報,対象者,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,カテゴリー,画像
131059,0000000001,東京都,文京区,親子で楽しむスナッグゴルフとパターゴルフ,オヤコムスナッグゴルフトパターゴルフ,2018-12-01,2018-12-01,13:30,17:15,なし,ヨネックス株式会社との協働事業として実施する、小学生を対象としたスナッグゴルフとパターゴルフの教室,1人100円,スポーツ振興課,03-5803-1308,2591,文京区,総合体育館,113-0033,文京区本郷7-1-2,35.708287,139.763191,"都営地下鉄大江戸線本郷三丁目駅4番出口より徒歩約5分
 東京メトロ丸ノ内線本郷三丁目駅2番出口より徒歩約8分",無,小学生とその保護者（２人１組、保護者か子が区内在住・在勤・在学であること）,40組,2018-11-14,23:59,区ホームページ・携帯電話用区ホームページの「電子申請」又は往復はがきに「親子で楽しむスナッグゴルフとパターゴルフ」・児童と保護者の住所・氏名（ふりがな）・電話番号・児童の年齢または学年（在勤の場合は勤務地、在学の場合は学校名も）・利き手と返信用にもあて先を明記し文京区スポーツ振興課へ,http://www.city.bunkyo.lg.jp/bunka/sports/sports.html,スポーツ,無
131059,0000000002,東京都,文京区,ジュニアスキー教室,ジュニアスキーキョウシツ,2018-12-15,2018-12-15,9:30,15:30,なし,文京区スキー協会の指導のもと実施する、小学生を対象としたスキー教室,1人2500円,スポーツ振興課,03-5803-1308,2591,文京区,狭山スキー場,359-1153,"埼玉県所沢市
上山口2167",35.768447,139.418718,"西武池袋線「西武球場前」駅より徒歩約３分
西武新宿線「西武遊園地」駅経由 山口線「西武球場前」駅下車",有,区内在住・在学の小学生,40名,2018-11-18,23:59,区ホームページ・携帯電話用区ホームページの「電子申請」又は往復はがきに「ジュニアスキー教室」・参加者全員の住所・氏名（ふりがな）・電話番号・性別・年齢・学年（在学の場合は学校名も）と返信用にもあて先を明記し文京区スポーツ振興課へ,http://www.city.bunkyo.lg.jp/bunka/sports/sports.html,スポーツ,無
131059,0000000003,東京都,文京区,はじめての親子フットサル教室,ハジメテノオヤコフットサルキョウシツ,2018-12-08,2018-12-08,9:15,11:45,指導時間は未就学児の部と小学生の部の2部制,文京区を拠点とするサッカークラブ「TOKYO UNITED」との協働事業として実施する、4歳児～小学3年生の子とその保護者を対象としたフットサル教室,1組200円,スポーツ振興課,03-5803-1308,2591,文京区,江戸川橋体育館,112-0006,文京区小日向1-7-4,35.710398,139.735532,東京メトロ有楽町線江戸川橋駅4番出口より徒歩4分,無,どちらかが区内在住・在学・在勤の4歳児～小学3年生の子とその保護者（子がフットサル・サッカー未経験であること）,各部15組30名,2018-11-26,23:59,区ホームページ・携帯電話用区ホームページの「電子申請」又は往復はがきに「親子フットサル教室」・参加者全員の住所・氏名（ふりがな）・電話番号・性別・年齢（在学の場合は学校名も）と返信用にもあて先を明記し文京区スポーツ振興課へ,http://www.city.bunkyo.lg.jp/bunka/sports/sports.html,スポーツ,無
131059,0000000004,東京都,文京区,"文京ベースボールフェスタ　
親子ティーボール教室","ブンキョウベースボールフェスタ　
オヤコティーボールキョウシツ",2018-11-25,2018-11-25,9:00,11:20,なし,トヨタ自動車、東京大学硬式野球部との協働事業として実施する、満５・６歳児及びその保護者を対象としたティーボール教室,1組100円,スポーツ振興課,03-5803-1308,2591,文京区,東京大学弥生キャンパス硬式野球場,113-0033,文京区本郷7-3-1,35.712056,139.762775,"東京メトロ南北線東大前駅より徒歩1分
東京メトロ丸の内線本郷三丁目駅より徒歩8分
都営地下鉄大江戸線本郷三丁目駅より徒歩6分",無,区内在住で事業実施日に 満5歳または6歳の子どもと保護者,50組100名,2018-11-12,23:59,区ホームページ・携帯版の「電子申請」又は往復はがきに、参加される方全員の住所・氏名(ふりがな)・性別・年齢・携帯・電話番号 ・メールアドレス・返信用はがきにもあて先を明記し文京区スポーツ振興課へ,http://www.city.bunkyo.lg.jp/bunka/sports/sports.html,スポーツ,無
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
