育成室名称,育成室名称（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ,入室可能児童数,配慮を要する児童入室可能数,保育時間（月曜日から金曜日）,保育時間（土曜日）,保育時間（長期休業日　月曜日から金曜日まで）,保育時間(振替休業日　月曜日から金曜日まで)
大塚育成室,Otsuka Children’s Club,112-0012,東京都文京区大塚６丁目２２番地１９号（大塚児童館内）,35.724635,139.725646,03-3943-1632,育成室,,ンターネットに接続された制御装置についての注意喚起,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
千石第一育成室,Sengoku Daiichi Children’s Club,112-0011,東京都文京区千石１丁目４番地３号（千石児童館内）,35.724815,139.743264,03-3947-9231,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
千石第二育成室,Sengoku Daini Children’s Club,112-0011,東京都文京区千石１丁目４番地３号（千石児童館内）,35.724815,139.743264,03-3947-9231,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
水道育成室,Suido Children’s Club,112-0005,東京都文京区水道１丁目３番地２６号（水道児童館内）,35.709567,139.742295,03-3812-2238,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
本駒込育成室,Honkomagome Children’s Club,113-0021,東京都文京区本駒込５丁目６３番地２号（本駒込児童館内）,35.733842,139.752437,03-3822-3791,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
本駒込南育成室,Honkomagome-Minami Children’s Club,113-0021,東京都文京区本駒込３丁目１１番地１４号（本駒込南児童館内）,35.727715,139.755128,03-3823-3253,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
久堅育成室,Hisakata Children’s Club,112-0002,東京都文京区小石川５丁目２７番地７号（久堅児童館内）,35.718614,139.741553,03-3815-7715,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
柳町育成室,Yanagicho Children’s Club,112-0002,東京都文京区小石川３丁目１９番地７号,35.71282,139.74921,03-5684-0241,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
千石西育成室,Sengoku-Nishi Children’s Club,112-0011,東京都文京区千石３丁目１５番地１５号（千石西児童館内）,35.724914,139.738226,03-3944-2865,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
小日向台町第一育成室,Kohinata-daimachi Daiichi Children’s Club,112-0006,東京都文京区小日向２丁目２番地２号（小日向台町児童館内）,35.712998,139.734867,03-3941-1740,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
小日向台町第二育成室,Kohinata-daimachi Daini Children’s Club,112-0006,東京都文京区小日向２丁目２番地２号（小日向台町児童館内）,35.712998,139.734867,03-3945-6978,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
目白台育成室,Mejirodai Children’s Club,112-0015,東京都文京区目白台１丁目５番地１号(目白台児童館内）,35.713831,139.720661,03-3941-8837,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
湯島育成室,Yushima Children’s Club,113-0033,東京都文京区本郷３丁目１０番地１８号（湯島児童館内）,35.704012,139.763646,03-3814-9247,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
白山東育成室,Hakusan-Higashi Children’s Club,113-0001,東京都文京区白山１丁目２９番地１０号（白山東児童館内）,35.719136,139.753069,03-3813-6501,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
根津育成室,Nezu Children’s Club,113-0031,東京都文京区根津１丁目１４番地３号（根津児童館内）,35.718439,139.763222,03-3824-6466,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
目白台第二育成室,Mejirodai Daini Children’s Club,112-0015,東京都文京区目白台３丁目１８番地７号（目白台第二児童館内）,35.717258,139.723396,03-3943-9337,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
本郷育成室,Hongo Children’s Club,113-0033,東京都文京区本郷５丁目３０番地８号（本郷児童館内）,35.711666,139.758275,03-5689-4570,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
指ヶ谷育成室,Sasugaya Children’s Club,112-0001,東京都文京区白山２丁目２８番地４号（指ヶ谷小学校内）,35.717306,139.750767,03-3811-9214,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
汐見育成室,Shiomi Children’s Club,113-0022,東京都文京区千駄木２丁目１９番地２３号（汐見小学校内）,35.723733,139.760914,03-3821-2212,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
汐見第二育成室,Shiomi Daini Children’s Club,113-0022,東京都文京区千駄木２丁目２７番地８号（しおみ児童館内）,35.724935,139.761908,03-5834-7507,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
駕籠町育成室,Kagomachi Children’s Club,113-0021,東京都文京区本駒込６丁目２番地５号（駕籠町会館内）,35.729497,139.743617,03-3943-9336,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
駕籠町小学校育成室,Kagomachi Elementary School Children’s Club,113-0021,東京都文京区本駒込２丁目２９番地６号（駕籠町小学校内）,35.728631,139.745993,03-3945-6031,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
柳町第二育成室,Yanagicho Daini Children’s Club,112-0002,東京都文京区小石川３丁目１９番地７号,35.71282,139.74921,03-5684-0242,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
柳町第三育成室,Yanagicho Daisan Children’s Club,112-0002,東京都文京区小石川１丁目２３番地１６号（柳町小学校内）,35.713932,139.750324,03-3815-8171,育成室,,,放課後から18:30まで,8:30から17:00まで,8:15から18:30まで,8:30から18:30まで
