施術所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,業務の種類
1,東京都立文京盲学校臨床室,文京区後楽一丁目７番６号,,3811-5714,東京都立文京盲学校,昭和40年8月17日,あん摩、はり、きゅう
2,キング・ニシキ整骨院,文京区春日二丁目４番５号,パールシティ小石川１０５,080-7947-9503,錦織　勝,令和2年6月3日,柔道整復
3,コバトラ整骨院,文京区春日二丁目２４番１５‐２０３号,ルミエール文京伝通院,6875-4850,小林　英則,平成30年1月29日,柔道整復
4,Ａｒｃ　Ｒａｉｓｅ鍼灸室,文京区小石川一丁目１番１号,文京ガーデンゲートタワー３ａ,5684-7733,株式会社ゼロライズ,令和6年3月5日,はり、きゅう
5,文京ガーデンｓｍｉｌｅはり灸院,文京区小石川一丁目１番７号,文京ガーデンセンターテラス１０１,6801-5807,株式会社爽健グローバル,令和4年1月11日,あん摩、はり、きゅう
6,文京ガーデンｓｍｉｌｅ接骨院,文京区小石川一丁目１番７号,文京ガーデンセンターテラス１０１,6801-5807,株式会社爽健グローバル,令和4年1月11日,柔道整復
7,整骨院サステーナ,文京区小石川一丁目３番２３号,ル・ビジュー７０６,6801-6996,國吉　裕史,平成26年11月21日,柔道整復
8,鍼灸サステーナ,文京区小石川一丁目３番２３号,ル・ビジュー７０６,6801-6996,國吉　裕史,平成26年11月21日,はり、きゅう
9,小石川整骨院,文京区小石川一丁目９番３号,ＴＲＭ小石川ビル１Ｆ,3814-7760,株式会社巨礫,平成28年6月10日,柔道整復
10,リジック鍼灸院,文京区小石川一丁目１３番１２号,ＷＡＫＯＵ小石川ビル７階,6272-3450,山下　哲哉,平成29年12月4日,はり、きゅう
11,リジック整骨院,文京区小石川一丁目１３番１２号,ＷＡＫＯＵ小石川ビル７階,6272-3450,山下　哲哉,平成29年12月4日,柔道整復
12,指圧ＲｏｏｍＭＩＹＵ　,文京区小石川一丁目１６番１３‐６０２号,パークリュクス小石川,090-3684-6024,ＲｏｏｍＭＩＹＵ合同会社,平成31年2月21日,あん摩
13,らいと整骨院,文京区小石川一丁目２３番２号,１階,6885-2675,株式会社Ｉ・ＳＴＡＲ,令和1年11月6日,柔道整復
14,てとて整骨院,文京区小石川一丁目２７番１０号,八千代ビル２Ｆ,6240-0666,株式会社てとて,令和6年4月22日,柔道整復
15,浪越指圧治療センター（臨床実習室）,文京区小石川二丁目１５番６号,,3813-7354,学校法人　浪越学園,令和5年4月14日,あん摩
16,小石川温処ＩＥＬ鍼灸マッサージ,文京区小石川二丁目１８番１６号,紅屋ビル１号４階,080-7370-3403,今井　公美子,令和4年8月26日,あん摩、はり、きゅう
17,こうらくえん鍼灸院,文京区小石川二丁目２２番６号,１階,3830-5099,?田　哲矢,平成26年10月7日,はり、きゅう
18,こうらくえん整骨院,文京区小石川二丁目２２番６号,１階,3830-5099,?田　哲矢,平成26年10月7日,柔道整復
19,大坂整骨院小石川院,文京区小石川二丁目２４番１６号,クオリア小石川１０２,5840-8836,神山　和弘,平成29年2月3日,柔道整復
20,大坂鍼灸院小石川院,文京区小石川二丁目２４番１６号,クオリア小石川１０２,5840-8836,神山　和弘,平成29年2月3日,はり、きゅう
21,からだ本舗　後楽園店,文京区小石川二丁目２５番１３号,鶴間ビル２階,3811-4441,株式会社キュアトゥ,平成18年3月1日,あん摩、はり、きゅう
22,飯塚はり灸マッサージ,文京区小石川四丁目１０番４号,,3812-4493,飯塚　清,平成18年1月12日,あん摩、はり、きゅう
23,みょうが鍼灸院,文京区小石川五丁目３番２号,エイト第２ビル１階Ｂ室,3868-2004,茗荷　新緑,平成25年3月18日,はり、きゅう
24,みょうが谷整骨院,文京区小石川五丁目３番７号,西岡ビル１０１,3868-2868,行田　秀隆,平成22年7月14日,柔道整復
25,Ｓａｌｏｎ　ｄｅ　ｅｓｏｒａ鍼灸院茗荷谷駅前店,文京区小石川五丁目５番２号,バンビビル３階,6902-1825,玉岡　宏樹,平成30年11月20日,はり、きゅう
26,Ｓａｌｏｎ　ｄｅ　ｅｓｏｒａ整骨院　茗荷谷駅前店,文京区小石川五丁目５番２号,バンビビル３階,6902-1825,玉岡　宏樹,令和2年10月27日,柔道整復
27,ゆいまーる鍼灸院,文京区小石川五丁目１６番８号,大川ビル１階,3817-8041,小杉　正,平成10年9月11日,はり、きゅう
28,ゆいまーる接骨院,文京区小石川五丁目１６番８号,大川ビル１階,3817-8041,小杉　正,平成10年9月11日,柔道整復
29,新井鍼灸マッサージ治療院,文京区白山一丁目１４番１４号,,3811-6740,新井　寛,昭和26年4月1日,あん摩、はり、きゅう
30,あん摩マッサージ指圧みんなのお手あて治療院,文京区白山一丁目１８番６号,２階,3868-0213,西野　朝香,令和1年8月20日,あん摩
31,白山接骨院,文京区白山一丁目２０番１５号,エクスクルーシブ白山１階,3830-4445,東川　真大,平成21年3月10日,柔道整復
32,白山鍼灸マッサージ院,文京区白山一丁目２０番１５号,エクスクルーシブ白山１階,3830-4445,東川　真大,平成21年3月10日,あん摩、はり、きゅう
33,さち整骨院,文京区白山一丁目３１番９号,小林ビル４階,3830-0330,黒川　竜彦,平成28年5月2日,柔道整復
34,さち鍼灸院,文京区白山一丁目３１番９号,小林ビル４階,3830-0330,黒川　竜彦,平成28年5月2日,あん摩、はり、きゅう
35,和漢整骨院,文京区白山一丁目３３番１５号,近藤ビル１Ｆ,3812-1398,株式会社かがやく商事,令和5年6月8日,柔道整復
36,太陽の東洋治療院指圧・マッサージ・鍼灸,文京区白山一丁目３３番２２号,大関ビル３階,5684-2884,清水　裕之,平成16年4月19日,あん摩、はり、きゅう
37,遠潤堂鍼灸治療院,文京区白山二丁目１番２‐３０４号,グランアルバ白山,090-5799-9898,本田　麗子,令和2年7月6日,はり、きゅう
38,Ｍａｙ鍼灸マッサージ院,文京区白山二丁目１番１５号,第１ドリームビル１階,3830-0384,黒川　竜彦,令和1年5月14日,あん摩、はり、きゅう
39,Ｍａｙ整骨院,文京区白山二丁目１番１５号,第一ドリームビル１階,3830-0384,黒川　竜彦,令和1年9月27日,柔道整復
40,中島白山指圧治療室,文京区白山二丁目１９番１２号,,3811-3199,中島　祥景,平成27年1月27日,あん摩
41,鍼灸マッサージサロン　スバーハー,文京区白山二丁目２７番４号,,6801-8979,松田　直哉,平成26年5月9日,あん摩、はり、きゅう
42,戸田鍼灸院,文京区白山二丁目３９番８号,,5689-6830,戸田　宗弘,平成11年4月13日,はり、きゅう
43,戸田接骨院,文京区白山二丁目３９番８号,,5689-6830,戸田　宗弘,平成11年4月13日,柔道整復
44,増治鍼灸院,文京区白山三丁目５番１５号,,3813-1056,増治　富美雄,昭和62年6月5日,あん摩、はり、きゅう
45,白山茗荷谷整骨院,文京区白山三丁目６番５号,,6801-8812,大嶋　一,平成30年12月3日,柔道整復
46,和穎整骨院,文京区白山四丁目３番９号,,3812-9202,和穎　江平,平成20年3月17日,柔道整復
47,あん摩マッサージ指圧　まち活元治療院,文京区白山四丁目２３番７号,,6312-2520,黒?　町子,令和3年7月2日,あん摩
48,鍼灸マッサージ白山治療院,文京区白山五丁目１番３号,,3811-1939,椎名　賢太郎,平成16年9月13日,あん摩、はり、きゅう
49,白山マッサージ室,文京区白山五丁目１番３号,１０５右,3811-2250,椎名　賢太郎,平成23年6月22日,あん摩、はり、きゅう
50,椎名接骨院,文京区白山五丁目１番３号,１０５右,3811-2250,椎名　賢太郎,平成28年4月11日,柔道整復
