診療所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,診療科目
1,医療法人社団スペクトラム　東京血管外科クリニック,文京区後楽一丁目１番１号,ＴＫ　ＣＥＮＴＲＡＬ２階,050-3627-0021,医療法人社団スペクトラム,平成30年2月1日,心臓血管外科、皮膚科、形成外科、内科、外科、循環器内科、泌尿器科
2,竹田診療室,文京区後楽一丁目３番６１号,東京ドーム内１階,3817-6764,竹田　毅,平成26年3月27日,整形外科
3,医療法人社団翔貴会　須田整形外科クリニック,文京区後楽二丁目２３番１５号,,3811-0881,医療法人社団翔貴会,平成24年5月2日,整形外科、循環器内科、リハビリテーション科、内科、皮膚科
4,講道館ビルクリニック,文京区春日一丁目１６番３０号,講道館本館６階,5842-6311,木田　将量,令和3年4月1日,整形外科、リハビリテーション科、泌尿器科
5,医療法人社団芳明会　小石川医院,文京区春日二丁目１０番１８号,ランダム小石川１階,3816-3151,医療法人社団芳明会,平成6年10月3日,内科、小児科、外科、皮膚科
6,かすが耳鼻咽喉科,文京区小石川一丁目１番１号,文京ガーデンゲートタワー３０４号,5689-8741,高野　紀子,令和6年2月1日,耳鼻咽喉科
7,後楽園胃腸内視鏡クリニック,文京区小石川一丁目１番１号,文京ガーデンゲートタワー３階３０２号室,5684-1371,大和　彩乃,令和6年5月27日,消化器内科、内視鏡内科、胃腸内科、肛門内科
8,文京ガーデン女性クリニック,文京区小石川一丁目１番７号,文京ガーデン　センターテラス２０３,3818-1132,杉森　弥生,令和3年6月1日,産科、婦人科
9,春日後楽園しのぶクリニック,文京区小石川一丁目１番７号,文京ガーデン　センターテラス２０２,3813-0022,松浦　忍,令和3年6月1日,内科、泌尿器科、循環器内科
10,なおレディースクリニック,文京区小石川一丁目１番１８号,文京ガーデン　ザ　サウス３階３０２・３０３号室,5615-9708,飯塚　奈緒,令和3年7月5日,産婦人科、美容皮膚科
11,てしまクリニック,文京区小石川一丁目３番２３号,ル・ビジュー地下１階,5804-1241,医療法人社団玉瑛会,平成26年11月4日,皮膚科、形成外科、内科
12,寺田医院,文京区小石川一丁目５番１号,パークコート文京小石川　ザ　タワー１１１号,3812-1821,弓　幸史,令和3年6月1日,内科、循環器内科、皮膚科
13,春日駅前こばやし眼科,文京区小石川一丁目５番１号,パークコート文京小石川　ザ　タワー３階３０３－Ｄ,3812-5884,小林　加苗,令和3年6月1日,眼科、小児眼科
14,文京春日こどもクリニック,文京区小石川一丁目５番１号,パークコート文京小石川　ザ　タワー　３階３０４,3813-6060,古川　岳史,令和3年6月1日,小児科、小児循環器内科
15,医療法人社団健稜会　文京小石川クリニック,文京区小石川一丁目５番１号,パークコート文京小石川ザタワー３階３０３Ｅ,5802-0055,医療法人社団健稜会,令和3年10月7日,内科、脳神経外科、呼吸器内科
16,医療法人社団照彰会　春日後楽園皮フ科,文京区小石川一丁目５番１号,パークコート文京小石川ザタワー３階,3815-1112,医療法人社団照彰会,令和4年2月9日,皮膚科、小児皮膚科、美容皮膚科、アレルギー科
17,小石川整形外科,文京区小石川一丁目５番１号,パークコート文京小石川ザタワー３階,3816-2002,医療法人社団真瑞会　,令和5年4月3日,整形外科、リハビリテーション科、リウマチ科
18,医療法人社団同友会　春日クリニック第二,文京区小石川一丁目１２番１６号,小石川ＴＧビル４階・５階・６階・７階・８階,3816-5840,医療法人社団同友会,平成2年1月23日,内科、消化器科、外科、婦人科
19,医療法人社団同友会　春日クリニック,文京区小石川一丁目１２番１６号,小石川ＴＧビル１階・２階・３階,3813-0080,医療法人社団同友会,平成25年4月1日,内科、循環器内科、呼吸器内科、精神科、消化器内科、婦人科、放射線科、糖尿病代謝・内分泌内科
20,小石川柳町クリニック,文京区小石川一丁目１３番９号,クリオ文京小石川１０３号室,5805-3749,近藤　千里,平成28年5月20日,小児科、内科、アレルギー科、呼吸器内科、循環器小児科
21,春日眼科,文京区小石川一丁目１３番１２号,ＷＡＫＯＵ小石川ビル１階２階,3815-0177,医療法人社団春日眼科,平成27年12月3日,眼科
22,クリニックヨウコ,文京区小石川一丁目２２番９号,ＴＲＥＳ　ＣＡＳＡＳビル　２０２号,5809-0022,深山　葉子,平成23年10月25日,皮膚科、内科
23,医療法人社団千晶会　千晶こどもクリニック,文京区小石川一丁目２４番３号,コイシカワコロン１階,3868-0703,医療法人社団千晶会,平成27年12月9日,アレルギー科、小児科
24,東京保健生活協同組合　セツルメント菊坂診療所,文京区小石川一丁目２４番３号,１階～３階,3811-0016,東京保健生活共同組合,平成29年10月2日,内科、循環器内科、消化器内科、糖尿病内科
25,春日駅前あべファミリークリニック,文京区小石川二丁目１番１２号,小石川トーセイビル６階,3830-0395,阿部　琢巳,平成31年4月1日,内科、脳神経外科、整形外科
26,後楽園駅前診療所,文京区小石川二丁目６番５号,小石川二丁目ビル１階,6801-8191,鎌田　敏郎,平成22年9月1日,小児科、精神科、内科、泌尿器科
27,小石川循環器内科クリニック,文京区小石川二丁目２４番１４号,ＴＭ畑中小石川１階,6801-8450,鈴木　宏昌,平成25年9月3日,内科、循環器内科、糖尿病内科、アレルギー科
28,医療法人社団緑寿会　小林クリニック,文京区小石川三丁目１６番１９号,,5689-2025,医療法人社団緑寿会,平成13年7月12日,内科、皮膚科
29,中村クリニック,文京区小石川三丁目２７番６号,,3818-7677,中村　宏,平成7年6月29日,内科、消化器科、外科
30,豊田耳鼻咽喉科クリニック,文京区小石川三丁目２７番１３号,,3811-4133,豊田　雅基,平成18年6月1日,耳鼻咽喉科
31,ふくだ皮ふ科,文京区小石川三丁目３５番１１号,１階,3868-2229,福田　理永,平成30年4月23日,皮膚科、小児皮膚科、アレルギー科
32,小林医院,文京区小石川四丁目１７番１号,,3811-4630,小林　研ー,平成5年6月1日,内科、小児科、整形外科
33,医療法人社団弘寿会　小石川ホームクリニック,文京区小石川四丁目２０番１号,イトークリエイト小石川ビル３階,3868-8282,医療法人社団弘寿会,平成15年4月1日,内科、心療内科
34,三橋医院,文京区小石川四丁目２０番１号,イトークリエイト小石川ビル６階,3816-3284,三橋　控,平成20年9月4日,内科、小児科
35,医療法人社団桜和光会　良田眼科,文京区小石川四丁目２１番２号,ハイツ小石川２階,3816-1300,医療法人社団桜和光会,平成19年10月2日,眼科
36,茗荷谷レディースクリニック,文京区小石川五丁目３番４号,ラ・ヴェリエール文京ビル３階,3830-0495,河合　有希,平成28年3月1日,婦人科、産婦人科
37,茗荷谷駅前医院,文京区小石川五丁目４番５号,クレール２１－２階,3944-2500,植田　尚樹,平成13年5月1日,精神科、神経科、心療内科
38,茗荷谷耳鼻咽喉科・アレルギー科,文京区小石川五丁目５番２号,バンビビル２階,3944-8711,長谷川　かおり,令和6年6月3日,耳鼻咽喉科、アレルギー科
39,ココメディカルクリニック,文京区小石川五丁目３４番１０号,ＣＯＣＯビル,6882-3319,泉　さくら,平成31年1月11日,皮膚科、アレルギー科、内科、婦人科、小児皮膚科
40,医療法人社団あかし会　山村クリニック,文京区小石川五丁目３７番６号,サンテ小石川１階,3818-5767,医療法人社団あかし会,平成26年12月1日,内科、胃腸内科、外科、内視鏡内科
41,森こどもクリニック,文京区小石川五丁目４０番２１号,,5803-7887,森　蘭子,平成12年2月15日,小児科、アレルギー科
42,医療法人社団一灯会　八千代診療所,文京区白山一丁目５番８号,,3811-4519,医療法人社団一灯会,平成6年4月1日,内科、小児科、精神科
43,医療法人社団木の実会　やまね皮フ科クリニック,文京区白山一丁目２１番６号,１階,6801-9790,医療法人社団木の実会,平成16年9月1日,美容外科、皮膚科
44,白山文京クリニック,文京区白山一丁目２１番９号,白山伊藤ビル１階、２階,3868-2816,医療法人社団明正会,令和5年7月28日,内科、消化器内科
45,よしはし耳鼻咽喉科医院,文京区白山一丁目２５番１６号,ミラーユ白山１階,5848-8118,吉橋　秀貴,平成19年2月22日,耳鼻咽喉科
46,澤田こどもクリニック,文京区白山一丁目３３番１６号,パークコートプレイス２階,5840-7838,澤田　雅子,平成15年9月22日,小児科、アレルギー科
47,わたなべ皮膚科,文京区白山一丁目３３番１６号,パークコートプレイスビル４階,3830-8080,渡邉　荘子,令和1年7月17日,皮膚科、形成外科
48,志匠会白山クリニック,文京区白山一丁目３３番１８号,白山ＮＴビル４階,6801-8220,医療法人志匠会,令和4年10月3日,整形外科、リハビリテーション科、ペインクリニック内科
49,医療法人社団中野小児科内科,文京区白山一丁目３３番２３号,ベルメゾン文京白山１階１０１号,5805-8551,医療法人社団中野小児科内科,平成18年4月3日,内科、小児科、アレルギー科、呼吸器内科
50,山内整形外科,文京区白山二丁目１番２号,,3813-5591,三浦　圭子,平成21年1月28日,整形外科、外科
51,小石川インターナショナルクリニック,文京区白山二丁目２９番４号,泉白山ビル１階,6757-2060,川合　明彦,平成29年7月3日,内科
52,医療法人社団泰篤会　保坂こどもクリニック,文京区白山五丁目２７番１２号,カーサホーマット１階,3946-0641,医療法人社団泰篤会,平成15年9月1日,小児科
53,はとり内科クリニック,文京区白山五丁目３３番３号,パレクレール白山１階,5800-2210,羽鳥　浩,平成8年12月16日,内科、循環器科
54,白山ながみね眼科,文京区白山五丁目３６番９号,白山麻の実ビル５階,5842-2232,長峰　翔三,平成22年12月13日,眼科
55,吉川クリニック,文京区白山五丁目３６番９号,白山麻の実ビル４階,5840-5677,吉川　和男,平成25年2月1日,心療内科、精神科、児童精神科
56,医療法人社団光樹会　白山レディースクリニック,文京区白山五丁目３６番９号,白山麻の実ビル９階,5689-3070,医療法人社団光樹会,平成27年10月1日,婦人科、産婦人科、産科、女性内科、美容皮膚科
57,医療法人社団翔健会　くろだ医院,文京区白山五丁目３６番９号,白山麻の実ビル２階,5804-3211,医療法人社団翔健会,平成28年4月1日,内科、外科、消化器内科、皮膚科、リハビリテーション科
58,白山内科外科クリニック,文京区白山五丁目３６番１３号,ＨＡＫＵＳＡＮ　ＥＡＳＴ２階,3868-3676,渡辺　隆文,令和5年6月1日,内科、外科、消化器外科、消化器内科、循環器内科、アレルギー科、肛門外科
59,医療法人社団静朗会　千葉医院,文京区千石一丁目６番１６号,ライズヒル千石１０１号室,3941-1340,医療法人社団静朗会,平成23年4月1日,内科、循環器内科
60,せんごく駅前クリニック,文京区千石一丁目２６番７,シティハウス文京千石駅前１０１（１階、２階）,5005-5050,医療法人社団快芯会,令和6年1月4日,内科、呼吸器内科、循環器内科、消化器内科、糖尿病内科、腎臓内科、感染症内科、小児科、アレルギー科、皮膚科、美容皮膚科
61,文京整形外科,文京区千石一丁目２７番８号,３階,5940-3123,医療法人社団ＭーＴＡＣ,平成27年4月1日,内科、リウマチ科、整形外科、リハビリテーション科
