施設名,施設名（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ,開所時刻,閉所時刻（平日）,閉所時刻（土日祝・年末年始）,閉所時刻（土）,休館日
高齢者あんしん相談センター富坂,Tomisaka Advisory Center for Senior Citizens,112-0001,東京都文京区白山５丁目１６番３号,35.724688,139.746734,03-3942-8128,高齢者あんしん相談センター,9:00,19:00,17:30,－,
高齢者あんしん相談センター富坂分室,Tomisaka Advisory Center for Senior Citizens Branch,112-0002,東京都文京区小石川２丁目１８番１８号,35.711945,139.750345,03-5805-5032,高齢者あんしん相談センター,9:00,17:30,－,17;30,日祝・年末年始
高齢者あんしん相談センター大塚,Otsuka Advisory Center for Senior Citizens,112-0012,東京都文京区大塚４丁目５０番１号,35.724654,139.730809,03-3941-9678,高齢者あんしん相談センター,9:00,19:00,17:30,－,
高齢者あんしん相談センター大塚分室,Otsuka Advisory Center for Senior Citizens Branch,112-0013,東京都文京区音羽１丁目１５番１２号,35.715336,139.729627,03-6304-1093,高齢者あんしん相談センター,9:00,17:30,－,17;30,日祝・年末年始
高齢者あんしん相談センター本富士,Motofuji Advisory Center for Senior Citizens,113-0033,東京都文京区本郷２丁目４０番１１号,35.707346,139.760406,03-3811-8088,高齢者あんしん相談センター,9:00,19:00,17:30,－,
高齢者あんしん相談センター本富士分室,Motofuji Advisory Center for Senior Citizens Branch,113-0024,東京都文京区西片２丁目１９番１５号,35.704504,139.759142,03-3813-7888,高齢者あんしん相談センター,9:00,17:30,－,17;30,日祝・年末年始
高齢者あんしん相談センター駒込,Komagome Advisory Center for Senior Citizens,113-0022,東京都文京区千駄木５丁目１９番２号,35.726782,139.760027,03-3827-5422,高齢者あんしん相談センター,9:00,19:00,17:30,－,
高齢者あんしん相談センター駒込分室,Komagome Advisory Center for Senior Citizens Branch,113-0021,東京都文京区本駒込２丁目２８番１０号,35.730751,139.747619,03-6912-1461,高齢者あんしん相談センター,9:00,17:30,－,17;30,日祝・年末年始
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
