施設名,施設名(英語),郵便番号,住所,緯度,経度,電話番号,カテゴリ,説明(日本語),説明(英語),FAX番号,開所時刻,閉所時刻,ホームページアドレス
シビックホール,Civic Hall,112-8555,東京都文京区春日1丁目16番21号,35.708065,139.752174,03-5803-1100,文化・芸術施設,,,03-5800-2230,9：00,22：00,http://www.city.bunkyo.lg.jp/shisetsu/bunka/hall.html
アカデミー文京,Academy Bunkyo,112-8555,東京都文京区春日1丁目16番21号,35.708065,139.752174,03-5803-1100,生涯学習施設,,,03-5803-1341,9：00,21：30,http://www.city.bunkyo.lg.jp/shisetsu/bunka/academy/bunkyo.html
アカデミー向丘,Academy Mukogaoka,113-0023,東京都文京区向丘1丁目20番8号,35.717335,139.75788,03-3813-7801,生涯学習施設,,,03-3813-6668,9：00,21：30,http://www.city.bunkyo.lg.jp/shisetsu/bunka/academy/mukougaoka.html
アカデミー湯島,Academy Yushima,113-0034,東京都文京区湯島2丁目28番14号,35.706572,139.766568,03-3811-0741,生涯学習施設,,,03-5689-8374,9：00,21：30,http://www.city.bunkyo.lg.jp/shisetsu/bunka/academy/yushima.html
アカデミー音羽,Academy Otowa,112-0013,東京都文京区大塚5丁目40番15号,35.720094,139.725618,03-5976-1290,生涯学習施設,,,03-5976-1291,9：00,21：30,http://www.city.bunkyo.lg.jp/shisetsu/bunka/academy/otowa.html
アカデミー千石,Academy Sengoku,112-0011,東京都文京区千石1丁目25番3号,35.727577,139.74375,03-3946-4430,生涯学習施設,,,,9：00,17：00,http://www.city.bunkyo.lg.jp/shisetsu/bunka/academy/sengoku.html
アカデミー茗台,Academy Meidai,112-0003,東京都文京区春日2丁目9番5号,35.713539,139.741205,03-3817-8306,生涯学習施設,,,03-3817-8307,9：00,21：30,http://www.city.bunkyo.lg.jp/shisetsu/bunka/academy/meidai.html
文京総合体育館,Sogo Gymnasium,113-0033,東京都文京区本郷7丁目1番2号,35.708382,139.76318,03-3814-4271,スポーツ施設,,,03-3814-3228,9:00（区立小中学校の夏季休業期間中は7:30）,22:30,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/sougoutaiikukan.html
文京スポーツセンター,Sports Center,112-0012,東京都文京区大塚3丁目29番2号,35.720522,139.73642,03-3944-2271,スポーツ施設,,,03-3944-5549,8:30（区立小中学校の夏季休業期間中は7:30）,22:30,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/sportscenter.html
文京江戸川橋体育館,Edogawabashi Gymnasium,112-0006,東京都文京区小日向1丁目7番4号,35.710603,139.73546,03-3945-4008,スポーツ施設,,,03-6902-0469,9:00,21:30,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/edogawabasitaiikukan.html
六義公園運動場,Rikugi Park Sports Ground,113-0021,東京都文京区本駒込6丁目16番10号,35.731305,139.745763,03-3947-4438（利用に関する問い合わせは小石川運動場へ）,スポーツ施設,,,03-3947-4438,9:00,17:00,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/rikugikouen.html
小石川運動場,Koishikawa Sports Ground,112-0004,東京都文京区後楽1丁目8番23号,35.704965,139.746415,03-3811-4507,スポーツ施設,,,03-3811-4522,6:30(12月から3月は8：30),20:30,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/koishikawa.html
後楽公園少年野球場,Koraku Park Junior Baseball Ground,112-0004,東京都文京区後楽1丁目6番25号,35.70652769,139.748556,03-3811-4507（利用に関する問い合わせは小石川運動場へ）,スポーツ施設,,,03-3811-4522（小石川運動場）,9:00,17:00,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/kourakukouen.html
竹早テニスコート,Takehaya Tennis Courts,112-0002,東京都文京区小石川5丁目9番1号,35.717161,139.739597,03-3814-0427（利用に関する問い合わせはスポーツセンターへ）,スポーツ施設,,,03-3814-0427,8:00,21:00,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/takehaya.html
,,,,,,,,,,,,,
