施設名,施設名（英語）,郵便番号,住所,緯度,経度,電話,開館時間（平日・土曜）,開館時間（日曜・祝日）,開館時間（12/29）,定期休館日,その他休館日
真砂中央図書館,Masago Central Library,113-0033,東京都文京区本郷 4丁目8番15号,35.708554,139.756996,03-3815-6801,9:00-21:00,9:00-19:00,9:00-19:00,第4月曜日(祝日が重なった場合は開館し、翌日が休館）,年末年始(12/30～1/4)、特別整理期間
本郷図書館,Hongo Library,113-0022,東京都文京区千駄木 3丁目2番6号　汐見地域センター内,35.72552194,139.7614226,03-3828-2070,9:00-21:00,9:00-19:00,9:00-19:00,第4月曜日(祝日が重なった場合は開館し、翌日が休館）,年末年始(12/30～1/4)、特別整理期間
小石川図書館,Koishikawa Library,112-0002,東京都文京区小石川 5丁目9番20号,35.716972,139.740124,03-3814-6745,9:00-21:00,9:00-19:00,9:00-19:00,第3月曜日(祝日が重なった場合は開館し、翌日が休館),年末年始(12/30～1/4)、特別整理期間
本駒込図書館,Honkomagome Library,113-0021,東京都文京区本駒込 4丁目35番15号,35.733276,139.755369,03-3828-4117,9:00-21:00,9:00-19:00,9:00-19:00,第3月曜日(祝日が重なった場合は開館し、翌日が休館),年末年始(12/30～1/4)、特別整理期間
水道端図書館,Suidobata Library,112-0005,東京都文京区水道 2丁目16番14号,35.710636,139.737721,03-3945-1621,9:00-21:00,9:00-19:00,9:00-19:00,第3月曜日(祝日が重なった場合は開館し、翌日が休館),年末年始(12/30～1/4)、特別整理期間
目白台図書館,Mejirodai Library,112-0014,東京都文京区関口 3丁目17番9号,35.715148,139.72551,03-3943-5641,9:00-21:00,9:00-19:00,9:00-19:00,第4月曜日(祝日が重なった場合は開館し、翌日が休館）,年末年始(12/30～1/4)、特別整理期間
千石図書館,Sengoku Library,112-0011,東京都文京区千石 1丁目25番3号,35.727577,139.74375,03-3946-7748,9:00-20:00,9:00-19:00,9:00-19:00,第4月曜日(祝日が重なった場合は開館し、翌日が休館）,年末年始(12/30～1/4)、特別整理期間
湯島図書館,Yushima Library,113-0033,東京都文京区本郷 3丁目10番18号　湯島総合センター　4階,35.704012,139.763646,03-3814-9242,9:00-21:00,9:00-19:00,9:00-19:00,第3月曜日(祝日が重なった場合は開館し、翌日が休館),年末年始(12/30～1/4)、特別整理期間
根津図書室,Nezu Library,113-0031,東京都文京区根津 2丁目20番7号　不忍通りふれあい館　2階,35.719192,139.764204,03-3824-2608,9:00-21:00,9:00-19:00,,第3月曜日(10月は変更あり。祝日が重なった場合は開館し（午後5時まで）、翌日が休館）,年末年始(12/29～1/4)、特別整理期間
大塚公園みどりの図書室,Otsuka Park Midori-no Library,112-0012,東京都文京区大塚 4丁目49番2号　大塚公園内,35.72383,139.73245,03-3945-0734,9:00-21:00,9:00-19:00,9:00-19:00,第3月曜日(祝日が重なった場合は開館し、翌日が休館),年末年始(12/30～1/4)、特別整理期間
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
