No,施設漢字名称,施設所在地,施設方書,施設電話番号１,開設者漢字名称,許可番号,許可開始日,許可終了日
1,アル薬局　東京本店,文京区後楽二丁目２３番７号,宮田ビル１階,5615-8905,株式会社メディバリー,2022文文生薬第777号,令和4年11月1日,令和10年10月31日
2,ＣＭＳ春日薬局,文京区春日二丁目１０番１９号,ライオンズマンション小石川第二１０２号,6801-6322,中央メディカルシステム株式会社,2021文文生薬第508号,令和3年9月1日,令和9年8月31日
3,薬局文京ファーマシー,文京区春日二丁目２４番１２号,,3811-0196,有限会社文京,2022文文生薬第1930号,令和5年4月12日,令和11年4月11日
4,ココカラファイン薬局文京ガーデン店,文京区小石川一丁目１番１号,文京ガーデンゲートタワー　ＳＡ棟１０６,03-5844-6124,株式会社ココカラファインヘルスケア,2024文文生薬第44号,令和6年5月1日,令和12年4月30日
5,竹内薬局春日店,文京区小石川一丁目１番７号,文京ガーデンセンターテラス（ＳＣ棟）２階２０２－①区画,3814-1177,株式会社竹内調剤薬局,2021文文生薬第138号,令和3年6月1日,令和9年5月31日
6,そうごう薬局　文京小石川店,文京区小石川一丁目５番１号,パークコート文京小石川ザ　タワー３階,03-6801-6961,総合メディカル株式会社,2021文文生薬第226号,令和3年6月9日,令和9年6月8日
7,岡崎薬局２,文京区小石川一丁目５番１号,110,3818-2920,有限会社岡崎薬局,2021文文生薬第509号,令和3年9月6日,令和9年9月5日
8,岡崎薬局,文京区小石川一丁目１２番１４号,102,03-5689-2778,有限会社岡崎薬局,2021文文生薬第511号,令和3年9月7日,令和9年9月6日
9,小石川薬局,文京区小石川一丁目１３番９号,クリオ文京小石川１０１,3815-4182,有限会社小石川薬局,2023文文生薬第687号,令和5年10月17日,令和11年10月16日
10,グッド薬局小石川店,文京区小石川一丁目２４番１号,小石川マンション１階,03-6801-5153,グッドケミスト株式会社,2020文文生薬第212号,令和2年7月1日,令和8年6月30日
11,漢方薬局　彩生堂,文京区小石川一丁目２７番１０号,,5615-9659,梁　秀?,30文文生薬第1537号,平成31年4月4日,令和7年4月3日
12,スギ薬局　小石川１丁目店,文京区小石川一丁目２８番１号,フロンティア小石川ビル１階Ｂ号室,6240-0735,株式会社スギ薬局,2021文文生薬第1339号,令和4年1月21日,令和10年1月20日
13,スギ薬局　小石川店,文京区小石川二丁目１番１２号,小石川トーセイビル１階,5840-8536,株式会社スギ薬局,2022文文生薬第1336号,令和5年1月5日,令和11年1月4日
14,アイセイ薬局　後楽園店,文京区小石川二丁目１番１３号,後楽園ビューハイツ１０２,5805-2823,株式会社アイセイ薬局,2022文文生薬第555号,令和4年10月1日,令和10年9月30日
15,えんま通り星薬局,文京区小石川二丁目２４番１４号,ピュアレジデンス小石川００１,6801-8729,株式会社ジンカケ,2022文文生薬第197号,令和4年6月1日,令和10年5月31日
16,小石川三好漢方薬局,文京区小石川二丁目２５番１０号,パークホームズ小石川１０３－１,3813-1637,島田　宏登,30文文生薬第907号,平成30年12月26日,令和6年12月25日
17,六角堂調剤薬局,文京区小石川二丁目２５番１２号,内田ビル１階,5684-0066,合資会社マル薬局,2023文文生薬第97号,令和5年7月1日,令和11年6月30日
18,ダイエー小石川店薬局,文京区小石川三丁目２７番１６号,,3817-0155,株式会社ダイエー,2021文文生薬第468号,令和3年8月5日,令和9年8月4日
19,くみ薬局,文京区小石川三丁目２９番１号,１階,5684-3345,有限会社濟寿会,2022文文生薬第1144号,令和5年1月31日,令和11年1月30日
20,ＣＭＳ茗台薬局,文京区小石川四丁目２０番３号,,3816-8201,中央メディカルシステム株式会社,2023文文生薬第1号,令和5年6月1日,令和11年5月31日
21,はりま坂サンテ薬局,文京区小石川四丁目２１番１号,小石川四丁目ビル１０２,3814-0768,合同会社Ａ＆Ｗ　ＬＩＦＥＳＴＹＬＥ,2020文文生薬第1364号,令和3年4月1日,令和9年3月31日
22,スギ薬局　茗荷谷店,文京区小石川五丁目３番２号,エイト印刷本社ビル１階,3868-3171,株式会社スギ薬局,2021文文生薬第1570号,令和4年3月18日,令和10年3月17日
23,はりま坂薬局,文京区小石川五丁目４０番１６号,小石川ＹＳレジデンス１階,3830-0393,株式会社ビーミー,2021文文生薬第724号,令和3年10月6日,令和9年10月5日
24,カテイ堂薬局,文京区白山一丁目８番６号,,3811-5843,有限会社カテイ堂薬局,2023文文生薬第1431号,令和6年4月1日,令和12年3月31日
25,スドウ薬局,文京区白山一丁目２０番１７号,,3811-3334,有限会社スドウ薬局,2023文文生薬第872号,令和5年11月23日,令和11年11月22日
26,松田薬局,文京区白山一丁目２５番１５号,,3811-4496,株式会社松田薬局,2023文文生薬第1409号,令和6年2月23日,令和12年2月22日
27,薬局トモズ白山店,文京区白山一丁目３３番１６号,パークコートプレイス１階,5801-0752,株式会社トモズ,2023文文生薬第1249号,令和6年2月1日,令和12年1月31日
28,スミレ薬局茗荷谷店,文京区白山三丁目３番４号,田中ビル１０１,5840-7567,五和薬品有限会社,2021文文生薬第778号,令和3年11月24日,令和9年11月23日
29,さくら薬局はくさん店,文京区白山五丁目２２番７号,白山ファミー１階,3947-3810,クラフト株式会社,2021文文生薬第1579号,令和4年4月1日,令和10年3月31日
30,白山通り星薬局,文京区白山五丁目２６番９号,白山フローラルビル,6912-0729,合同会社星薬局,2020文文生薬第1300号,令和3年3月5日,令和9年3月4日
31,スドウ薬局前町店,文京区白山五丁目３５番９号,,03-5805-6162,有限会社スドウ薬局,2023文文生薬第37号,令和5年4月28日,令和11年4月27日
32,白山駅前薬局,文京区白山五丁目３６番９号,興和ビル１階,5805-1886,有限会社スドウ薬局,2023文文生薬第299号,令和5年7月30日,令和11年7月29日
33,薬局くすりの福太郎　白山店,文京区白山五丁目３６番９号,白山麻の実ビル２階,5805-2422,株式会社くすりの福太郎,31文文生薬第192号,令和1年6月4日,令和7年6月3日
34,アガペ白山薬局,文京区白山五丁目３６番１３号,１階,6801-5372,株式会社アガペ,2023文文生薬第200号,令和5年6月1日,令和11年5月31日
35,よつば薬局,文京区千石一丁目６番１７号,,6912-2555,株式会社メディカルジャパン,2023文文生薬第50号,令和5年5月8日,令和11年5月7日
36,ユー・ワイ薬局千石店,文京区千石一丁目２９番１２号,深沢ビル１階,3941-5099,有限会社カナイメディカル,2023文文生薬第724号,令和5年11月1日,令和11年10月31日
37,ひかわ調剤薬局,文京区千石三丁目４番３号,,3944-1327,一般社団法人東京メディエール,2022文文生薬第1428号,令和5年2月1日,令和11年1月31日
38,みよの台薬局　丸山町店,文京区千石三丁目３７番１４号,,5978-9333,みよの台薬局株式会社,2021文文生薬第1113号,令和3年12月24日,令和9年12月23日
39,といだ薬局,文京区千石四丁目２２番１５号,海老沢ビル１階,3942-5041,樋田　正敏,2022文文生薬第209号,令和4年8月1日,令和10年7月31日
40,すがも薬膳薬局,文京区千石四丁目２４番４号,１階,5976-3535,中垣　亜希子,2021文文生薬第849号,令和3年10月26日,令和9年10月25日
41,ぱぱす薬局千石駅前店,文京区千石四丁目４６番１３号,前田ビル１階,5319-1805,株式会社ぱぱす,2023文文生薬第244号,令和5年8月29日,令和11年8月28日
42,伊吹堂薬局水道店,文京区水道二丁目１４番７号,,3946-6173,株式会社伊吹堂薬局,2021文文生薬第1215号,令和4年1月23日,令和10年1月22日
43,紫山堂薬局　小日向店,文京区小日向四丁目５番１１号,グレース文京１階－Ｂ,5981-9790,株式会社紫山堂薬局,2023文文生薬第764号,令和5年11月7日,令和11年11月6日
44,ウエルシア薬局茗荷谷駅前店,文京区小日向四丁目６番１８号,ステラメゾン茗荷谷１階,5395-8340,ウエルシア薬局株式会社,2020文文生薬第1374号,令和3年3月8日,令和9年3月7日
45,鈴薬局茗荷谷店,文京区小日向四丁目７番２０号,コパーズ茗荷谷２０２号室,6304-1423,株式会社エスシーグループ,2021文文生薬第1745号,令和4年6月1日,令和10年5月31日
46,紫山堂薬局,文京区大塚一丁目４番８号,紫山堂ビル１階,3941-2171,株式会社紫山堂薬局,30文文生薬第566号,平成30年10月9日,令和6年10月8日
47,さくら薬局　茗荷谷店,文京区大塚三丁目５番２号,佑和ビル１階,6912-2735,クラフト株式会社,31文文生薬第270号,令和1年7月1日,令和7年6月30日
48,フローラ薬局　大塚店,文京区大塚三丁目３６番９号,小室ビル１階,5319-1626,ソユーズ株式会社,2022文文生薬第550号,令和4年9月7日,令和10年9月6日
49,木下薬局,文京区大塚四丁目１番１５号,,3941-3551,株式会社木下薬局,2023文文生薬第1014号,令和6年1月1日,令和11年12月31日
50,康和薬局,文京区大塚四丁目３９番９号,,3941-1984,株式会社織田興安,2023文文生薬第1223号,令和6年1月1日,令和11年12月31日
51,あかね薬局,文京区大塚四丁目４５番１０号,,3945-4308,株式会社フォーラル,31文文生薬第504号,令和1年9月1日,令和7年8月31日
52,ぱぱす薬局　新大塚駅前店,文京区大塚四丁目５１番５号,大塚４丁目ビル,5981-4193,株式会社ぱぱす,2021文文生薬第889号,令和4年1月5日,令和10年1月4日
53,ミキ薬局大?店,文京区大塚五丁目１番１７号,護国寺ロイアルハイツＣ号室,6912-2901,株式会社メディカルファーマシィー,31文文生薬第1418号,令和2年3月2日,令和8年3月1日
54,恵愛堂薬局,文京区大塚五丁目４０番１８号,友成フォーサイトビル３階,5319-4193,株式会社恵愛堂,2020文文生薬第816号,令和2年12月24日,令和8年12月23日
55,さかした調剤薬局,文京区大塚六丁目３番３号,,3947-5523,株式会社小川調剤,2024文文生薬第11号,令和6年6月1日,令和12年5月31日
56,キリン堂薬局江戸川橋店,文京区関口一丁目１番３号,プラザ飯田橋１階,3269-8910,株式会社キリン堂,2022文文生薬第810号,令和4年11月16日,令和10年11月15日
57,江戸川橋ほたる薬局,文京区関口一丁目１番６号,新星ビル５階,03-5228-4189,中央メディカルシステム株式会社,2022文文生薬第149号,令和4年6月1日,令和10年5月31日
58,薬局くすりの福太郎　江戸川橋店,文京区関口一丁目９番１１号,江戸川橋センチュリープラザ２１,03-3528-9828,株式会社くすりの福太郎,2021文文生薬第564号,令和3年9月1日,令和9年8月31日
59,ぱぱす薬局江戸川橋店,文京区関口一丁目１１番２号,ラ・カーザ文京１階,5227-5688,株式会社ぱぱす,30文文生薬第1200号,平成31年3月1日,令和7年2月28日
60,さくら薬局江戸川橋店,文京区関口一丁目１６番１号,東海文京マンション１階,3235-1717,クラフト株式会社,2021文文生薬第1580号,令和4年4月1日,令和10年3月31日
61,たんぽぽ薬局,文京区関口一丁目１９番６号,弥助ビル４階,5228-3889,株式会社クリスタル・ファーマシー,2020文文生薬第354号,令和2年10月1日,令和8年9月30日
62,本田薬局目白台店,文京区目白台三丁目１２番２号,,3944-5474,株式会社本田薬局,2020文文生薬第571号,令和2年9月23日,令和8年9月22日
63,御代の台薬局　音羽店,文京区音羽一丁目５番１８号,,6902-9228,みよの台薬局株式会社,31文文生薬第493号,令和1年9月1日,令和7年8月31日
64,おとわ薬局,文京区音羽一丁目１４番８号,ハイツ音羽１０２号室,6912-0034,永井　由香,2023文文生薬第1098号,令和6年2月1日,令和12年1月31日
65,紫山堂薬局　音羽店,文京区音羽一丁目２０番１４号,ＭＢＳ音羽ビル１階,3947-4310,株式会社紫山堂薬局,2022文文生薬第232号,令和4年7月26日,令和10年7月25日
66,シバタ薬局,文京区音羽二丁目５番１１号,ソフィア音羽１０３,3942-9525,有限会社シバタ薬局,2022文文生薬第1301号,令和5年1月5日,令和11年1月4日
67,水道橋駅前薬局,文京区本郷一丁目１４番８号,丸山ビル１階,5615-9482,株式会社サンタヘレナ,2023文文生薬第606号,令和5年9月1日,令和11年8月31日
68,漢方の後楽堂薬局,文京区本郷一丁目２５番５号,見学ビル１階,3818-0371,今井　太郎,30文文生薬第1264号,平成31年3月1日,令和7年2月28日
69,後楽園薬局,文京区本郷一丁目３５番２６号,Ｂ１,3830-0640,株式会社ｓｍｉｌｉｎｋ,31文文生薬第780号,令和1年10月30日,令和7年10月29日
70,日本調剤本郷薬局,文京区本郷二丁目２６番８号,本郷和可奈ビル１階,5615-9350,日本調剤株式会社,2021文文生薬第1563号,令和4年3月2日,令和10年3月1日
71,健生堂薬局本郷店,文京区本郷二丁目２８番１号,ＳＫビル１階,3818-4193,有限会社グロース,2021文文生薬第1598号,令和4年4月1日,令和10年3月31日
72,プライム薬局　本郷店,文京区本郷二丁目３８番１９号,,5615-8552,株式会社プライム,31文文生薬第1487号,令和2年4月3日,令和8年4月2日
73,南山堂薬局本郷店,文京区本郷二丁目４０番８号,本郷三丁目ＴＨビル１階,5615-8916,株式会社南山堂,2022文文生薬第981号,令和4年12月9日,令和10年12月8日
74,日本調剤本郷三丁目薬局,文京区本郷二丁目４０番１７号,本郷若井ビル１階,5804-3051,日本調剤株式会社,2023文文生薬第1391号,令和6年2月23日,令和12年2月22日
75,日生薬局御茶ノ水店,文京区本郷三丁目２番２０号,ＭＫビル,5840-8826,ミアヘルサ株式会社,31文文生薬第1287号,令和2年2月26日,令和8年2月25日
