No.,施設名,施設名（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ１,カテゴリ２,説明（日本語）,説明（英語）
1,第一幼稚園,Daiichi Kindergarten,113-0024,東京都文京区西片2丁目17番6号,35.71745,139.755035,03-3811-0072,区立幼稚園,,,
2,柳町こどもの森(柳町幼稚園),Yanagicho Kodomo-no-Mori(Yanagicho Kindergarten),112-0002,東京都文京区小石川1丁目23番6号,35.713695,139.750497,03-3811-0978,区立幼稚園,,,
3,明化幼稚園,Meika Kindergarten,112-0011,東京都文京区千石1丁目13番9号,35.724833,139.744881,03-3946-1706,区立幼稚園,,,
4,青柳幼稚園,Aoyagi Kindergarten,112-0012,東京都文京区大塚5丁目40番18号,35.720417,139.725097,03-3947-4989,区立幼稚園,,,
5,根津幼稚園,Nezu Kindergarten,113-0031,東京都文京区根津1丁目14番2号,35.718575,139.763038,03-3828-8703,区立幼稚園,,,
6,小日向台町幼稚園,Kohinata-daimachi Kindergarten,112-0006,東京都文京区小日向2丁目2番2号,35.712998,139.734867,03-3947-0581,区立幼稚園,,,
7,本駒込幼稚園,Honkomagome Kindergarten,113-0021,東京都文京区本駒込4丁目35番15号,35.733276,139.755369,03-3828-3200,区立幼稚園,,,
8,千駄木幼稚園,Sendagi Kindergarten,113-0022,東京都文京区千駄木5丁目43番3号,35.72867,139.758016,03-3823-4605,区立幼稚園,,,
9,後楽幼稚園,Koraku Kindergarten,112-0004,東京都文京区後楽1丁目7番7号,35.706362,139.74677,03-3811-5041,区立幼稚園,,,
10,湯島幼稚園,Yushima Kindergarten,113-0033,東京都文京区本郷3丁目10番18号,35.704012,139.763646,03-3814-9243,区立幼稚園,,,
11,愛星幼稚園,,112-0001,東京都文京区白山2丁目37番3号,35.718823,139.749376,03-3813-8617,私立幼稚園,私立幼稚園,,
12,音羽幼稚園,,112-0012,東京都文京区大塚5丁目40番1号,35.721578,139.725761,03-3941-0649,私立幼稚園,私立幼稚園,,
13,京北幼稚園,,113-0021,東京都文京区本駒込2丁目13番5号,35.727938,139.747806,03-3941-7090,私立幼稚園,私立幼稚園,,
14,彰栄幼稚園,,112-0001,東京都文京区白山4丁目14番15号,35.723271,139.745733,03-3941-1239,私立幼稚園,私立幼稚園,,
15,聖園幼稚園,,112-0014,東京都文京区関口3丁目16番15号,35.714216,139.72661,03-3941-8580,私立幼稚園,私立幼稚園,,
16,共立大日坂幼稚園,,112-0006,東京都文京区小日向2丁目17番7号,35.71129,139.733894,03-3941-5570,私立幼稚園,私立幼稚園,,
17,中央会堂幼稚園,,113-0033,東京都文京区本郷3丁目37番9号,35.707328,139.762378,03-3812-0273,私立幼稚園,私立幼稚園,,
18,貞静幼稚園,,112-0012,東京都文京区大塚1丁目2番10号,35.716282,139.735251,03-3943-3711,私立幼稚園,私立幼稚園,,
19,同仁美登里幼稚園,,112-0015,東京都文京区目白台3丁目10番9号,35.716617,139.725518,03-3941-6630,私立幼稚園,私立幼稚園,,
20,日本女子大学附属豊明幼稚園,,112-0015,東京都文京区目白台1丁目18番14号,35.715511,139.719766,03-5981-3852,私立幼稚園,私立幼稚園,,
21,福寿幼稚園,,112-0002,東京都文京区小石川3丁目2番23号,35.711794,139.746419,03-3811-3978,私立幼稚園,私立幼稚園,,
22,文京学院大学文京幼稚園,,113-0023,東京都文京区向丘2丁目4番1号,35.718999,139.758048,03-3813-3771,私立幼稚園,私立幼稚園,,
23,明照幼稚園,,112-0002,東京都文京区小石川4丁目12番8号,35.715362,139.744984,03-3811-1306,私立幼稚園,私立幼稚園,,
24,大和郷幼稚園,,113-0021,東京都文京区本駒込6丁目9番7号,35.731304,139.74396,03-3941-3620,私立幼稚園,私立幼稚園,,
25,弓町本郷幼稚園,,113-0033,東京都文京区本郷2丁目35番14号,35.70679,139.757459,03-3811-3075,私立幼稚園,私立幼稚園,,
