50音,品名,種別,料金,説明
あ,アイロン,不燃ごみ,,
あ,アイロン台,粗大ごみ,400,
あ,アイロンプリント紙,可燃ごみ,,
あ,空き箱（紙製）,資源,,つぶして、雑誌と一緒にしばって出すか、ひもでしばって出してください。
あ,アコーディオンカーテン,粗大ごみ,900,
あ,アタッシュケース,粗大ごみ,400,
あ,油（食用）,可燃ごみ,,古紙や古布に染み込ませるか、凝固剤で固めてお出しください。区のフリーマーケット（ステージ・エコ）でも回収します。
あ,油（灯油・石油）,不可,,専門業者へ回収を依頼してください。
あ,油の付着したびん,不燃ごみ,,汚れたびんはリサイクルできません。
あ,雨具（かっぱ）,可燃ごみ,,
あ,編み機,粗大ごみ,900,
あ,アルバム,可燃ごみ,,
あ,アルミ缶,資源,,軽くすすいで資源の日に青いコンテナにお出しください。
あ,アルミホイル,不燃ごみ,,
あ,安全ピン,不燃ごみ,,
あ,アンテナ（BS等）,不燃ごみ、粗大ごみ,400,おおむね一辺が30㎝以上のものは粗大ごみへ。
あ,アンプ（オーディオ）,粗大ごみ,400,
い,イーゼル、キャンバス,粗大ごみ,400,
い,池（家庭庭園用）,粗大ごみ,1300,
い,衣桁（いこう）,粗大ごみ,400,
い,石,不可,,専門業者へ回収を依頼してください。
い,衣装ケース（ファンシーケース）,粗大ごみ,400,
い,いす（ソファー以外）,粗大ごみ,400,
い,板類一束（ガラス板・鉄板類除く）,可燃ごみ、粗大ごみ,400,釘は必ず抜いてください。おおむね一辺が30㎝以上のものは粗大ごみへ。
い,一輪車（子供用遊具）,粗大ごみ,400,
い,一升びん,資源,,軽くすすいで資源の日に黄色のコンテナに出してください。
い,一斗缶,不燃ごみ,,中身のないものに限ります。
い,井戸用ポンプ（家庭使用）,粗大ごみ,400,
い,井戸用モーター（家庭使用）,粗大ごみ,400,
い,医療廃棄物（事業系）,不可,,専門業者へ回収を依頼してください。
い,医療廃棄物（在宅）,可燃ごみ、不燃ごみ,,注射針の回収容器は薬局で配布しています。金属類は不燃ごみへ。
い,衣類,可燃ごみ,,できるだけ区施設等の回収拠点の回収ボックスに出してください。汚れたものは、できるだけ、小さく裁断して可燃ごみへ。
い,衣類乾燥機,不可,,販売店または家電リサイクル受付センターへ。
い,引火物各種,不可,,専門業者へ回収を依頼してください。
い,印鑑（象牙・木・プラスチック製）,可燃ごみ,,
い,インクカートリッジ,可燃ごみ,,ブラザー、キヤノン、エプソン、ヒューレットパッカードの4社のものは、できるだけ区の回収拠点の回収ボックスに出してください。それ以外のものは可燃ごみへ。
う,ウインドサーフィンボード,粗大ごみ,400,セイル等を含む一式は800円。180㎝以下に切断してください。
う,ウインドファン,粗大ごみ,900,窓に取り付ける換気扇型のもの。窓用エアコン含まず。
う,植木（土は取り除く）,可燃ごみ,,
う,植木鉢（素焼き、陶器製）,不燃ごみ、粗大ごみ,400,土は取り除く。おおむね一辺が30㎝以上のものは粗大ごみへ。
う,ウエストマッサージ器等,粗大ごみ,900,
う,ウォーターベッド、エアーベッドマット,粗大ごみ,400,水・空気を抜いたものに限ります。
う,ウォシュレット（簡易便座）,粗大ごみ,400,
う,浮き輪（レジャー用）,可燃ごみ,,
う,薄型テレビ,不可,,販売店または家電リサイクル受付センターへ。
う,うちわ,可燃ごみ,,
う,ウッドカーペット（6畳未満）,粗大ごみ,900,180㎝以下に切断してください
う,ウッドカーペット（6畳以上）,粗大ごみ,1300,180㎝以下に切断してください
う,腕時計,不燃ごみ,,
う,ウレタン,可燃ごみ,,
う,上靴,可燃ごみ,,
う,運動靴,可燃ごみ,,
え,エアコン,不可,,販売店または家電リサイクル受付センターへ。
