歯科診療所（令和6年7月31日現在）,,,,,,,
No,施設名称,施設所在地,施設方書,施設電話番号,開設者氏名,開設届出日,診療科目
1,飯田橋エトワール歯科医院,文京区後楽二丁目１番８号,エトワール飯田橋１階,3830-1500,森蔭　直広,平成30年7月4日,矯正歯科、歯科、小児歯科、歯科口腔外科
2,医療法人社団櫻雅会オリオン歯科飯田橋ファーストビルクリニック,文京区後楽二丁目５番１号,飯田橋ファーストビル１階,3818-4618,医療法人社団櫻雅会,平成24年9月6日,歯科、矯正歯科、小児歯科、歯科口腔外科
3,文京いわぶち歯科・矯正歯科,文京区後楽二丁目１９番１４号,グローリアスⅢ１階・地下１階,3813-3918,医療法人社団ビーズメディカル,平成27年4月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
4,後楽園デンタルオフィス,文京区後楽二丁目１９番１６号,ベルコリンヌ岡島１階,5840-9679,小川　隆介,平成23年4月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
5,医療法人社団光駿会　講道館ビル歯科・歯科口腔外科,文京区春日一丁目１６番３０号,講道館ビル本館７階,3813-1137,医療法人社団光駿会,平成19年5月14日,歯科、小児歯科、歯科口腔外科
6,斉藤歯科医院,文京区春日二丁目１０番１９号,201,3811-4732,斉藤　季夫,昭和56年7月8日,歯科
7,文京ガーデン東京歯科,文京区小石川一丁目４番１２号,文京ガーデン・ザ・ウエスト１０１・１０３,6759-1645,松本　宏之,平成31年4月1日,歯科、小児歯科、矯正歯科、歯科口腔外科
8,高林デンタルオフィス東京,文京区小石川一丁目５番１号,パークコート文京小石川　ザ　タワー２０４,6770-0275,高林　正行,令和3年6月15日,歯科、歯科口腔外科
9,笹川歯科医院,文京区小石川一丁目５番１号,パークコート文京小石川　ザ　タワー２０７,3811-0302,笹川　碧,令和3年7月1日,歯科
10,フィックスデンタルクリニック,文京区小石川一丁目５番１号,パークコート文京小石川　ザ　タワー　３０３Ｈ区画,5615-8415,秋野　徳雄,令和3年12月6日,歯科、歯科口腔外科、矯正歯科、小児歯科
11,医療法人社団尚生会　高木デンタルクリニック,文京区小石川一丁目８番７号,ＡＫＡビル１階,3815-6725,医療法人社団尚生会,平成18年3月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
12,遠藤歯科医院,文京区小石川一丁目９番１４号,アトラスタワー小石川１０３,3818-1114,遠藤　徹,平成16年6月28日,歯科、矯正歯科、小児歯科、歯科口腔外科
13,のぶもり歯科,文京区小石川一丁目１２番１０号,ドリーム小石川１階,3815-6788,信森　道生,平成11年11月26日,歯科、小児歯科
14,富沢歯科クリニック,文京区小石川一丁目１３番１１号,岩井建設本社ビル３Ｆ,3813-4063,富澤　一浩,令和5年12月27日,歯科、小児歯科、矯正歯科
15,あかおぎ歯科クリニック,文京区小石川一丁目１５番４号,ウェバーリンク小石川１階,5615-8058,赤荻　健一,平成26年10月6日,歯科、矯正歯科、小児歯科、歯科口腔外科
16,池田歯科医院,文京区小石川一丁目１６番６号,サンクタス小石川１０１,5684-4184,池田　宗彦,平成17年7月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
17,医療法人社団わかばの会　エルアージュ歯科クリニック,文京区小石川一丁目１７番１号,エルアージュ小石川Ｂ２０４,5803-4183,医療法人社団わかばの会,平成12年12月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
18,えり春日デンタルクリニック,文京区小石川二丁目２番１３号,ザ・パークハウス小石川後楽園１階１０１,3868-0654,河内　絵理,令和4年3月4日,歯科、小児歯科、矯正歯科、歯科口腔外科
19,医療法人社団掲光会　高橋矯正歯科医院,文京区小石川二丁目１８番１７号,ミカミビル１階,3812-7782,医療法人社団掲光会,平成9年4月8日,矯正歯科
20,ワイズデンタルオフィス,文京区小石川二丁目２５番１０号,パークホームズ小石川１０１,6801-9505,丸山　陽子,平成17年1月26日,歯科、矯正歯科、小児歯科、歯科口腔外科
21,医療法人社団清慈会　小石川歯科クリニック,文京区小石川三丁目１番６号,こどもや・南ビル１階,3816-0004,医療法人社団清慈会,平成19年8月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
22,文秀歯科医院,文京区小石川三丁目１番２４号,ＫーＷＩＮＧ１階Ｂ号,3815-2692,渡邊　文秀,平成28年4月15日,歯科、矯正歯科
23,豊田歯科・口腔外科,文京区小石川三丁目２７番１３号,豊田ビル３階,3811-6480,豊田　潤,平成27年8月3日,歯科、矯正歯科、小児歯科、歯科口腔外科
24,歯科医院デンタル小石川,文京区小石川四丁目５番６号,フォーラム小石川２０２,3817-0888,仲宗根　智実,平成26年8月25日,歯科、小児歯科、歯科口腔外科
25,時岡歯科医院,文京区小石川四丁目１３番１６号,,5684-3668,時岡　孝寛,平成18年2月1日,歯科
26,医療法人社団ワダ　ワダ歯科・矯正歯科,文京区小石川四丁目１７番２２号,フキモトサワビル１０１号室,6801-8618,医療法人社団ワダ,平成27年4月1日,矯正歯科、小児歯科
27,朝比奈歯科医院,文京区小石川四丁目２０番１号,小石川イトークリエイトビル２階,3814-7096,朝比奈　光子,平成7年7月24日,歯科
28,吉澤歯科クリニック,文京区小石川四丁目２０番３号,201,5684-8141,吉澤　信,平成5年8月30日,歯科、矯正歯科、小児歯科
29,文京歯科医院,文京区小石川四丁目２０番５号,マンショングリーンヒル２０２,3811-3994,大石　美穂,平成22年9月1日,歯科、小児歯科、歯科口腔外科
30,医療法人社団竹早会　鍋山歯科クリニック,文京区小石川四丁目２１番４号,小石川安田ビル２階,3868-3388,医療法人社団竹早会　,平成26年10月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
31,茗荷谷歯科クリニック,文京区小石川五丁目３番３号,エイトビル１階,3814-7644,國枝　正人,平成25年8月1日,歯科、矯正歯科、小児歯科、歯科口腔外科
32,長島デンタルクリニック,文京区小石川五丁目３番４号,ラ・ヴェリエール文京１０１,3868-3098,長島　慎,平成22年10月18日,歯科、小児歯科、歯科口腔外科
33,医療法人社団鶴千会　チエデンタルクリニック,文京区小石川五丁目４番２号,リジェネス小石川ｆｂ２階,6240-0418,医療法人社団鶴千会,平成29年1月6日,歯科、矯正歯科、小児歯科、歯科口腔外科
34,茗荷谷おとなとこども矯正歯科,文京区小石川五丁目５番２号,信濃路ビル８階,3947-2555,稲井　達,令和6年2月16日,矯正歯科
35,ひとみデンタルクリニック,文京区小石川五丁目１０番１８号,ビスタ竹早１０２号室,5840-8341,権藤　ひとみ,平成18年7月26日,歯科、矯正歯科
36,まさき歯科クリニック,文京区小石川五丁目１１番１５号,小石川ビューパレー１０２号室,6801-8070,正木　秀憲,令和5年11月1日,歯科、矯正歯科、歯科口腔外科、小児歯科
37,医療法人社団お茶の水会　小石川矯正歯科クリニック,文京区小石川五丁目１１番１７号,ニュー小石川ビル３階,5804-0452,医療法人社団お茶の水会,平成11年4月1日,歯科、矯正歯科
