橋梁名,架設年月,所在地,所在地（緯度）,所在地（経度）,交差物件,上部工形式,延長（ｍ）,面積（㎡）
駒塚橋,1981-11,東京都文京区関口１丁目３５番～関口２丁目１１番先,35.711987,139.723266,河川,鋼単純非合成鈑桁橋,24.00,235.20
華水橋,2005-06,東京都文京区水道２丁目９番～関口１丁目２１番先,35.710069,139.733134,河川,単純充実合成床版橋,21.60,112.32
掃部橋,2008-11,東京都文京区水道２丁目７番～関口１丁目１９番先,35.709556,139.734403,河川,鋼単純中路式鈑桁橋,21.20,110.24
古川橋,2009-11,東京都文京区水道２丁目６番～関口１丁目１７番先,35.70936,139.735011,河川,単純充実合成床版橋,21.30,153.36
清水橋,2019-03,東京都文京区西片２丁目１番～本郷６丁目１２番先,35.713485,139.756909,道路,Ｈ鋼桁埋込ＲＣ複合門形ラーメン橋,21.20,129.32
染井橋,2005-03,東京都文京区本駒込６丁目２３番先,35.735828,139.745480,鉄道,単純鋼床版鈑桁橋,26.70,234.96
大滝橋（人道橋）,1982-03,東京都文京区関口１丁目２７番～関口２丁目１番先,35.710388,139.726054,河川,鋼単純非合成鈑桁橋,23.80,84.49
一休橋（人道橋）,1982-03,東京都文京区関口１丁目２５番～関口２丁目１番先,35.710219,139.728032,河川,PC有ヒンジラーメン橋,27.60,77.28
本郷２・３丁目歩道橋（横断歩道橋）,2016-02,東京都文京区本郷２丁目１番～本郷３丁目１番先,35.702123,139.762004,道路,下路式鋼床版Ⅰ桁橋,34.16,193.23
壱岐坂上歩道橋（横断歩道橋）,1968-12,東京都文京区本郷２丁目１６～１７番先,35.704191,139.758210,道路,中路式プレートガーター橋,24.40,46.36
,,,,,,,,
