"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J","選択肢K","選択肢L","選択肢M","選択肢N","選択肢O"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","全体",,"658","165","247","384","303","183","16","165","29","63","74","13","1","9","3","5"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性（計）","248","65","96","161","94","66","4","58","6","12","15","2","1","2","2","3"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 18～29歳","23","6","8","11","15","3","1","0","0","0","3","0","0","0","1","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 30～39歳","35","12","11","30","25","7","0","8","0","5","2","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 40～49歳","41","4","13","34","21","6","0","8","0","0","1","1","1","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 50～59歳","49","10","19","42","23","10","2","12","0","2","1","0","0","0","0","2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 60～69歳","39","12","16","28","8","15","0","13","3","3","3","1","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 70歳以上","60","20","28","16","2","24","1","17","3","2","4","0","0","2","1","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","男性 無回答","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性（計）","400","97","147","220","206","113","12","105","22","50","58","11","0","7","1","2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 18～29歳","28","10","8","10","17","7","0","2","0","1","12","0","0","1","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 30～39歳","65","12","26","41","51","13","3","16","4","7","11","2","0","2","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 40～49歳","95","19","24","68","71","25","1","14","1","1","8","0","0","0","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 50～59歳","82","17","25","63","42","18","6","20","3","13","6","0","0","1","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 60～69歳","55","16","23","28","15","19","1","23","4","11","10","4","0","2","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 70歳以上","75","23","41","10","10","31","1","30","10","17","11","5","0","1","1","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","性・年代別","無回答","10","3","4","3","3","4","0","2","1","1","1","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","自営業主・家族従業","92","25","37","51","31","28","1","21","3","4","11","1","0","2","0","2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","会社員・団体職員・公務員","280","63","91","209","170","59","6","56","3","15","18","4","0","3","1","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","アルバイト・パートタイマー","58","17","21","26","27","15","2","18","6","11","7","1","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","家事専業","94","27","37","51","44","29","5","26","5","15","17","3","0","1","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","学生","20","3","6","10","13","3","0","1","0","2","8","0","0","1","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","無職","83","21","43","24","11","36","2","27","8","10","9","2","0","2","1","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","その他","26","8","11","12","6","10","0","14","3","6","3","2","1","0","1","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","職業別","無回答","5","1","1","1","1","3","0","2","1","0","1","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","居住地区別","芝地区","107","49","23","64","55","36","0","31","1","8","8","3","1","4","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","居住地区別","麻布地区","140","32","45","83","52","34","3","26","2","13","16","3","0","4","1","2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","居住地区別","赤坂地区","88","19","39","55","36","28","1","23","6","6","10","0","0","0","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","居住地区別","高輪地区","155","22","68","80","72","48","6","43","10","18","22","3","0","0","1","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","居住地区別","芝浦港南地区","164","41","70","101","86","35","6","41","10","18","16","4","0","1","1","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","居住地区別","無回答","4","2","2","1","2","2","0","1","0","0","2","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","持家（一戸建）","95","31","38","36","30","39","3","32","5","11","19","2","0","2","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","持家（マンション）","302","72","122","195","143","92","9","86","11","29","25","7","1","4","0","2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","借家（一戸建）","7","0","2","3","5","0","0","0","0","0","1","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","民間の賃貸マンション・アパート","171","39","50","107","94","30","4","21","5","11","16","2","0","1","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","都営住宅・区営住宅・区立住宅","28","7","11","6","9","6","0","8","4","4","3","0","0","1","1","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","8","10","11","9","7","0","7","2","1","1","1","0","1","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","社宅・公務員宿舎","20","3","9","16","11","3","0","4","2","4","3","0","0","0","1","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","寮・寄宿舎・住み込み・間借り","6","2","2","4","1","1","0","4","0","2","2","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","その他","5","1","1","3","0","2","0","2","0","1","1","1","0","0","1","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","住居形態別","無回答","6","2","2","3","1","3","0","1","0","0","3","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","定住意向別","ずっと住み続けていたい","366","99","148","197","148","112","11","117","17","42","49","9","0","6","2","2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","定住意向別","当分は住んでいたい","224","50","80","145","119","54","3","32","6","15","21","2","1","2","1","2"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","11","8","31","26","7","2","12","5","3","2","2","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","定住意向別","近いうちに区外に転居する予定である","9","1","4","5","3","3","0","2","1","1","0","0","0","0","0","1"
"202003","区政全般","Q5. あなたは区の行政サービスや手続きの方法を知りたいとき、どのように情報を入手しますか。（複数選択可）","定住意向別","わからない","14","3","5","5","5","6","0","2","0","2","2","0","0","1","0","0"
