項目名,データ形態,カテゴリー数,質問文,属性,値
都市,ＳＡ,7,,1,東京
都市,ＳＡ,7,,2,ニューヨーク
都市,ＳＡ,7,,3,ロンドン
都市,ＳＡ,7,,4,パリ
都市,ＳＡ,7,,5,シンガポール
都市,ＳＡ,7,,6,ソウル
都市,ＳＡ,7,,7,コペンハーゲン
F1性別,ＳＡ,4,,1,男
F1性別,ＳＡ,4,,2,女
F1性別,ＳＡ,4,,3,その他
F1性別,ＳＡ,4,,4,回答しない
F3職業,ＳＡ,10,,1,会社員・団体職員
F3職業,ＳＡ,10,,2,公務員
F3職業,ＳＡ,10,,3,自営業
F3職業,ＳＡ,10,,4,会社役員
F3職業,ＳＡ,10,,5,自由業
F3職業,ＳＡ,10,,6,専業主婦（夫）
F3職業,ＳＡ,10,,7,学生
F3職業,ＳＡ,10,,8,パート・アルバイト
F3職業,ＳＡ,10,,9,無職
F4従業員数,ＳＡ,4,,1,5人以下
F4従業員数,ＳＡ,4,,2,6～20人
F4従業員数,ＳＡ,4,,3,21～300人
F4従業員数,ＳＡ,4,,4,301人以上
F5世帯収入,ＳＡ,8,,1,200万円未満
F5世帯収入,ＳＡ,8,,2,200～400万円未満
F5世帯収入,ＳＡ,8,,3,400～600万円未満
F5世帯収入,ＳＡ,8,,4,600～800万円未満
F5世帯収入,ＳＡ,8,,5,800～1000万円未満
F5世帯収入,ＳＡ,8,,6,1000～1500万円未満
F5世帯収入,ＳＡ,8,,7,1500～2000万円未満
F5世帯収入,ＳＡ,8,,8,2000万円以上
F6同居家族人数,ＳＡ,5,,1,1人暮らし（同居の家族はいない）
F6同居家族人数,ＳＡ,5,,2,2人
F6同居家族人数,ＳＡ,5,,3,3人
F6同居家族人数,ＳＡ,5,,4,4人
F6同居家族人数,ＳＡ,5,,5,5人以上
F7_未就学児がいる,ＳＡ,2,,1,YES
F7_未就学児がいる,ＳＡ,2,,2,NO
F7_義務教育を受けている子供がいる,ＳＡ,2,,1,YES
F7_義務教育を受けている子供がいる,ＳＡ,2,,2,NO
F7_高校生・大学生の子供がいる,ＳＡ,2,,1,YES
F7_高校生・大学生の子供がいる,ＳＡ,2,,2,NO
F7_65歳以上の高齢者がいる,ＳＡ,2,,1,YES
F7_65歳以上の高齢者がいる,ＳＡ,2,,2,NO
F7_障害がある方がいる,ＳＡ,2,,1,YES
F7_障害がある方がいる,ＳＡ,2,,2,NO
F7_介護を必要とする方がいる,ＳＡ,2,,1,YES
F7_介護を必要とする方がいる,ＳＡ,2,,2,NO
F7_該当なし,ＳＡ,2,,1,YES
F7_該当なし,ＳＡ,2,,2,NO
Q1_固定電話,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_固定電話,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_ＦＡＸ,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_ＦＡＸ,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_テレビ,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_テレビ,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_ラジオ,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_ラジオ,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_携帯電話（ＰＨＳを含む）,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_携帯電話（ＰＨＳを含む）,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_スマートフォン,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_スマートフォン,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_タブレット端末（iPad、Galaxy Tabなど）,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_タブレット端末（iPad、Galaxy Tabなど）,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_パソコン,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_パソコン,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_ウェアラブル端末（スマートウォッチ　など）,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_ウェアラブル端末（スマートウォッチ　など）,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_インターネットに接続できるゲーム機,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_インターネットに接続できるゲーム機,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
Q1_インターネットに接続できる携帯型音楽プレイヤー,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,1,YES
Q1_インターネットに接続できる携帯型音楽プレイヤー,ＳＡ,2,Q1: 通信機能を有する情報通信機器の使用状況についてお尋ねします。あなたの世帯で保有し、１年以内に使用した機器をすべて選択してください。（過去１年間に１度も使用していない機器は除く）,2,NO
