項目名,データ形態,カテゴリー数,質問文,属性,値
Q1補助金・融資等,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO01,はい
Q1補助金・融資等,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO02,いいえ
Q1許認可,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO01,はい
Q1許認可,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO02,いいえ
Q1申請・届出,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO01,はい
Q1申請・届出,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO02,いいえ
Q1納税,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO01,はい
Q1納税,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO02,いいえ
Q1その他の行政手続,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO01,はい
Q1その他の行政手続,ＳＡ,2,Q1:過去1年間で、次に挙げる行政手続を利用しましたか。,AO02,いいえ
Q2-1補助金・融資で利用した行政手続,ＳＡ,8,Q2-1:補助金・融資で利用した手続の行政分野を教えてください（複数ある場合は直近のものを選択してください）,AO01,産業（例：企業支援、産業振興　など）
Q2-1補助金・融資で利用した行政手続,ＳＡ,8,Q2-1:補助金・融資で利用した手続の行政分野を教えてください（複数ある場合は直近のものを選択してください）,AO02,健康・医療（例：環境衛生、食品衛生、感染症対策、薬物の取扱い　など）
Q2-1補助金・融資で利用した行政手続,ＳＡ,8,Q2-1:補助金・融資で利用した手続の行政分野を教えてください（複数ある場合は直近のものを選択してください）,AO03,福祉（例：子育て支援、高齢者福祉、障害者支援　など）
Q2-1補助金・融資で利用した行政手続,ＳＡ,8,Q2-1:補助金・融資で利用した手続の行政分野を教えてください（複数ある場合は直近のものを選択してください）,AO04,環境（例：温暖化対策、公害対策、自然環境、廃棄物、土壌汚染対策　など）
Q2-1補助金・融資で利用した行政手続,ＳＡ,8,Q2-1:補助金・融資で利用した手続の行政分野を教えてください（複数ある場合は直近のものを選択してください）,AO05,都市整備（例：都市計画、まちづくり、建築　など）
