全国地方公共団体コード,ID,地方公共団体名,年,月,戸籍謄抄本,住民票の写し,印鑑証明,婚姻,離婚,出生,死亡,転入,転出,備考
131059,1,東京都文京区,2022,04,10389,13586,5467,101,34,136,170,2629,1559,
131059,2,東京都文京区,2022,05,10776,11605,5374,193,30,142,148,1755,1174,
131059,3,東京都文京区,2022,06,11408,13167,6027,115,27,163,168,1588,1228,
131059,4,東京都文京区,2022,07,10424,11851,5413,161,23,142,207,1408,1189,
131059,5,東京都文京区,2022,08,11334,12020,5442,143,20,189,193,1536,1222,
131059,6,東京都文京区,2022,09,11057,12060,5659,129,33,166,202,1637,1181,
131059,7,東京都文京区,2022,10,12090,11463,5545,133,26,141,160,1609,1048,
131059,8,東京都文京区,2022,11,11475,12390,5470,213,29,156,188,1251,1026,
131059,9,東京都文京区,2022,12,11210,12226,5602,124,32,158,206,1214,1194,
131059,10,東京都文京区,2023,01,11429,12315,5482,119,26,147,224,1154,1143,
131059,11,東京都文京区,2023,02,12424,12708,5799,165,24,131,168,1453,1316,
131059,12,東京都文京区,2023,03,13210,16830,6929,214,42,112,200,3290,2792,
