行,EPSGコード,経度,緯度,認定番号,認定年度,事業者名,認定商品名,業務内容,郵便番号,所在地,電話番号,ＵＲＬ
1,EPSG:6677,-41592.44927,-43907.3944,1,2013年度,株式会社イズミ,災害・停電時LED街路灯『消えないまちだ君』,各種濾過装置の設計・製造・販売及び保守業務と環境保全のためのLED照明器具類やスーパーマイザー等の省エネ機器類の取り扱い,194-0215,町田市小山ヶ丘2-2-5まちだテクノパーク,042-798-7011,www.izumi-co.com/
2,EPSG:6677,-41592.44927,-43907.3944,2,2013年度,株式会社ユニロック,卓上除振台『PJS-4035』,電子顕微鏡用および精密機器用の除振マウント、除振台、減磁場装置、周辺装置の製造販売、振動問題のコンサルティング,194-0215,町田市小山ヶ丘2-2-5まちだテクノパーク,042-798-5090,www.unirock.jp/
3,EPSG:6677,-33109.5305,-46706.82648,3,2013年度,株式会社マイファースト,はじめての傘?,アイデア製品の企画・開発、製造・販売、「はじめての傘?」のOME受託、ゲームソフトやアミューズメント装置の企画・開発（委託者のブランド製品を設計・生産）,195-0072,町田市金井8-29,042-708-9300,www.my1st.jp/
4,EPSG:6677,-41592.44927,-43907.3944,4,2013年度,大浩研熱株式会社,町田式水耕栽培槽,産業用のエアーノズル・熱風発生用電熱ヒーター・エアフィルター開発から製造販売まで。2009年以降、高性能水耕栽培設備の開発・製造。,195-0215,町田市小山ヶ丘2-2-5まちだテクノパーク,042-798-4911,www.daico-t.com/
5,EPSG:6677,-35126.45825,-49854.85717,5,2013年度,シー・エイチ・シー・システム株式会社,CO2コントローラー,空気調和・衛生設備工事の設計・施工、人造大理石の設計・開発及び販売、CO2センサー及びコントローラーの開発及び販売,194-0012,町田市中町1-25-9,042-728-6660,www.chcsys.net/
6,EPSG:6677,-31558.47154,-52162.53274,6,2013年度,合資会社木と字の神林,水書きグー,1.完全手作りの木製・木彫・銘木看板の制作　2.水書きグー（水筆紙）の企画・販売　3.毛筆による文字及びロゴデザイン・書画・大書の制作・販売,194-0001,町田市つくし野1-28-8,042-796-4782,www.mizukakigoo.jp/
7,EPSG:6677,-33665.92414,-52068.17417,7,2013年度,有限会社サンレックス,水銀灯代替LEDランプ『SN400ADF2』,電子部品製造、LEDランプ製造、販売,195-0072,町田市金森3-1-4,042-796-5115,sunrex.jp/
8,EPSG:6677,-41592.44927,-43907.3944,8,2013年度,株式会社志成データム,医用電子血圧器『AVE-1500』,医療機器製造販売業,194-0215,町田市小山ヶ丘2-2-5まちだテクノパーク,042-798-4711,www.shisei-d.co.jp
9,EPSG:6677,-32526.56589,-54708.57814,9,2014年度,環境エクステリア株式会社,スマートラン,エクステリア商品（伸縮門扉、引戸、門戸、フェンス、シェルター、手すり、駐車場、ベンチ、車止め、サイン、高欄、防護柵、公園資材）の企画、設計、製造、販売,194-0004,町田市鶴間5-6-32-107,042-850-5820,www.k-ex.co.jp/
10,EPSG:6677,-32526.56589,-54708.57814,10,2014年度,環境エクステリア株式会社,スマートウェイ,エクステリア商品（伸縮門扉、引戸、門戸、フェンス、シェルター、手すり、駐車場、ベンチ、車止め、サイン、高欄、防護柵、公園資材）の企画、設計、製造、販売,194-0004,町田市鶴間5-6-32-107,042-850-5820,www.k-ex.co.jp/
11,EPSG:6677,-35243.53454,-50169.90226,11,2014年度,エナジーワイヤレス株式会社,ムシボシクン,自然エネルギーを利用した次世代の発電技術と最新の無線技術を基軸とした情報通信機器の開発,194-0012,町田市中町1-4-2町田新産業創造センター3階,042-785-5529,www.eng-wireless.com/
12,EPSG:6677,-41592.44927,-43907.3944,12,2014年度,株式会社和広,高速発酵処理器『Decop』,鉄道車両機器、産業用電源ユニット、大電流コネクタ等の製造・組立・試験及び鉄道車両機器等のメンテナンス,194-0215,町田市小山ヶ丘2-2-5まちだテクノパーク,042-798-7531,www.wakoh-h1.co.jp/
13,EPSG:6677,-34055.18185,-44652.07992,13,2014年度,株式会社鈴木瓦店,マチロック,屋根工事全般、屋根材販売、瓦及びガラス陶磁器くずのリサイクル事業中間処理、リサイクル材の販売施工,195-0051,町田市真光寺町234,042-708-0316,www.suzuki-kawaraten.co.jp
14,EPSG:6677,-35243.53454,-50169.90226,14,2014年度,株式会社MDS,スマートウィンドウ,システムに関するコンサルティング、ソリューション提案/システム設計およびソフトウエア設計・開発・販売・運用・保守サービス等,194-0012,町田市中町1-4-2町田新産業創造センター3階,042-710-8733,www.mdsco.jp/
15,EPSG:6677,-35239.8573,-49841.45402,15,2015年度,株式会社アリトンシステム研究所,『Eco・cel(エコ・セル)』,システム・ソフトウェア開発、SI（システムインテグレーション）サービス,194-0012,町田市中町1-26-4シャトーグレイス103,042-726-1200,www.arnet.co.jp/
16,EPSG:6677,-35126.45825,-49854.85717,16,2015年度,シー・エイチ・シー・システム株式会社,施設園芸用ゼロ温度CO2コントローラー『SA-K03』,空気調和・衛生設備工事の設計・施工、人造大理石の設計・開発及び販売、CO2センサー及びコントローラーの開発及び販売,194-0012,町田市中町1-25-9,042-728-6660,www.chcsys.net/
17,EPSG:6677,-35243.53454,-50169.90226,17,2016年度,株式会社ブリッジ,メンタルケアRPG『エトニア辺境討伐記』,家庭用ゲームソフトの企画・開発、スマートフォンアプリの企画・開発、WEBサイト制作、音楽制作,194-0012,町田市中町1-4-2町田新産業創造センター3階,042-710-6951,www.vridge.co.jp
18,EPSG:6677,-32526.47068,-51413.86214,18,2016年度,ニューロネット株式会社,プライベートクラウド型Web会議システム『SaasBoard』,映像型コンタクトセンター型サービスMoshiMoshiInteractiveや、Web会議SaasBoardなど、ビデオチャットを主軸としてクラウド型サービスを事業展開。政府、りそな中小企業振興財団、東京都他多くの公的機関から表彰や認定を受けており、官公庁や大学へ導入されている。,194-0045,町田市南成瀬5-1-6台益ナルセビル2階,042-785-4737,www.neuronet.co.jp/
