執行年月日_西暦,執行年月日_和暦,曜日,天候,選挙種別,当日有権者数（男）（人）,当日有権者数（女）（人）,当日有権者数（総計）（人）,投票者数（男）（人）,投票者数（女）（人）,投票者数（総計）（人）,投票率（男）（％）,投票率（女）（％）,投票率（総計）（％）,備考
1947-04-25,昭和22年4月25日,金曜日,曇,衆議院,"52,832","48,039","100,871","35,580","23,203","58,783",67.35%,48.30%,58.28%,
1949-01-23,昭和24年1月23日,日曜日,晴,衆議院,"58,939","57,423","116,362","35,811","26,440","62,251",60.76%,46.04%,53.50%,
1949-01-23,昭和24年1月23日,日曜日,晴,最高裁,"58,939","57,423","116,362","35,802","26,439","62,241",60.74%,46.04%,53.49%,
1952-10-01,昭和27年10月1日,水曜日,曇,衆議院,"79,324","76,832","156,156","47,861","40,586","88,447",60.34%,52.82%,56.64%,
1952-10-01,昭和27年10月1日,水曜日,曇,最高裁,"79,324","76,832","156,156","47,741","40,511","88,252",60.18%,52.73%,56.52%,
1953-04-19,昭和28年4月19日,日曜日,晴後雨,衆議院,"70,927","70,237","141,164","46,011","38,019","84,030",64.87%,54.13%,59.53%,
1955-02-27,昭和30年2月27日,日曜日,曇後雨,衆議院,"78,510","75,655","154,165","53,831","45,487","99,318",68.57%,60.12%,64.42%,
1955-02-27,昭和30年2月27日,日曜日,曇後雨,最高裁,"78,510","75,655","154,165","52,232","43,940","96,172",66.53%,58.08%,62.38%,
1958-05-22,昭和33年5月22日,木曜日,晴,衆議院,"83,608","80,015","163,623","59,364","54,433","113,797",71.00%,68.03%,69.55%,
1958-05-22,昭和33年5月22日,木曜日,晴,最高裁,"83,608","80,015","163,623","59,172","54,284","113,456",70.77%,67.84%,69.34%,
1960-11-20,昭和35年11月20日,日曜日,晴,衆議院,"86,046","81,578","167,624","56,229","49,500","105,729",65.35%,60.68%,63.08%,
1960-11-20,昭和35年11月20日,日曜日,晴,最高裁,"86,046","81,578","167,624","55,866","49,060","104,926",64.93%,60.14%,62.60%,
1963-11-21,昭和38年11月21日,木曜日,晴,衆議院,"94,905","91,234","186,139","56,988","54,198","111,186",60.05%,59.41%,59.73%,
1963-11-21,昭和38年11月21日,木曜日,晴,最高裁,"94,905","91,234","186,139","56,441","53,259","109,700",59.47%,58.38%,58.93%,
1967-01-29,昭和42年1月29日,日曜日,雨後曇,衆議院,"108,123","105,819","213,942","70,949","69,408","140,357",65.62%,65.59%,65.61%,
1967-01-29,昭和42年1月29日,日曜日,雨後曇,最高裁,"108,123","105,819","213,942","69,982","67,854","137,836",64.72%,64.12%,64.43%,
1969-12-27,昭和44年12月27日,土曜日,曇,衆議院,"109,349","106,028","215,377","62,853","63,154","126,007",57.48%,59.56%,58.51%,
1969-12-27,昭和44年12月27日,土曜日,曇,最高裁,"109,349","106,028","215,377","61,641","60,800","122,441",56.37%,57.34%,56.85%,
1972-12-10,昭和47年12月10日,日曜日,曇,衆議院,"104,365","108,371","212,736","63,824","66,492","130,316",61.15%,61.36%,61.26%,
1972-12-10,昭和47年12月10日,日曜日,曇,最高裁,"104,365","108,371","212,736","61,876","62,909","124,785",59.29%,58.05%,58.66%,
1976-12-05,昭和51年12月5日,日曜日,晴,衆議院,"98,689","105,575","204,264","62,184","66,121","128,305",63.01%,62.63%,62.81%,
1976-12-05,昭和51年12月5日,日曜日,晴,最高裁,"98,689","105,575","204,264","58,849","61,373","120,222",59.63%,58.13%,58.86%,
1979-10-07,昭和54年10月7日,日曜日,雨,衆議院,"96,610","103,957","200,567","50,672","52,988","103,660",52.45%,50.97%,51.68%,
1979-10-07,昭和54年10月7日,日曜日,雨,最高裁,"96,610","103,957","200,567","49,547","51,437","100,984",51.29%,49.48%,50.35%,
1980-06-22,昭和55年6月22日,日曜日,晴,衆議院,"97,145","104,782","201,927","64,377","69,884","134,261",66.27%,66.69%,66.49%,
1980-06-22,昭和55年6月22日,日曜日,晴,最高裁,"97,145","104,782","201,927","62,843","67,406","130,249",64.69%,64.33%,64.50%,
1983-12-18,昭和58年12月18日,日曜日,晴,衆議院,"98,296","105,877","204,173","56,774","60,580","117,354",57.76%,57.22%,57.48%,
1983-12-18,昭和58年12月18日,日曜日,晴,最高裁,"98,296","105,877","204,173","55,917","59,548","115,465",56.89%,56.24%,56.55%,
