Ｎｏ．,局,指摘歳入,指摘歳出,指摘財産,指摘その他,指摘計,意見・要望,合計,合計うち全庁重点監査事項,合計うち局別重点監査事項
1,青少年・治安対策本部,,1,,,1,,1,,1
2,総務局,,2,,,2,,2,,
3,主税局,8,,,1,9,,9,,4
4,生活文化局,,9,,2,11,,11,5,5
5,オリンピック・パラリンピック準備局,,2,1,,3,,3,,1
6,都市整備局,2,1,,,3,,3,,1
7,環境局,,2,1,1,4,,4,1,1
8,福祉保健局,2,7,5,1,15,2,17,8,2
9,病院経営本部,,1,2,1,4,1,5,3,
10,産業労働局,2,3,,,5,,5,2,
11,中央卸売市場,1,,3,,4,,4,1,3
12,建設局,1,3,2,1,7,,7,3,
13,港湾局,,4,2,,6,,6,3,
14,東京消防庁,,2,,,2,,2,,
15,交通局,,6,1,1,8,1,9,5,
16,水道局,1,2,,1,4,,4,,
17,下水道局,,5,1,1,7,,7,2,3
18,教育庁,1,7,1,6,15,,15,3,2
19,警視庁,,,,1,1,,1,,
合計,,18,57,19,17,111,4,115,36,23
