利用している社会資源（複数回答）,都全体(n=657)(人）,都全体(n=657)（％）,特別区(n=496)（人）,特別区(n=496)（％）,市町村(n=161)（人）,市町村(n=161)（％）
専門医,632,96.2,475,95.8,157,97.5
地域主治医,308,46.9,233,47.0,75,46.6
訪問看護ステーション,528,80.4,417,84.1,111,68.9
訪問リハビリ,229,34.9,187,37.7,42,26.1
リハビリ目的での通院,145,22.1,96,19.4,49,30.4
児童発達支援（通園）,218,33.2,168,33.9,50,31.1
居宅介護,105,16.0,89,17.9,16,9.9
移動支援,26,4.0,25,5.0,1,0.6
短期入所,66,10.0,49,9.9,17,10.6
相談支援事業所,112,17.0,98,19.8,14,8.7
在宅重心訪問事業,198,30.1,152,30.6,46,28.6
在宅レスパイト事業,54,8.2,54,10.9,0,0.0
保育所,26,4.0,18,3.6,8,5.0
障害児保育,24,3.7,20,4.0,4,2.5
訪問保育,13,2.0,13,2.6,0,0.0
幼稚園,10,1.5,9,1.8,1,0.6
患者会・親の会,45,6.8,35,7.1,10,6.2
医療機関以外利用なし,57,8.7,37,7.5,20,12.4
未把握,4,0.6,2,0.4,2,0.0
