日,1(m),2(m),3(m),4(m),5(m),6(m),7(m),8(m),9(m),10(m),11(m),12(m),年(m),備考
1,-5.60,-6.39,-6.75,-6.81,-6.83,-6.88,-6.72,-6.66,-5.16,-4.02,-4.44,-5.00,,
2,-5.63,-6.41,-6.75,-6.82,-6.84,-6.88,-6.72,-6.66,-5.12,-4.02,-4.46,-5.01,,
3,-5.65,-6.43,-6.76,-6.82,-6.84,-6.89,-6.72,-6.67,-5.10,-4.02,-4.47,-5.03,,
4,-5.68,-6.45,-6.77,-6.83,-6.84,-6.89,-6.72,-6.67,-5.09,-4.03,-4.50,-5.05,,
5,-5.71,-6.47,-6.78,-6.83,-6.83,-6.90,-6.72,-6.67,-5.09,-4.04,-4.52,-5.07,,
6,-5.74,-6.48,-6.79,-6.83,-6.84,-6.90,-6.73,-6.68,-5.08,-4.05,-4.54,-5.09,,
7,-5.77,-6.50,-6.79,-6.83,-6.84,-6.90,-6.74,-6.69,-5.09,-4.07,-4.58,-5.12,,
8,-5.80,-6.52,-6.80,-6.83,-6.84,-6.91,-6.74,-6.69,-5.08,-4.07,-4.59,-5.14,,
9,-5.83,-6.54,-6.80,-6.82,-6.85,-6.92,-6.75,-6.70,-5.07,-4.05,-4.62,-5.16,,
10,-5.86,-6.55,-6.80,-6.82,-6.85,-6.92,-6.76,-6.71,-5.07,-4.06,-4.64,-5.19,,
11,-5.90,-6.57,-6.80,-6.82,-6.85,-6.92,-6.76,-6.71,-5.07,-4.07,-4.64,-5.22,,
12,-5.93,-6.59,-6.80,-6.82,-6.85,-6.93,-6.77,-6.72,-5.07,-4.09,-4.64,-5.25,,
13,-5.96,-6.60,-6.81,-6.82,-6.85,-6.91,-6.78,-6.73,-5.07,-4.10,-4.66,-5.27,,
14,-5.99,-6.62,-6.81,-6.82,-6.85,-6.86,-6.77,-6.74,-5.05,-4.12,-4.68,-5.26,,
15,-6.02,-6.63,-6.80,-6.81,-6.85,-6.83,-6.73,-6.75,-5.04,-4.14,-4.69,-5.32,,
16,-6.05,-6.64,-6.79,-6.81,-6.86,-6.81,-6.73,-6.76,-5.02,-4.15,-4.71,-5.35,,
17,-6.09,-6.65,-6.78,-6.81,-6.86,-6.79,-6.73,-6.75,-5.00,-4.16,-4.74,-5.38,,
18,-6.11,-6.66,-6.78,-6.81,-6.86,-6.78,-6.73,-6.75,-4.99,-4.17,-4.76,-5.41,,
19,-6.13,-6.68,-6.77,-6.81,-6.85,-6.77,-6.73,-6.73,-4.98,-4.18,-4.78,-5.43,,
20,-6.14,-6.69,-6.77,-6.81,-6.86,-6.76,-6.73,-6.70,-4.93,-4.20,-4.80,-5.46,,
21,-6.16,-6.69,-6.77,-6.81,-6.86,-6.75,-6.73,-6.61,-4.70,-4.22,-4.83,-5.48,,
22,-6.18,-6.70,-6.77,-6.81,-6.86,-6.75,-6.72,-6.40,-4.53,-4.24,-4.84,-5.50,,
23,-6.20,-6.70,-6.77,-6.82,-6.86,-6.74,-6.70,-5.87,-4.34,-4.25,-4.87,-5.51,,
24,-6.21,-6.71,-6.78,-6.82,-6.86,-6.73,-6.68,-5.69,-4.20,-4.28,-4.89,-5.55,,
25,-6.23,-6.71,-6.78,-6.83,-6.87,-6.73,-6.67,-5.60,-4.10,-4.30,-4.91,-5.58,,
26,-6.26,-6.72,-6.79,-6.83,-6.87,-6.73,-6.66,-5.54,-4.06,-4.31,-4.92,-5.60,,
27,-6.28,-6.73,-6.79,-6.84,-6.87,-6.73,-6.66,-5.50,-4.03,-4.34,-4.93,-5.62,,
28,-6.30,-6.73,-6.79,-6.84,-6.87,-6.72,-6.66,-5.46,-4.01,-4.35,-4.95,-5.65,,
29,-6.33,-6.74,-6.80,-6.83,-6.88,-6.72,-6.65,-5.42,-4.00,-4.37,-4.96,-5.68,,
30,-6.35,***,-6.80,-6.83,-6.88,-6.72,-6.65,-5.33,-4.01,-4.40,-4.98,-5.70,,
31,-6.37,***,-6.81,***,-6.88,***,-6.66,-5.23,***,-4.42,***,-5.73,,
平均,-6.02,-6.60,-6.79,-6.82,-6.85,-6.82,-6.72,-6.35,-4.77,-4.17,-4.72,-5.35,-6.00,
最高,-5.60,-6.39,-6.75,-6.81,-6.83,-6.72,-6.65,-5.23,-4.00,-4.02,-4.44,-5.00,-4.00,
最低,-6.37,-6.74,-6.81,-6.84,-6.88,-6.93,-6.78,-6.76,-5.16,-4.42,-4.98,-5.73,-6.93,
