日,1(m),2(m),3(m),4(m),5(m),6(m),7(m),8(m),9(m),10(m),11(m),12(m),年(m),備考
1,-2.68,-2.69,-2.83,-2.91,-2.92,-3.16,-3.04,-3.09,-1.94,-1.99,-2.57,-2.50,,
2,-2.68,-2.71,-2.85,-2.93,-2.96,-3.19,-3.07,-3.10,-2.11,-2.04,-2.58,-2.52,,
3,-2.69,-2.74,-2.87,-2.92,-2.97,-3.21,-3.09,-3.04,-2.25,-2.10,-2.59,-2.54,,
4,-2.70,-2.76,-2.89,-2.83,-2.93,-3.22,-3.10,-3.06,-2.31,-2.14,-2.61,-2.54,,
5,-2.71,-2.77,-2.90,-2.78,-2.94,-3.24,-3.07,-3.10,-2.35,-2.19,-2.62,-2.55,,
6,-2.72,-2.79,-2.91,-2.82,-2.98,-3.24,-3.09,-3.12,-2.40,-2.23,-2.64,-2.56,,
7,-2.73,-2.80,-2.90,-2.74,-3.00,-3.25,-3.12,-3.14,-2.43,-2.29,-2.65,-2.58,,
8,-2.74,-2.82,-2.86,-2.65,-3.02,-3.26,-3.14,-3.16,-2.39,-2.29,-2.65,-2.59,,
9,-2.75,-2.83,-2.85,-2.69,-3.04,-3.27,-3.15,-3.18,-2.40,-2.24,-2.64,-2.59,,
10,-2.76,-2.85,-2.67,-2.73,-2.97,-3.28,-3.14,-3.20,-2.46,-2.29,-2.66,-2.61,,
11,-2.77,-2.87,-2.70,-2.78,-2.96,-3.29,-3.17,-3.20,-2.50,-2.33,-2.42,-2.62,,
12,-2.78,-2.88,-2.74,-2.81,-3.00,-3.31,-3.20,-3.22,-2.52,-2.36,-2.47,-2.64,,
13,-2.78,-2.88,-2.77,-2.83,-3.03,-2.87,-3.22,-3.24,-2.42,-2.39,-2.54,-2.34,,
14,-2.79,-2.82,-2.74,-2.69,-3.06,-2.70,-3.10,-3.25,-2.40,-2.41,-2.57,-1.80,,
15,-2.81,-2.82,-2.52,-2.69,-3.07,-2.83,-2.67,-3.26,-2.33,-2.43,-2.56,-2.31,,
16,-2.82,-2.86,-2.56,-2.74,-3.09,-2.90,-2.80,-3.26,-2.36,-2.45,-2.59,-2.57,,
17,-2.83,-2.88,-2.58,-2.75,-3.05,-2.89,-2.89,-2.94,-2.41,-2.45,-2.61,-2.59,,
18,-2.42,-2.91,-2.60,-2.76,-3.00,-2.96,-2.96,-3.01,-2.45,-2.46,-2.63,-2.61,,
19,-2.34,-2.92,-2.61,-2.80,-3.05,-3.01,-2.98,-2.95,-2.46,-2.47,-2.58,-2.62,,
20,-2.48,-2.87,-2.65,-2.83,-3.08,-3.03,-3.02,-2.58,-1.97,-2.49,-2.58,-2.63,,
21,-2.53,-2.56,-2.69,-2.85,-3.11,-3.04,-2.83,-2.47,-1.55,-2.51,-2.60,-2.65,,
22,-2.56,-2.62,-2.73,-2.86,-3.12,-3.02,-2.64,-1.93,-1.57,-2.52,-2.56,-2.65,,
23,-2.58,-2.65,-2.77,-2.88,-3.14,-3.00,-2.66,-1.66,-1.55,-2.53,-2.59,-2.54,,
24,-2.59,-2.68,-2.79,-2.90,-3.15,-3.01,-2.78,-1.85,-1.61,-2.55,-2.52,-2.59,,
25,-2.63,-2.71,-2.81,-2.92,-3.16,-3.03,-2.86,-2.01,-1.68,-2.56,-2.47,-2.62,,
26,-2.66,-2.73,-2.84,-2.93,-3.17,-3.06,-2.92,-2.21,-1.75,-2.56,-2.52,-2.63,,
27,-2.68,-2.75,-2.85,-2.95,-3.17,-3.09,-2.96,-2.31,-1.79,-2.58,-2.54,-2.61,,
28,-2.70,-2.78,-2.87,-2.86,-3.17,-3.00,-2.99,-2.31,-1.83,-2.57,-2.49,-2.61,,
29,-2.72,-2.80,-2.85,-2.79,-3.18,-2.96,-3.02,-2.17,-1.87,-2.55,-2.52,-2.62,,
30,-2.64,***,-2.87,-2.87,-3.17,-3.00,-3.05,-1.85,-1.93,-2.58,-2.54,-2.65,,
31,-2.65,***,-2.89,***,-3.14,***,-3.07,-1.83,***,-2.58,***,-2.66,,
平均,-2.67,-2.78,-2.77,-2.82,-3.06,-3.08,-2.99,-2.73,-2.13,-2.39,-2.57,-2.55,-2.71,
最高,-2.34,-2.56,-2.52,-2.65,-2.92,-2.70,-2.64,-1.66,-1.55,-1.99,-2.42,-1.80,-1.55,
最低,-2.83,-2.92,-2.91,-2.95,-3.18,-3.31,-3.22,-3.26,-2.52,-2.58,-2.66,-2.66,-3.31,
