日,1(m),2(m),3(m),4(m),5(m),6(m),7(m),8(m),9(m),10(m),11(m),12(m),年(m),備考
1,-5.20,-6.16,-6.56,-6.77,-6.73,-7.02,-6.90,-6.68,-3.94,-2.70,-3.20,-4.01,,
2,-5.24,-6.18,-6.59,-6.78,-6.74,-7.02,-6.91,-6.68,-3.92,-2.71,-3.23,-4.03,,
3,-5.29,-6.21,-6.61,-6.80,-6.75,-7.03,-6.92,-6.69,-3.91,-2.72,-3.25,-4.06,,
4,-5.33,-6.23,-6.64,-6.81,-6.74,-7.05,-6.93,-6.70,-3.91,-2.74,-3.28,-4.09,,
5,-5.38,-6.26,-6.66,-6.82,-6.74,-7.07,-7.01,-6.71,-3.90,-2.75,-3.31,-4.12,,
6,-5.43,-6.28,-6.69,-6.84,-6.74,-7.08,-7.08,-6.73,-3.86,-2.76,-3.34,-4.12,,
7,-5.48,-6.31,-6.72,-6.83,-6.75,-7.12,-7.08,-6.75,-3.85,-2.79,-3.38,-4.13,,
8,-5.52,-6.34,-6.80,-6.79,-6.76,-7.15,-7.09,-6.76,-3.82,-2.77,-3.44,-4.17,,
9,-5.57,-6.25,-6.88,-6.77,-6.77,-7.17,-7.10,-6.78,-3.80,-2.76,-3.50,-4.21,,
10,-5.61,-6.18,-6.86,-6.77,-6.81,-7.19,-7.10,-6.80,-3.69,-2.79,-3.54,-4.26,,
11,-5.66,-6.20,-6.86,-6.76,-6.83,-7.21,-7.11,-6.78,-3.65,-2.80,-3.50,-4.31,,
12,-5.70,-6.23,-6.87,-6.77,-6.84,-7.23,-7.12,-6.79,-3.65,-2.81,-3.52,-4.36,,
13,-5.74,-6.26,-6.88,-6.77,-6.85,-7.16,-7.13,-6.79,-3.61,-2.83,-3.55,-4.40,,
14,-5.79,-6.28,-6.89,-6.75,-6.86,-7.03,-7.12,-6.80,-3.58,-2.85,-3.58,-4.40,,
15,-5.83,-6.30,-6.76,-6.72,-6.87,-6.97,-7.03,-6.82,-3.53,-2.87,-3.59,-4.44,,
16,-5.87,-6.33,-6.70,-6.71,-6.88,-6.94,-6.99,-6.83,-3.49,-2.89,-3.63,-4.46,,
17,-5.92,-6.36,-6.70,-6.70,-6.88,-6.92,-6.95,-6.80,-3.44,-2.89,-3.66,-4.50,,
18,-5.93,-6.39,-6.69,-6.70,-6.86,-6.91,-6.92,-6.75,-3.41,-2.91,-3.70,-4.54,,
19,-5.91,-6.42,-6.69,-6.70,-6.87,-6.91,-6.89,-6.68,-3.40,-2.92,-3.72,-4.57,,
20,-5.91,-6.44,-6.68,-6.71,-6.87,-6.91,-6.88,-6.59,-3.28,-2.94,-3.76,-4.61,,
21,-5.92,-6.41,-6.68,-6.71,-6.88,-6.90,-6.85,-6.40,-2.88,-2.96,-3.80,-4.65,,
22,-5.93,-6.42,-6.68,-6.72,-6.90,-6.90,-6.79,-5.69,-2.76,-2.98,-3.81,-4.69,,
23,-5.95,-6.43,-6.69,-6.72,-6.91,-6.89,-6.74,-4.57,-2.64,-3.00,-3.86,-4.69,,
24,-5.97,-6.45,-6.69,-6.73,-6.92,-6.89,-6.71,-4.42,-2.60,-3.03,-3.88,-4.74,,
25,-6.00,-6.46,-6.70,-6.74,-6.93,-6.89,-6.69,-4.40,-2.60,-3.05,-3.90,-4.78,,
26,-6.03,-6.48,-6.72,-6.75,-6.95,-6.91,-6.67,-4.40,-2.61,-3.06,-3.92,-4.81,,
27,-6.05,-6.50,-6.73,-6.76,-6.97,-6.92,-6.66,-4.39,-2.62,-3.09,-3.94,-4.84,,
28,-6.09,-6.52,-6.74,-6.76,-6.98,-6.92,-6.66,-4.37,-2.63,-3.11,-3.95,-4.87,,
29,-6.11,-6.54,-6.74,-6.73,-6.99,-6.90,-6.66,-4.32,-2.65,-3.13,-3.97,-4.91,,
30,-6.12,***,-6.75,-6.73,-7.01,-6.90,-6.67,-4.16,-2.68,-3.16,-4.00,-4.94,,
31,-6.14,***,-6.76,***,-7.01,***,-6.68,-4.02,***,-3.18,***,-4.98,,
平均,-5.76,-6.34,-6.73,-6.76,-6.86,-7.00,-6.91,-6.00,-3.34,-2.90,-3.62,-4.47,-5.56,
最高,-5.20,-6.16,-6.56,-6.70,-6.73,-6.89,-6.66,-4.02,-2.60,-2.70,-3.20,-4.01,-2.60,
最低,-6.14,-6.54,-6.89,-6.84,-7.01,-7.23,-7.13,-6.83,-3.94,-3.18,-4.00,-4.98,-7.23,
