日,1(m),2(m),3(m),4(m),5(m),6(m),7(m),8(m),9(m),10(m),11(m),12(m),年(m),備考
1,-3.18,-3.42,-3.54,-3.34,-3.29,-3.42,-3.32,-3.30,-2.18,-2.00,-2.55,-2.57,,
2,-3.19,-3.43,-3.55,-3.35,-3.30,-3.43,-3.33,-3.31,-2.20,-2.05,-2.56,-2.58,,
3,-3.20,-3.44,-3.56,-3.35,-3.30,-3.44,-3.34,-3.29,-2.21,-2.08,-2.56,-2.59,,
4,-3.21,-3.44,-3.56,-3.34,-3.31,-3.45,-3.35,-3.29,-2.23,-2.11,-2.58,-2.59,,
5,-3.22,-3.45,-3.57,-3.34,-3.31,-3.45,-3.35,-3.31,-2.24,-2.14,-2.59,-2.59,,
6,-3.23,-3.46,-3.56,-3.35,-3.32,-3.46,-3.35,-3.32,-2.26,-2.17,-2.61,-2.61,,
7,-3.24,-3.46,-3.55,-3.34,-3.32,-3.47,-3.36,-3.33,-2.28,-2.21,-2.63,-2.63,,
8,-3.26,-3.47,-3.54,-3.31,-3.34,-3.47,-3.37,-3.34,-2.29,-2.21,-2.63,-2.64,,
9,-3.27,-3.47,-3.52,-3.31,-3.35,-3.48,-3.38,-3.35,-2.32,-2.21,-2.64,-2.65,,
10,-3.29,-3.48,-3.48,-3.30,-3.35,-3.49,-3.38,-3.37,-2.34,-2.23,-2.66,-2.66,,
11,-3.31,-3.49,-3.47,-3.30,-3.35,-3.50,-3.38,-3.38,-2.36,-2.24,-2.59,-2.67,,
12,-3.34,-3.50,-3.46,-3.31,-3.36,-3.51,-3.39,-3.39,-2.39,-2.26,-2.56,-2.68,,
13,-3.36,-3.51,-3.46,-3.29,-3.37,-3.44,-3.40,-3.40,-2.37,-2.29,-2.57,-2.68,,
14,-3.38,-3.50,-3.44,-3.27,-3.37,-3.35,-3.40,-3.41,-2.35,-2.31,-2.57,-2.62,,
15,-3.39,-3.50,-3.39,-3.27,-3.38,-3.32,-3.35,-3.42,-2.33,-2.31,-2.57,-2.62,,
16,-3.41,-3.51,-3.36,-3.27,-3.38,-3.31,-3.34,-3.43,-2.33,-2.32,-2.60,-2.63,,
17,-3.42,-3.52,-3.35,-3.26,-3.38,-3.31,-3.33,-3.36,-2.34,-2.33,-2.62,-2.65,,
18,-3.38,-3.53,-3.34,-3.25,-3.36,-3.31,-3.33,-3.34,-2.35,-2.35,-2.63,-2.66,,
19,-3.35,-3.53,-3.34,-3.26,-3.36,-3.31,-3.33,-3.33,-2.37,-2.37,-2.62,-2.67,,
20,-3.36,-3.53,-3.33,-3.26,-3.37,-3.31,-3.33,-3.27,-2.23,-2.39,-2.62,-2.68,,
21,-3.37,-3.50,-3.32,-3.26,-3.37,-3.31,-3.32,-3.15,-2.00,-2.41,-2.63,-2.69,,
22,-3.37,-3.50,-3.31,-3.26,-3.38,-3.31,-3.28,-2.91,-1.89,-2.42,-2.62,-2.69,,
23,-3.38,-3.50,-3.31,-3.27,-3.39,-3.31,-3.27,-2.47,-1.76,-2.44,-2.64,-2.66,,
24,-3.37,-3.51,-3.31,-3.28,-3.40,-3.31,-3.26,-2.36,-1.76,-2.46,-2.63,-2.68,,
25,-3.37,-3.52,-3.31,-3.28,-3.41,-3.31,-3.25,-2.32,-1.76,-2.47,-2.61,-2.69,,
26,-3.39,-3.52,-3.32,-3.29,-3.42,-3.32,-3.25,-2.32,-1.80,-2.48,-2.61,-2.69,,
27,-3.40,-3.53,-3.32,-3.29,-3.43,-3.33,-3.26,-2.33,-1.84,-2.51,-2.59,-2.67,,
28,-3.42,-3.53,-3.32,-3.29,-3.42,-3.32,-3.27,-2.33,-1.88,-2.51,-2.58,-2.70,,
29,-3.42,-3.53,-3.32,-3.28,-3.42,-3.31,-3.28,-2.30,-1.93,-2.51,-2.58,-2.70,,
30,-3.42,***,-3.31,-3.28,-3.42,-3.31,-3.29,-2.18,-1.95,-2.54,-2.59,-2.71,,
31,-3.42,***,-3.32,***,-3.42,***,-3.30,-2.16,***,-2.54,***,-2.72,,
平均,-3.33,-3.49,-3.41,-3.30,-3.37,-3.38,-3.33,-3.02,-2.15,-2.32,-2.60,-2.65,-3.03,
最高,-3.18,-3.42,-3.31,-3.25,-3.29,-3.31,-3.25,-2.16,-1.76,-2.00,-2.55,-2.57,-1.76,
最低,-3.42,-3.53,-3.57,-3.35,-3.43,-3.51,-3.40,-3.43,-2.39,-2.54,-2.66,-2.72,-3.57,
