路　　線,受託業者,電話番号,定休日,営業時間
放射第２号線（西五反田）,ランドブレイン株式会社,0120-610-733（無料電話）03-6421-7279,木・日・祝日・年末年始,10:00～18:00
補助第２９号線（大崎・戸越・豊町・西大井・西大井東馬込）,住商建物株式会社,戸越相談窓口0120-029-137（無料電話）03-5749-4340,水・日・祝日・年末年始,10:00～18:00
補助第２９号線（大崎・戸越・豊町・西大井・西大井東馬込）,住商建物株式会社,豊町相談窓口0120-029-237（無料電話）03-5498-7622,水・日・祝日・年末年始,10:00～18:00
補助第２８号線（大井）,住商建物株式会社,0120-028-337(無料電話）,水・日・祝日・年末年始,10:00～18:00
補助第５２号線（若林）,株式会社八州,0800-888-8183（無料電話）03-6681-1349,水・日・祝日・年末年始,10:00～18:00
補助第２２７号線（大和町）,株式会社ＧＭＫ,0120-353-227（無料電話）03-5327-8471,火・土・日・祝日・年末年始,10:00～18:00
補助第７３号線（池袋本町）・補助第８２号線（上池袋・池袋本町）,株式会社ＧＭＫ,0120-165-100（無料電話）03-5904-8552,日・祝日・年末年始,10:00～18:00
補助第２６号線（南長崎）・補１７２（長崎）,株式会社エス・イー・シー計画事務所,0120-916-535（無料電話）03-5906-5085,水・日・祝日・年末年始（第二日曜日開設）,10:00～18:00
補助第８１号線（巣鴨）,株式会社エス・イー・シー計画事務所,0120-036-079（無料電話）03-6903-6089,日・祝日・年末年始,10:00～18:00
放射第３２号線（押上）,株式会社ＵＲリンケージ,0120-202-342（無料電話）03-6657-0891,日・祝日・年末年始,10:00～18:00
補助第１４２号線（南小岩）・補助第１４３（東小岩）,株式会社ＧＭＫ,0120-33-8852（無料電話）03-6657-9602,日・祝日・年末年始,10:00～18:00
補助第８６号線（赤羽西）,株式会社ＵＲリンケージ,0120-114-105（無料電話）03-5948-8161,土・祝日・年末年始,10:00～18:00
補助第１３６号線（足立）,株式会社田島建設,0120-326-267（無料電話）03-5888-6267,水・日・祝日・年末年始,10:00～18:00
補助第７３号線（上十条・十条仲原）,公益財団法人東京都都市づくり公社,0120-900-244（無料電話）03-5948-5982,金・土・祝日・第五日曜・年末年始,10:00～18:00
補助第９０号線（荒川）,株式会社ＵＲリンケージ,0120-658-880（無料電話）03-6806-8671,日・祝日・年末年始,10:00～18:00
