年度,所得金額（百万）,業種
H1,10961699,総計
H1,32858,農林・水産・鉱業
H1,809613,建設業
H1,2489977,製造業
H1,2232043,卸売・小売業
H1,2129014,金融業
H1,625651,証券業・商品先物取引業
H1,26777,保険業
H1,932067,不動産業
H1,356431,運輸・通信業
H1,91518,電気・ガス供給業
H1,1176276,サービス業
H1,59473,その他の産業
H2,11550530,総計
H2,42618,農林・水産・鉱業
H2,979820,建設業
H2,2513830,製造業
H2,2281164,卸売・小売業
H2,1827741,金融業
H2,981709,証券業・商品先物取引業
H2,29594,保険業
H2,1011920,不動産業
H2,523860,運輸・通信業
H2,74,電気・ガス供給業
H2,1293577,サービス業
H2,64623,その他の産業
H3,11084354,総計
H3,32093,農林・水産・鉱業
H3,1232389,建設業
H3,2584465,製造業
H3,2391557,卸売・小売業
H3,1663480,金融業
H3,404856,証券業・商品先物取引業
H3,30831,保険業
H3,889668,不動産業
H3,488321,運輸・通信業
H3,74,電気・ガス供給業
H3,1295591,サービス業
H3,71031,その他の産業
H4,9126772,総計
H4,30344,農林・水産・鉱業
H4,1180443,建設業
H4,2037699,製造業
H4,2087277,卸売・小売業
H4,1316796,金融業
H4,158225,証券業・商品先物取引業
H4,30401,保険業
H4,665768,不動産業
H4,458356,運輸・通信業
H4,43,電気・ガス供給業
H4,1095909,サービス業
H4,65511,その他の産業
H5,7258352,総計
H5,23984,農林・水産・鉱業
H5,1023399,建設業
H5,1728908,製造業
H5,1686191,卸売・小売業
H5,818104,金融業
H5,99530,証券業・商品先物取引業
H5,26761,保険業
H5,545122,不動産業
H5,355861,運輸・通信業
H5,30,電気・ガス供給業
H5,895154,サービス業
H5,55308,その他の産業
H6,6151655,総計
H6,18061,農林・水産・鉱業
H6,758949,建設業
H6,1588148,製造業
H6,1579525,卸売・小売業
H6,414955,金融業
H6,127650,証券業・商品先物取引業
H6,27852,保険業
H6,435638,不動産業
H6,285577,運輸・通信業
H6,27,電気・ガス供給業
H6,843350,サービス業
H6,71922,その他の産業
H7,5951889,総計
H7,16413,農林・水産・鉱業
H7,596181,建設業
H7,1681637,製造業
H7,1556484,卸売・小売業
H7,359128,金融業
H7,72153,証券業・商品先物取引業
H7,27945,保険業
H7,391538,不動産業
H7,292249,運輸・通信業
H7,44,電気・ガス供給業
H7,896578,サービス業
H7,61538,その他の産業
H8,7141562,総計
H8,15609,農林・水産・鉱業
H8,556340,建設業
H8,1836670,製造業
H8,1729594,卸売・小売業
H8,911626,金融業
H8,129430,証券業・商品先物取引業
H8,28996,保険業
H8,366548,不動産業
H8,395132,運輸・通信業
H8,22,電気・ガス供給業
