年度,差引所得金額（百万）,業種
H1,882870,総計
H1,648684,第一種事業
H1,16,第二種事業
H1,234169,第三種事業
H2,1002382,総計
H2,740065,第一種事業
H2,87,第二種事業
H2,262229,第三種事業
H3,1093019,総計
H3,809543,第一種事業
H3,355,第二種事業
H3,283121,第三種事業
H4,1111555,総計
H4,822825,第一種事業
H4,127,第二種事業
H4,288603,第三種事業
H5,1027540,総計
H5,762802,第一種事業
H5,642,第二種事業
H5,264095,第三種事業
H6,991388,総計
H6,745124,第一種事業
H6,307,第二種事業
H6,245957,第三種事業
H7,981672,総計
H7,734884,第一種事業
H7,2449,第二種事業
H7,244339,第三種事業
H8,964770,総計
H8,711669,第一種事業
H8,2462,第二種事業
H8,250639,第三種事業
H9,1028405,総計
H9,764087,第一種事業
H9,2240,第二種事業
H9,262077,第三種事業
H10,1061575,総計
H10,788538,第一種事業
H10,2734,第二種事業
H10,270303,第三種事業
H11,949107,総計
H11,687681,第一種事業
H11,1895,第二種事業
H11,259531,第三種事業
H12,964119,総計
H12,691215,第一種事業
H12,2742,第二種事業
H12,270162,第三種事業
H13,1029601,総計
H13,732364,第一種事業
H13,2250,第二種事業
H13,294987,第三種事業
H14,1057512,総計
H14,742588,第一種事業
H14,4430,第二種事業
H14,310494,第三種事業
H15,1064246,総計
H15,752759,第一種事業
H15,3322,第二種事業
H15,308165,第三種事業
H16,1064018,総計
H16,759065,第一種事業
H16,3145,第二種事業
H16,301808,第三種事業
H17,1059024,総計
H17,749731,第一種事業
H17,4689,第二種事業
H17,304604,第三種事業
H18,1092925,総計
H18,772555,第一種事業
H18,4394,第二種事業
H18,315976,第三種事業
H19,1124188,総計
H19,786031,第一種事業
H19,4387,第二種事業
H19,333771,第三種事業
H20,1153650,総計
H20,798081,第一種事業
H20,4389,第二種事業
H20,351181,第三種事業
H21,1110081,総計
H21,767504,第一種事業
H21,3305,第二種事業
H21,339272,第三種事業
H22,1026627,総計
H22,722752,第一種事業
H22,4404,第二種事業
H22,299470,第三種事業
H23,1002450,総計
H23,703694,第一種事業
H23,2232,第二種事業
H23,296524,第三種事業
H24,987530,総計
H24,693005,第一種事業
H24,3299,第二種事業
H24,291225,第三種事業
H25,972551,総計
H25,673725,第一種事業
H25,4378,第二種事業
H25,294448,第三種事業
H26,967531,総計
H26,678324,第一種事業
H26,3289,第二種事業
H26,285919,第三種事業
H27,993271,総計
H27,687385,第一種事業
H27,4519,第二種事業
H27,301367,第三種事業
H28,1016926,総計
H28,693030,第一種事業
H28,4523,第二種事業
H28,319373,第三種事業
H29,1037489,総計
H29,704483,第一種事業
H29,4510,第二種事業
H29,328495,第三種事業
H30,1067522,総計
H30,717355,第一種事業
H30,4518,第二種事業
H30,345649,第三種事業
R1,1087689,総計
R1,728828,第一種事業
R1,2582,第二種事業
R1,356279,第三種事業
R2,1114797,総計
R2,737922,第一種事業
R2,3228,第二種事業
R2,373648,第三種事業
R3,1160899,総計
R3,742303,第一種事業
R3,3883,第二種事業
R3,414714,第三種事業
R4,1553301,総計
R4,1108883,第一種事業
R4,4524,第二種事業
R4,439894,第三種事業
