年度,区分,金額（百万）
H1,収入額（総計）,71813
H1,調定額（資産割）,32781
H1,調定額（従業者割）,25578
H1,調定額（新増設に係る事業所税）,13445
H2,収入額（総計）,77041
H2,調定額（資産割）,34387
H2,調定額（従業者割）,28645
H2,調定額（新増設に係る事業所税）,14234
H3,収入額（総計）,81939
H3,調定額（資産割）,36411
H3,調定額（従業者割）,31495
H3,調定額（新増設に係る事業所税）,14492
H4,収入額（総計）,89550
H4,調定額（資産割）,38010
H4,調定額（従業者割）,33916
H4,調定額（新増設に係る事業所税）,18404
H5,収入額（総計）,91985
H5,調定額（資産割）,38627
H5,調定額（従業者割）,34857
H5,調定額（新増設に係る事業所税）,19073
H6,収入額（総計）,86820
H6,調定額（資産割）,39073
H6,調定額（従業者割）,34932
H6,調定額（新増設に係る事業所税）,12808
H7,収入額（総計）,84137
H7,調定額（資産割）,40043
H7,調定額（従業者割）,34899
H7,調定額（新増設に係る事業所税）,9214
H8,収入額（総計）,85670
H8,調定額（資産割）,41261
H8,調定額（従業者割）,35743
H8,調定額（新増設に係る事業所税）,8650
H9,収入額（総計）,88481
H9,調定額（資産割）,43502
H9,調定額（従業者割）,37084
H9,調定額（新増設に係る事業所税）,7981
H10,収入額（総計）,90921
H10,調定額（資産割）,44872
H10,調定額（従業者割）,37631
H10,調定額（新増設に係る事業所税）,8484
H11,収入額（総計）,88179
H11,調定額（資産割）,44995
H11,調定額（従業者割）,37305
H11,調定額（新増設に係る事業所税）,5824
H12,収入額（総計）,89085
H12,調定額（資産割）,45549
H12,調定額（従業者割）,37525
H12,調定額（新増設に係る事業所税）,6074
H13,収入額（総計）,90806
H13,調定額（資産割）,46040
H13,調定額（従業者割）,38243
H13,調定額（新増設に係る事業所税）,6442
H14,収入額（総計）,96449
H14,調定額（資産割）,46205
H14,調定額（従業者割）,38601
H14,調定額（新増設に係る事業所税）,12237
H15,収入額（総計）,89671
H15,調定額（資産割）,46230
H15,調定額（従業者割）,38066
H15,調定額（新増設に係る事業所税）,4919
H16,収入額（総計）,85778
H16,調定額（資産割）,46927
H16,調定額（従業者割）,38481
H16,調定額（新増設に係る事業所税）,47
H17,収入額（総計）,87891
H17,調定額（資産割）,47676
H17,調定額（従業者割）,40125
H17,調定額（新増設に係る事業所税）,0
H18,収入額（総計）,89078
H18,調定額（資産割）,47815
H18,調定額（従業者割）,41120
H18,調定額（新増設に係る事業所税）,118
H19,収入額（総計）,92915
H19,調定額（資産割）,48772
H19,調定額（従業者割）,44216
H19,調定額（新増設に係る事業所税）,0
H20,収入額（総計）,95985
H20,調定額（資産割）,49634
H20,調定額（従業者割）,46389
H20,調定額（新増設に係る事業所税）,0
H21,収入額（総計）,96164
H21,調定額（資産割）,49872
H21,調定額（従業者割）,46573
H21,調定額（新増設に係る事業所税）,0
H22,収入額（総計）,94354
H22,調定額（資産割）,49264
H22,調定額（従業者割）,44849
H22,調定額（新増設に係る事業所税）,0
H23,収入額（総計）,94343
H23,調定額（資産割）,49369
H23,調定額（従業者割）,44928
H23,調定額（新増設に係る事業所税）,0
H24,収入額（総計）,95614
H24,調定額（資産割）,49965
H24,調定額（従業者割）,45614
H24,調定額（新増設に係る事業所税）,0
H25,収入額（総計）,96590
H25,調定額（資産割）,50420
H25,調定額（従業者割）,46186
H25,調定額（新増設に係る事業所税）,0
H26,収入額（総計）,98415
H26,調定額（資産割）,50705
H26,調定額（従業者割）,47674
H26,調定額（新増設に係る事業所税）,0
H27,収入額（総計）,100889
H27,調定額（資産割）,51237
H27,調定額（従業者割）,49640
H27,調定額（新増設に係る事業所税）,0
H28,収入額（総計）,102587
H28,調定額（資産割）,51722
H28,調定額（従業者割）,50861
H28,調定額（新増設に係る事業所税）,0
H29,収入額（総計）,104731
H29,調定額（資産割）,52053
H29,調定額（従業者割）,52663
H29,調定額（新増設に係る事業所税）,0
H30,収入額（総計）,107480
H30,調定額（資産割）,52868
H30,調定額（従業者割）,54622
H30,調定額（新増設に係る事業所税）,0
R1,収入額（総計）,110921
R1,調定額（資産割）,53865
R1,調定額（従業者割）,57136
R1,調定額（新増設に係る事業所税）,0
R2,収入額（総計）,110421
R2,調定額（資産割）,54238
R2,調定額（従業者割）,58389
R2,調定額（新増設に係る事業所税）,0
R3,収入額（総計）,115524
R3,調定額（資産割）,54335
R3,調定額（従業者割）,59157
R3,調定額（新増設に係る事業所税）,0
R4,収入額（総計）,116427
R4,調定額（資産割）,53859
R4,調定額（従業者割）,62354
R4,調定額（新増設に係る事業所税）,0
R5（見込）,収入額（総計）,118588
R6（当初）,収入額（総計）,119925
